id_location,location
22007010000,CONCEPCION DEL BERMEJO
22007020000,LOS FRENTONES
22007030000,PAMPA DEL INFIERNO
22007050000,TACO POZO
22014010000,GENERAL VEDIA
22014030000,LA LEONESA
22014040000,LAS PALMAS
22014050000,PUERTO BERMEJO NUEVO
22021010000,PRESIDENCIA ROQUE SAENZ PENA
22028010000,CHARATA
22036010000,GANCEDO
22036030000,GENERAL PINEDO
22036040000,MESON DE FIERRO
22039010000,HERMOSO CAMPO
22043020000,SANTA SYLVINA
22049010000,CORZUELA
22056010000,LA ESCONDIDA
22056020000,LA VERDE
22056040000,MAKALLE
22063030000,EL SAUZALITO
22063050000,FUERTE ESPERANZA
22063060000,JUAN JOSE CASTELLI
22063070000,MIRAFLORES
22063080000,NUEVA POMPEYA
22063100000,VILLA RIO BERMEJITO
22070010000,AVIA TERAI
22070020000,CAMPO LARGO
22070040000,NAPENAY
22077040000,PUERTO TIROL
22084020000,GENERAL JOSE DE SAN MARTIN
22084060000,PAMPA DEL INDIO
22084070000,PRESIDENCIA ROCA
22091010000,TRES ISLETAS
22098010000,CORONEL DU GRATY
22098030000,VILLA ANGELA
22105010000,LAS BREÑAS
22112010000,LA CLOTILDE
22112020000,LA TIGRA
22112030000,SAN BERNARDO
22119010000,PRESIDENCIA DE LA PLAZA
22126020000,COLONIA BENITEZ
22126030000,MARGARITA BELEN
22133010000,QUITILIPI
22133020000,VILLA EL PALMAR
22140010000,BARRANQUERAS
22140020000,BASAIL
22140040000,FONTANA
22140050000,PUERTO VILELAS
22140060000,RESISTENCIA
22147020000,VILLA BERTHET
22154010000,CAPITAN SOLARI
22154020000,COLONIA ELISA
22154030000,COLONIAS UNIDAS
22154050000,LAS GARCITAS
22168020000,MACHAGAI
