id_location,location
26077020,PLAYA UNIÓN  (PUERTO RAWSON)
26007020000,PUERTO MADRYN
26014020000,CHOLILA
26014040000,EL HOYO
26014050000,EL MAITEN
26014060000,EPUYEN
26014090000,LAGO PUELO
26021030011,BARRIO PROSPERO PALAZZO
26021030018,COMODORO RIVADAVIA
26021030019,KM. 5 - PRESIDENTE ORTIZ
26021040000,DIADEMA ARGENTINA
26021050000,RADA TILLY
26028010000,CAMARONES
26035020000,CORCOVADO
26035030000,ESQUEL
26035060000,TREVELIN
26042020000,DOLAVON
26042030000,GAIMAN
26056050000,TECKA
26063020000,LAS PLUMAS
26077020000,PLAYA UNION
26077030000,RAWSON
26077040000,TRELEW
26084030000,ALTO RIO SENGUER
26084070000,RIO MAYO
26091020000,SARMIENTO
26098020000,GOBERNADOR COSTA
26098030000,JOSE DE SAN MARTIN
26098040000,RIO PICO
