id_location,location
18021010,BARRIO ESPERANZA
18007010000,BELLA VISTA
18014010000,BERON DE ASTRADA
18021020000,CORRIENTES
18021040000,RIACHUELO
18028010000,CONCEPCION
18028020000,SANTA ROSA
18028030000,TABAY
18035020000,CURUZU CUATIA
18035030000,PERUGORRIA
18042020000,EMPEDRADO
18049010000,ESQUINA
18056010000,ALVEAR
18063010000,ITA IBATE
18063030000,NUESTRA SEÑORA DEL ROSARIO DE CAA CATI
18070020000,GOYA
18077010000,ITATI
18084000004,BUENA VISTA
18084020000,ITUZAINGO
18084040000,SAN CARLOS
18091040000,SANTA LUCIA
18098010000,MBURUCUYA
18105010000,FELIPE YOFRE
18105030000,MERCEDES
18112030000,JUAN PUJOL
18112040000,MOCORETA
18112050000,MONTE CASEROS
18119030000,PASO DE LOS LIBRES
18126010000,SALADAS
18133020000,PASO DE LA PATRIA
18133030000,SAN COSME
18133040000,SANTA ANA
18140010000,SAN LUIS DEL PALMAR
18147030000,LA CRUZ
18147040000,YAPEYU
18154010000,LORETO
18154020000,SAN MIGUEL
18161050000,SAN ROQUE
18168010000,JOSE R. GOMEZ
18168030000,GOBERNADOR IGR.VALENTIN VIRASORO
18168040000,SANTO TOME
18175010000,SAUCE
