id_location,location
14007210,SANTA ROSA DE CALAMUCHITA (SANTA ROSA DE CALAMUCHITA)
14021250,SALSIPUEDES (SALSIPUEDES)
14035120,VILLA HUIDOBRO (EST. CAÑADA VERDE)
14084120,GENERAL LAVALLE
14147330,VILLA  LA BOLSA
14147350,VILLA PARQUE SANTA ANA (VILLA PARQUE SANTA ANA)
14007060000,EMBALSE
14007070000,LA CRUZ
14007080000,LA CUMBRECITA
14007130000,LOS REARTES
14007180000,SAN AGUSTIN
14007310000,VILLA GENERAL BELGRANO
14007340000,VILLA RUMIPAL
14014010000,CORDOBA
14021050000,COLONIA CAROYA
14021060000,COLONIA TIROLESA
14021140000,JESUS MARIA
14021150000,LA CALERA
14021200000,MENDIOLAZA
14021230000,RIO CEBALLOS
14021240000,SALDAN
14021250000,SALSIPUEDES
14021280000,UNQUILLO
14021290000,VILLA ALLENDE
14028050000,CRUZ DEL EJE
14042070000,LA PALESTINA
14042110000,PASCO
14042150000,TIO PUJIO
14042170000,VILLA MARIA
14042180000,VILLA NUEVA
14049050000,DEAN FUNES
14056070000,GENERAL CABRERA
14056080000,GENERAL DEHEZA
14056100000,LA CARLOTA
14056160000,UCACHA
14063090000,CORRAL DE BUSTOS
14063100000,CRUZ ALTA
14063130000,GUATIMOZIN
14063140000,INRIVILLE
14063150000,ISLA VERDE
14063160000,LEONES
14063180000,MARCOS JUAREZ
14063190000,MONTE BUEY
14070060000,SAN CARLOS MINAS
14084010000,GENERAL LEVALLE
14084030000,LABOULAYE
14091040000,CAPILLA DEL MONTE
14091110000,LA CUMBRE
14091120000,LA FALDA
14091140000,LOS COCOS
14091160000,MAYU SUMAJ
14091230000,TANTI
14091250000,VILLA CARLOS PAZ
14091290000,VILLA PARQUE SIQUIMAN
14098010000,ACHIRAS
14098060000,BULNES
14098110000,ELENA
14098150000,LAS ACEQUIAS
14098170000,LAS HIGUERAS
14098230000,RIO CUARTO
14098240000,SAMPACHO
14098290000,VICUÑA MACKENNA
14105110000,LA PARA
14105190000,MONTECRISTO
14112130000,VILLA DE MARIA
14119050000,COLAZO
14119120000,LUQUE
14119150000,ONCATIVO
14119160000,PILAR
14119190000,RIO SEGUNDO
14119210000,VILLA DEL ROSARIO
14126090000,MINA CLAVERO
14126160000,SAN PEDRO
14126200000,VILLA CURA BROCHERO
14133200000,VILLA DOLORES
14140010000,ALICIA
14140030000,ARROYITO
14140040000,BALNEARIA
14140050000,BRINCKMANN
14140110000,COLONIA SAN BARTOLOME
14140160000,DEVOTO
14140220000,FREYRE
14140230000,LA FRANCIA
14140270000,LAS VARILLAS
14140290000,MIRAMAR
14140300000,MORTEROS
14140330000,PORTEÑA
14140360000,SAN FRANCISCO
14140380000,SEEBER
14140400000,TRANSITO
14147010000,ALTA GRACIA
14147210000,MALAGUEÑO
14147230000,POTRERO DE GARAY
14147280000,TOLEDO
14154010000,CAMINIAGA
14154050000,SAN FRANCISCO DEL CHAÑAR
14161060000,HERNANDO
14161110000,OLIVA
14161150000,RIO TERCERO
14161160000,TANCACHA
14168120000,VILLA DEL TOTORAL
14175080000,SAN JOSE DE LA DORMIDA
14182060000,BELL VILLE
14182080000,CANALS
14182130000,IDIAZABAL
14182150000,LABORDE
14182200000,ORDOÑEZ
14182250000,SAN MARCOS
