id_location,location
30021220,VALLE MARIA
30070110,ALCARAZ SEGUNDO
30008020000,COLON
30008090001,EL BRILLANTE
30008090003,SAN JOSE
30008100000,UBAJAY
30008110000,VILLA ELISA
30015030000,COLONIA AYUI
30015060002,CONCORDIA
30015090000,LA CRIOLLA
30015100000,LOS CHARRUAS
30021060000,ALDEA VALLE MARIA
30021080001,DIAMANTE
30021080002,STROBEL
30021120000,GENERAL RAMIREZ
30021150002,VILLA LIBERTADOR SAN MARTIN
30028010000,CHAJARI
30028070000,FEDERACION
30028090000,SAN JAIME DE LA FRONTERA
30028110000,SANTA ANA
30028120000,VILLA DEL ROSARIO
30035030000,FEDERAL
30035050000,SAUCE DE LUNA
30042010000,SAN JOSE DE FELICIANO
30049030000,GENERAL GALARZA
30049040000,GUALEGUAY
30056010000,ALDEA SAN ANTONIO
30056060000,GILBERT
30056070000,GUALEGUAYCHU
30056090000,LARROQUE
30056110000,URDINARRAIN
30063030000,IBICUY
30063060000,VILLA PARANACITO
30070010000,BOVRIL
30070040000,LA PAZ
30070050000,PIEDRAS BLANCAS
30070080000,SANTA ELENA
30077010000,ARANGUREN
30077050000,HERNANDEZ
30077060000,LUCAS GONZALEZ
30077070000,NOGOYA
30084010000,ALDEA MARIA LUISA
30084050001,CERRITO
30084060000,COLONIA AVELLANEDA
30084070000,CRESPO
30084100000,HASENKAMP
30084110000,HERNANDARIAS
30084120000,LA PICADA
30084140000,MARIA GRANDE
30084150000,ORO VERDE
30084160000,PARANA
30084200000,SAN BENITO
30084230000,SEGUI
30084250000,TABOSSI
30084270000,VIALE
30084300000,VILLA URQUIZA
30088010000,GENERAL CAMPOS
30088020000,SAN SALVADOR
30091050000,GOBERNADOR MANSILLA
30091090000,MACIA
30091100000,ROSARIO DEL TALA
30098010000,BASAVILBASO
30098020000,CASEROS
30098030000,COLONIA ELIA
30098040000,CONCEPCION DEL URUGUAY
30098060000,HERRERA
30098090000,1 DE MAYO
30098100000,PRONUNCIAMIENTO
30098120000,SANTA ANITA
30098140000,VILLA SAN JUSTO
30105060000,VICTORIA
30113060000,VILLA CLARA
30113070000,VILLA DOMINGUEZ
30113080000,VILLAGUAY
