id_location,location
42056030,CORONEL HILARIO LAGOS  (EST. AGUAS BUENAS)
42007010000,DOBLAS
42007020000,MACACHIN
42007030000,MIGUEL RIGLOS
42007040000,ROLON
42007050000,TOMAS M. ANCHORENA
42014020000,LA ADELA
42021010000,ANGUIL
42021020000,SANTA ROSA
42028010000,CATRILO
42028030000,LONQUIMAY
42028040000,URIBURU
42035020000,EDUARDO CASTEX
42035040000,MONTE NIEVAS
42035060000,WINIFREDA
42049010000,SANTA ISABEL
42056010000,BERNARDO LARROUDE
42056040000,INTENDENTE ALVEAR
42056060000,VERTIZ
42070000024,REMECO
42070010000,ALPACHIRI
42070020000,GENERAL MANUEL J. CAMPOS
42070030000,GUATRACHE
42070050000,SANTA TERESA
42077010000,ABRAMO
42077020000,BERNASCONI
42077030000,GENERAL SAN MARTIN
42077050000,JACINTO ARAUZ
42098030000,LUAN TORO
42098050000,VICTORICA
42105030000,GENERAL PICO
42112020000,25 DE MAYO
42119010000,COLONIA BARON
42119030000,MIGUEL CANE
42119040000,QUEMU QUEMU
42119060000,VILLA MIRASOL
42126010000,CALEUFU
42126030000,LA MARUJA
42126040000,PARERA
42126060000,QUETREQUEN
42126070000,RANCUL
42133020000,ALTA ITALIA
42133040000,EMBAJADOR MARTINI
42133060000,INGENIERO LUIGGI
42133080000,REALICO
42140020000,TOAY
42147010000,ARATA
42147030000,TRENEL
42154010000,ATALIVA ROCA
42154030000,COLONIA SANTA MARIA
42154040000,GENERAL ACHA
42154050000,QUEHUE
