id_location,location
54014100,SAN VICENTE
54028030,POSADAS (MUNICIPIO DE POSADAS)
54042110,COLONIA DELICIA
54049080,COMANDANTE ANDRESITO
54063090,IGUAZU
54007010000,APOSTOLES
54007020000,AZARA
54007060000,SAN JOSE
54014010000,ARISTOBULO DEL VALLE
54014020000,CAMPO GRANDE
54014030000,DOS DE MAYO NUCLEO I
54014070000,PUEBLO ILLIA
54021010000,BONPLAND
54021020000,CANDELARIA
54021030000,CERRO CORA
54021070000,PUERTO SANTA ANA
54028010000,GARUPA
54028030000,POSADAS
54035020000,CONCEPCION DE LA SIERRA
54042020000,ELDORADO
54049000016,EL CENTRAL (SAN ANTONIO)
54049010000,ALMIRANTE BROWN
54049020000,BERNARDO DE IRIGOYEN
54049030000,DOS HERMANAS
54049050000,SAN ANTONIO
54056000004,ANDRESITO (EL SOBERBIO)
54056000040,PICADA SULMA (SAN VICENTE)
54056010000,EL SOBERBIO
54056030000,SAN VICENTE
54063000021,PUERTO LIBERTAD
54063010000,ESPERANZA
54063030000,PUERTO IGUAZU
54063040000,WANDA
54070040000,CERRO AZUL
54070060000,GOBERNADOR LOPEZ
54070070000,LEANDRO N. ALEM
54077010000,CAPIOVI
54077020000,EL ALCAZAR
54077030000,GARUHAPE
54077050000,PUERTO LEONI
54077060000,PUERTO RICO
54077070000,RUIZ DE MONTOYA
54084030000,MONTECARLO
54084050000,PUERTO PIRAY
54091020000,CAMPO RAMON
54091030000,CAMPO VIERA
54091060000,GUARANI
54091070000,LOS HELECHOS
54091080000,OBERA
54091090000,PANAMBI
54091120000,VILLA BONITA
54098020000,CORPUS
54098050000,GOBERNADOR ROCA
54098080000,JARDIN AMERICA
54098110000,SAN IGNACIO
54098120000,SANTO PIPO
54105020000,ITACARUARE
54105040000,SAN JAVIER
54112000025,POZO AZUL
54112040000,SAN PEDRO
54119030000,COLONIA AURORA
54119050000,SANTA RITA
54119060000,25 DE MAYO
