id_location,location
58113020,MARIANO MORENO  (MARIANO MORENO)
58007010000,ALUMINE
58007020000,VILLA PEHUENIA
58014010000,AÑELO
58014020000,SAN PATRICIO DEL CHAÑAR
58028010000,PIEDRA DEL AGUILA
58035030000,CENTENARIO
58035040000,CUTRAL CO
58035050000,EL CHOCON
58035070000,NEUQUEN
58035090000,PLAZA HUINCUL
58035100000,PLOTTIER
58035110000,SENILLOSA
58042010000,CHOS MALAL
58049010000,JUNIN DE LOS ANDES
58056010000,SAN MARTIN DE LOS ANDES
58063020000,LONCOPUE
58070010000,VILLA LA ANGOSTURA
58077010000,ANDACOLLO
58077020000,HUINGANCO
58077030000,LAS OVEJAS
58084010000,CAVIAHUE
58084020000,COPAHUE
58084030000,EL CHOLAR
58084040000,EL HUECU
58091020000,BUTA RANQUIL
58091040000,RINCON DE LOS SAUCES
58098020000,PICUN LEUFU
58105030000,LAS LAJAS
58112040000,ZAPALA
