id_location,location
62007020000,EL CONDOR
62007090000,VIEDMA
62014030000,CHIMPAY
62014040000,CHOELE CHOEL
62014070000,LAMARQUE
62014080000,LUIS BELTRAN
62021030000,EL BOLSON
62021060000,SAN CARLOS DE BARILOCHE
62028020000,GENERAL CONESA
62042010000,ALLEN
62042360000,CATRIEL
62042370000,CERVANTES
62042380000,CHICHINALES
62042390000,CINCO SALTOS
62042400000,CIPOLLETTI
62042440000,GENERAL FERNANDEZ ORO
62042450000,GENERAL ROCA
62042460000,INGENIERO LUIS A. HUERGO
62042550000,VILLA MANZANO
62042560000,VILLA REGINA
62063020000,RIO COLORADO
62077010000,LAS GRUTAS
62077050000,SAN ANTONIO OESTE
62077060000,SIERRA GRANDE
62084060000,VALCHETA
62091050000,INGENIERO JACOBACCI
62091060000,LOS MENUCOS
