id_location,location
66056220,TARTAGAL (TARTAGAL)
66007010000,APOLINARIO SARAVIA
66007060000,EL QUEBRACHAL
66007090000,JOAQUIN V. GONZALEZ
66007100000,LAS LAJITAS
66014010000,CACHI
66021010000,CAFAYATE
66028050000,SALTA
66028060000,VILLA SAN LORENZO
66035010000,CERRILLOS
66035020000,LA MERCED
66042010000,CHICOANA
66042020000,EL CARRIL
66049010000,CAMPO SANTO
66049040000,GENERAL GUEMES
66056010000,AGUARAY
66056090000,EMBARCACION
66056110000,GENERAL MOSCONI
66056200000,PROFESOR SALVADOR MAZZA
66077020000,VAQUEROS
66084020000,EL TALA
66098030000,CORONEL MOLDES
66112050000,METAN VIEJO
66126020000,COLONIA SANTA ROSA
66126030000,EL TABACAL
66126060000,PICHANAL
66126070000,SAN RAMON DE LA NUEVA ORAN
66140050000,ROSARIO DE LA FRONTERA
66147010000,CAMPO QUIJANO
66147030000,ROSARIO DE LERMA
