id_location,location
70007090,ALBARDON CENTRO
70021010,BARREAL  - VILLA PITUIL
70056130,AGUADA
70070160,POCITO
70091020,DOS ACEQUIAS (EST. LOS ANGACOS)
70126110,25 DE MAYO
70007010000,EL RINCON
70007020004,VILLA GENERAL SAN MARTIN
70021020000,CALINGASTA
70028010000,SAN JUAN
70035015000,BARRIO JUSTO P. CASTRO IV
70035020000,CAUCETE
70042010001,CHIMBAS
70049030000,IGLESIA
70056080000,SAN JOSE DE JACHAL
70063040000,9 DE JULIO
70070010000,BARRIO RUTA 40
70070020000,CARPINTERIA
70070040002,VILLA ABERASTAIN
70077010001,EL MEDANITO
70077010002,RAWSON
70077010003,VILLA KRAUSE
70084010000,RIVADAVIA
70091040000,VILLA EL SALVADOR
70091070000,VILLA SAN MARTIN
70098010001,ALTO DE SIERRA
70098010003,SANTA LUCIA
70105050000,GUANACACHE
70105100000,VILLA MEDIA AGUA
70112010000,VILLA IBAÑEZ
70119060000,VILLA SAN AGUSTIN
70126010000,EL ENCON
70126050000,VILLA SANTA ROSA
70133010001,VILLA BASILIO NIEVAS
