id_location,location
74056105,LA PUNTA
74007010000,CANDELARIA
74007040000,LUJAN
74007050000,QUINES
74007070000,SAN FRANCISCO DEL MONTE DE ORO
74021020000,EL TRAPICHE
74021030000,FRAGA
74021060000,LA TOMA
74028010000,CONCARAN
74028030000,NASCHEL
74028070000,TILISARAO
74028090000,VILLA LARCA
74035030000,JUSTO DARACT
74035070000,VILLA MERCEDES
74035080002,5TA BRIGADA
74042020000,ARIZONA
74042050000,BUENA ESPERANZA
74042130000,NUEVA GALIA
74042140000,UNION
74049010000,CARPINTERIA
74049060000,MERLO
74049070000,SANTA ROSA DEL CONLARA
74056080000,EL VOLCAN
74056100003,EL CHORRILLO
74056100004,LAS CHACRAS
74056100005,SAN ROQUE
74056105000,CIUDAD DE LA PUNTA
74056120000,POTRERO DE LOS FUNES
74056150000,SAN LUIS
74063070000,SAN MARTIN
