id_location,location
82056040,CARRIZALES (EST. CLARKE)
82063210,COLASTINE NORTE
82007010000,ARMSTRONG
82007020000,BOUQUET
82007030000,LAS PAREJAS
82007040000,LAS ROSAS
82007050000,MONTES DE OCA
82007060000,TORTUGAS
82014010000,AREQUITO
82014020000,ARTEAGA
82014030000,BERAVEBU
82014040000,BIGAND
82014050000,CASILDA
82014060000,CHABAS
82014070000,CHAÑAR LADEADO
82014080000,GODEKEN
82014090000,LOS MOLINOS
82014110000,LOS QUIRQUINCHOS
82014120000,SAN JOSE DE LA ESQUINA
82021020000,ANGELICA
82021030000,ATALIVA
82021070000,BELLA ITALIA
82021150000,ESMERALDA
82021160000,ESTACION CLUCELLAS
82021180000,EUSEBIA Y CAROLINA
82021200000,FRONTERA
82021220000,HUMBERTO PRIMO
82021240000,LEHMANN
82021250000,MARIA JUANA
82021310000,RAFAELA
82021320000,RAMONA
82021340000,SAN VICENTE
82021350000,SANTA CLARA DE SAGUIER
82021360000,SUNCHALES
82021370000,SUSANA
82021380000,TACURAL
82021390000,VILA
82021430000,ZENON PEREYRA
82028010000,ALCORTA
82028040000,BOMBAL
82028050000,CAÑADA RICA
82028070000,EMPALME VILLA CONSTITUCION
82028080000,FIRMAT
82028090000,GENERAL GELLY
82028100000,GODOY
82028110000,JUAN B. MOLINA
82028120000,JUNCAL
82028140000,MAXIMO PAZ
82028150000,PAVON
82028160000,PAVON ARRIBA
82028170000,PEYRANO
82028180000,RUEDA
82028230000,VILLA CONSTITUCION
82035010000,CAYASTA
82035020000,HELVECIA
82035050000,SANTA ROSA DE CALCHINES
82042020000,AMENABAR
82042030000,CAFFERATA
82042040000,CAÑADA DEL UCLE
82042050000,CARMEN
82042060000,CARRERAS
82042080000,CHOVET
82042100000,DIEGO DE ALVEAR
82042110000,ELORTONDO
82042130000,HUGHES
82042150000,LABORDEBOY
82042170000,MAGGIOLO
82042180000,MARIA TERESA
82042190000,MELINCUE
82042210000,MURPHY
82042220000,RUFINO
82042250000,SAN GREGORIO
82042260000,SANCTI SPIRITU
82042270000,SANTA ISABEL
82042290000,VENADO TUERTO
82042300000,VILLA CAÑAS
82049010000,ARROYO CEIBAL
82049020000,AVELLANEDA
82049060000,FLORENCIA
82049070000,GUADALUPE NORTE
82049110000,LANTERI
82049120000,LAS GARZAS
82049130000,LAS TOSCAS
82049150000,MALABRIGO
82049180000,RECONQUISTA
82049190000,SAN ANTONIO DE OBLIGADO
82049200000,TACUARENDI
82049220000,VILLA GUILLERMINA
82049230000,VILLA OCAMPO
82056000031,LUCIO V. LOPEZ
82056020000,BUSTINZA
82056030000,CAÑADA DE GOMEZ
82056050000,CLASSON
82056070000,CORREA
82056100000,OLIVEROS
82056110000,PUEBLO ANDINO
82056120000,SALTO GRANDE
82056140000,TOTORAS
82063070000,EMILIA
82063080000,LAGUNA PAIVA
82063090000,LLAMBI CAMPBELL
82063100000,MONTE VERA
82063110000,NELSON
82063140000,RECREO
82063160000,SAN JOSE DEL RINCON
82063170000,SANTA FE
82063180000,SANTO TOME
82070030000,ELISA
82070040000,EMPALME SAN CARLOS
82070050000,ESPERANZA
82070060000,FELICIA
82070070000,FRANCK
82070100000,HUMBOLDT
82070120000,LA PELADA
82070140000,MARIA LUISA
82070170000,PILAR
82070190000,PROGRESO
82070210000,SA PEREYRA
82070230000,SAN CARLOS CENTRO
82070240000,SAN CARLOS NORTE
82070250000,SAN CARLOS SUD
82070270000,SAN JERONIMO NORTE
82070290000,SANTA CLARA DE BUENA VISTA
82070300000,SANTO DOMINGO
82070310000,SARMIENTO
82077030000,GREGORIA PEREZ DE DENIS
82077060000,POZO BORRADO
82077080000,TOSTADO
82077090000,VILLA MINETTI
82084010000,ACEBAL
82084020000,ALBARELLOS
82084030000,ALVAREZ
82084040000,ALVEAR
82084070000,ARROYO SECO
82084090000,CORONEL BOGADO
82084100000,CORONEL RODOLFO S. DOMINGUEZ
82084130000,FIGHIERA
82084140000,FUNES
82084150000,GENERAL LAGOS
82084160000,GRANADERO BAIGORRIA
82084170000,IBARLUCEA
82084210000,PEREZ
82084230000,PUEBLO ESTHER
82084270000,ROSARIO
82084310000,VILLA GOBERNADOR GALVEZ
82091020000,AMBROSETTI
82091030000,ARRUFO
82091060000,CERES
82091120000,HERSILIA
82091180000,MOISES VILLE
82091220000,SAN CRISTOBAL
82091230000,SAN GUILLERMO
82091250000,SOLEDAD
82091260000,SUARDI
82091280000,VILLA TRINIDAD
82098010000,ALEJANDRA
82098050000,ROMANG
82098060000,SAN JAVIER
82105010000,AROCENA
82105030000,BARRANCAS
82105060000,BERNARDO DE IRIGOYEN
82105080000,CENTENO
82105090000,CORONDA
82105110000,DIAZ
82105120000,GABOTO
82105130000,GALVEZ
82105140000,GESSLER
82105150000,IRIGOYEN
82105180000,LOPEZ
82105190000,MACIEL
82105200000,MONJE
82105240000,SAN GENARO
82105250000,SAN GENARO NORTE
82112050000,GOBERNADOR CRESPO
82112060000,LA CRIOLLA
82112080000,MARCELINO ESCALADA
82112130000,SAN JUSTO
82112160000,VERA Y PINTADO
82112170000,VIDELA
82119010000,ALDAO
82119020000,CAPITAN BERMUDEZ
82119030000,CARCARAÑA
82119040000,CORONEL ARNOLD
82119050000,FRAY LUIS BELTRAN
82119060000,FUENTES
82119070000,LUIS PALACIOS
82119080000,PUERTO GENERAL SAN MARTIN
82119090000,PUJATO
82119100000,RICARDONE
82119110000,ROLDAN
82119120000,SAN JERONIMO SUD
82119130000,SAN LORENZO
82119160000,VILLA MUGUETA
82126010000,CAÑADA ROSQUIN
82126020000,CARLOS PELLEGRINI
82126050000,COLONIA BELGRANO
82126070000,EL TREBOL
82126080000,LANDETA
82126100000,LAS PETACAS
82126110000,LOS CARDOS
82126120000,MARIA SUSANA
82126130000,PIAMONTE
82126140000,SAN JORGE
82126150000,SAN MARTIN DE LAS ESCOBAS
82126160000,SASTRE
82133010000,CALCHAQUI
82133110000,MARGARITA
82133170000,VERA
