id_location,location
86126080,OJO DE AGUA
86161190,FORRES
86175170,PINTO
86014010000,CAMPO GALLO
86021030000,VILLA ATAMISQUI
86028010000,COLONIA DORA
86028050000,REAL SAYANA
86035060000,CLODOMIRA
86035090000,LA BANDA
86042010000,BANDERA
86042040000,GUARDIA ESCOLTA
86049110000,SANTIAGO DEL ESTERO
86056050000,MONTE QUEMADO
86056060000,NUEVA ESPERANZA
86056070000,PAMPA DE LOS GUANACOS
86063040000,FRIAS
86070000045,JUMIAL GRANDE
86077010000,AÑATUYA
86077050000,LOS JURIES
86084010000,LAVALLE
86098040000,SUNCHO CORRAL
86105010000,VILLA SAN MARTIN
86119100000,QUIMILI
86119120000,TINTINA
86140020000,SUMAMPA
86147130000,TERMAS DE RIO HONDO
86154010000,COLONIA ALPINA
86154030000,SELVA
86161010000,BELTRAN
86161030000,FERNANDEZ
86168020000,LOS TELARES
86175010000,BREA POZO
86182010000,GARZA
