id_location,location
90070130,LEÓN ROUGES
90105110,LAS TALITAS
90007040000,GARMENDIA
90007090000,VILLA BENJAMIN ARAOZ
90007100000,VILLA BURRUYACU
90014010001,ALDERETES
90014020001,BANDA DEL RIO SALI
90014020003,LASTENIA
90014040000,COLOMBRES
90014060001,EL PARAISO
90014080002,LA FLORIDA
90014100001,EX INGENIO LOS RALOS
90014120000,RANCHILLOS
90014130000,SAN ANDRES
90021050000,CONCEPCION
90021070000,LA TRINIDAD
90028030002,FAMAILLA
90035010000,GRANEROS
90035020000,LAMADRID
90035030000,TACO RALO
90042010000,JUAN BAUTISTA ALBERDI
90042020000,VILLA BELGRANO
90049010000,LA COCHA
90049020000,SAN JOSE DE LA COCHA
90056000052,EL MOLLAR
90056010000,BELLA VISTA
90056070000,SANTA ROSA DE LEALES
90056090000,VILLA DE LEALES
90063020002,EL MANANTIAL
90063030000,INGENIO SAN PABLO
90063040000,LA REDUCCION
90063050000,LULES
90070010000,ACHERAL
90070030000,MONTEROS
90070050000,RIO SECO
90070060000,SANTA LUCIA
90070100000,VILLA QUINTEROS
90077010001,AGUILARES
90077020000,LOS SARMIENTOS
90077040000,SANTA ANA
90084010000,SAN MIGUEL DE TUCUMAN
90091050000,SIMOCA
90098010000,AMAICHA DEL VALLE
90098040000,TAFI DEL VALLE
90105080000,TAFI VIEJO
90105100000,VILLA MARIANO MORENO - EL COLMENAR
90112020000,SAN PEDRO DE COLALAO
90112030000,VILLA DE TRANCAS
90119020000,VILLA CARMELA
90119030002,YERBA BUENA - MARCOS PAZ
