,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
2,70064412318286,MARSICO,6,BUENOS AIRES,441,LA PLATA,6441030015,LA PLATA,1900,Avenida 7 445,
5,70060352318295,MODERNA,6,BUENOS AIRES,35,AVELLANEDA,6035010006,PIÑEYRO,1870,Avenida Galicia 410,
6,70067072315037,BOTIQUIN FARMACIA,6,BUENOS AIRES,707,SALADILLO,6707000003,BLAQUIER,6065,Buenos Aires S/n,
7,70060912318298,BIANCHI,6,BUENOS AIRES,91,BERAZATEGUI,6091010001,BERAZATEGUI,1884,Avenida 14 Presidente Juan Domingo Perón 4653,
8,70060912818296,MUTUAL DUCILO,6,BUENOS AIRES,91,BERAZATEGUI,6091010001,BERAZATEGUI,1884,Avenida Mitre 442,
17,70064272318471,MAGNANI,6,BUENOS AIRES,427,LA MATANZA,6427010008,RAFAEL CASTILLO,1755,Ventura Yanzi 2155,
18,70067702318472,ALLEGRONE,6,BUENOS AIRES,770,SAN PEDRO,6770050000,SAN PEDRO,2930,Bartolomé Mitre 1790,
19,70067602318367,LOS HORNEROS S.C.S,6,BUENOS AIRES,760,SAN MIGUEL,6760010003,MUÑIZ,1663,San José 914,
20,70064342318307,PFM SAN MARTIN 2101 SCS,6,BUENOS AIRES,434,LANÚS,6434010003,LANUS OESTE,1824,San Martín 2201,
23,70062522318230,SP HEALTH CENTER SCS,6,BUENOS AIRES,252,ESCOBAR,6252010005,LOMA VERDE,1625,Colectora Oeste Ramal Pilar 770,
27,70066442318238,GALENOS,6,BUENOS AIRES,644,PINAMAR,6644010003,PINAMAR,7167,Simbad El Marino 74,
28,70067492318242,FARMACIA OTHARAN,6,BUENOS AIRES,749,SAN FERNANDO,6749010003,VIRREYES,1646,Belgrano 1964,
32,70064102318420,NUEVO PUENTE S.C.S.,6,BUENOS AIRES,410,ITUZAINGÓ,6410010001,ITUZAINGO CENTRO,1714,Gaona,
33,70060632318422,MARIOLI,6,BUENOS AIRES,63,BALCARCE,6063010000,BALCARCE,7620,Avenida del Valle 80,
1758,70068612310541,IARA,6,BUENOS AIRES,861,VICENTE LÓPEZ,6861010006,OLIVOS,1636,GOBERNADOR UGARTE 3311,
1759,70063572310545,FARMACIA 25 DE MAYO,6,BUENOS AIRES,357,GENERAL PUEYRREDÓN,6357110003,MAR DEL PLATA,7600,25 DE MAYO 3611,
1760,70068052310542,Farmacia Magnin,6,BUENOS AIRES,805,TIGRE,6805010003,DON TORCUATO ESTE,1,TRIUNVIRATO 1875,
1761,70067602310543,Farmacia Central San MIguel S. C. S.,6,BUENOS AIRES,760,SAN MIGUEL,6760010004,SAN MIGUEL,1663,Av. Balbin 1181,
1762,70068612310544,TKL Munro SCS,6,BUENOS AIRES,861,VICENTE LÓPEZ,6861010005,MUNRO,1605,AVENIDA  VELEZ SARFIELD 4653,
1779,70068262310918,FAILLA RAUL HORACIO,6,BUENOS AIRES,826,TRENQUE LAUQUEN,6826050000,TRENQUE LAUQUEN,6400,WILDE 55,
1780,70062242310919,PALUMBO ELIO,6,BUENOS AIRES,224,CHIVILCOY,6224010000,CHIVILCOY,6620,AVENIDA  VILLARINO 399,
1781,70060842310920,DELLAVALLE,6,BUENOS AIRES,84,BENITO JUÁREZ,6084020000,BENITO JUAREZ,7020,Avenida Alsina 148,
1782,70064692310921,ALFARO GABRIEL JOSE,6,BUENOS AIRES,469,LINCOLN,6469080000,LINCOLN,6070,PUEYRREDON 701,
1783,70068612310922,MONTEVERDE MAXIMILIANO JAVIER,6,BUENOS AIRES,861,VICENTE LÓPEZ,6861010006,OLIVOS,1636,CORRIENTES 671,
1784,70060582310923,FARMACIA LEAL,6,BUENOS AIRES,658,QUILMES,6658010001,BERNAL,0,MONTEVIDEO 1573,
1785,70064132310924,ARISNABARRETA MARCELO OSCAR,6,BUENOS AIRES,413,JUNÍN,6413050000,JUNIN,6000,villegas 218,
1786,70064902310925,CLEMENTE RUBEN SERGIO,6,BUENOS AIRES,490,LOMAS DE ZAMORA,6490010001,BANFIELD,1828,ALEM 1448,
1787,70064972310926,LUCIANI NESTOR HERNANDO,6,BUENOS AIRES,497,LUJÁN,6497100,ESTACION JAUREGUI VILLA FLANDRIA,6706,TROPERO MOREIRA 680,
1788,70061822310927,ZANDONADI LUIS ALBERO HUGO,6,BUENOS AIRES,182,CORONEL DE MARINA L. ROSALES,6182020000,BALNEARIO PEHUEN CO,8109,BROWN 151,
1789,70063572310928,GARCIA CARLOS JORGE,6,BUENOS AIRES,357,GENERAL PUEYRREDÓN,6357110003,MAR DEL PLATA,1,CATAMARCA 3201,
1790,70067912310929,FARMACIA SUBELZA,6,BUENOS AIRES,791,TANDIL,6791050000,TANDIL,7000,AVENIDA  FALUCHO 701,
1791,70064412310930,PASQUALI PABLO DANIEL,6,BUENOS AIRES,441,LA PLATA,6441030023,VILLA ELISA,1894,CALLE 422 154,
