,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
30,70020012317538,BRIUT,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1414,Gurruchaga 684,
77,70020012317495,FARMACIA HIGIA,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1425,Paraguay 3514,
83,70020012317536,ACASSUSO,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1408,ACASSUSO Nº 6382,
84,70020012317755,VIDA,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1151,Constitución 1400,
85,70020012317769,GUAIREÑA,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1153,Avenida Juan de Garay 1221,
101,70020012317515,ADE -,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1408,Jose Leon Suarez 53,
105,70020012317542,HAYEM,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1098,Chile 700,
120,70020012317506,NUEVA PATRICIOS,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1265,Regimiento De Patricios 38,
130,70020012317782,PLASTANI,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1429,Avenida Cabildo 3307,
131,70020012317783,PIEDRAS 1960,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1140,Piedras 1960,
132,70020012317785,PARIS,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1414,RAUL SCALABRINI ORTIZ 1604,
133,70020012317791,MASTER S,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1431,Avenida Alvarez Thomas 2600,
134,70020012317795,NUEVA DE LOS VALORES,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1003,Avenida Leandro N. Alem 348,
138,70020012317493,FARMACITY,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1425,AV. SANTA FE Nº 4182,
146,70020012317523,FARMACIA P.M.P.,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1407,AV. OLIVERA N° 1093,
147,70020012317529,EL SOL FARMACEUTICA S C S,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1437,Saenz 296,
173,70020012317519,DEL OESTE,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1406,Fragata  Presidente Sarmiento Nº 9,
205,70020012317525,NUEVA RIGLOS,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1424,Riglos 277,
206,70020012817549,A.M.E.B.P.B.A.,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1066,Bolivar 368,
207,70020012317550,ZEUZ (GAONA),2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1407,AV GAONA Nº 4202,
226,70020012317553,YERFINO,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1102,CARLOS CALVO Nº 1500,
277,70020012317798,LA GUARDIANA,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1424,DIRECTORIO 2,
278,70020012317526,NUEVA FARMACIA DANGES S.C.S.,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1424,Av. Directorio 280,
279,70020012317531,MAGEL S.A .,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1417,Helguera 2756,
280,70020012317532,MILLENIUM III,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1416,Nazca 2102,
313,70020012317799,LA HOMEOPATICA DE LINIERS,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1408,LISANDRO DE LA TORRE 201,
314,70020012317801,MODERNA,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1185,Avenida Estado de Israel 4601,
315,70020012317807,LAION,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1075,Santiago del Estero 121,
316,70020012317809,LAFE,2,CABA,0,COMUNA 1,2000010000,CIUDAD DE BUENOS AIRES,1419,AVDA. SAN MARTIN 7277,
