,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
1,70100352324743,SALUDFARMA,10,CATAMARCA,35,BELÉN,10035020000,BELEN,4750,Mitre 14,
12,70100352124818,BOTIQUIN OSEP BELEN,10,CATAMARCA,35,BELÉN,10035020000,BELEN,4750,Sarmiento 386,
14,70100492324465,VITAL,10,CATAMARCA,49,CAPITAL,10049050,CAPITAL,4700,AV. SANCHEZ OVIEDO Nº1047,
34,70100492324451,FARMAGEN,10,CATAMARCA,49,CAPITAL,10049050,CAPITAL,4700,Guemes  307,
53,70100492324460,SALTA,10,CATAMARCA,49,CAPITAL,10049050,CAPITAL,4700,CHACABUCO Nº 687,
122,70100492324481,SARMIENTO,10,CATAMARCA,49,CAPITAL,10049030000,SAN FERNANDO DEL VALLE DE CATAMARCA,4700,Sarmiento Nº 836,
123,70101122324492,ESQUIU,10,CATAMARCA,112,VALLE VIEJO,10112040007,VILLA DOLORES,4707,Joaquin Acuña 125,
126,70100492724538,2 DE FEBRERO,10,CATAMARCA,49,CAPITAL,10049030000,SAN FERNANDO DEL VALLE DE CATAMARCA,4700,San Martín 168,
127,70100492324540,CHANGO MAS,10,CATAMARCA,49,CAPITAL,10049030000,SAN FERNANDO DEL VALLE DE CATAMARCA,4700,Acosta Villafañe 2420,
128,70100492324560,MAS SALUD II,10,CATAMARCA,49,CAPITAL,10049030000,SAN FERNANDO DEL VALLE DE CATAMARCA,4700,Avenida Costa Villafañe 1557,
141,70100492324478,LA TABLADA,10,CATAMARCA,49,CAPITAL,10049030000,SAN FERNANDO DEL VALLE DE CATAMARCA,4700,Rivadavia Nº 1110,
142,70100492324479,MEDIPLUS IV,10,CATAMARCA,49,CAPITAL,10049030000,SAN FERNANDO DEL VALLE DE CATAMARCA,4700,Conesa 164,
143,70100492324555,UNIVERSITARIA,10,CATAMARCA,49,CAPITAL,10049030000,SAN FERNANDO DEL VALLE DE CATAMARCA,4700,Av. Belgrano Nº101,
