,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
31,70221052327489,BOTIQUIN CLINICA REGIONAL SRL,22,CHACO,105,9 DE JULIO,22105010000,LAS BREÑAS,3722,RIVADAVIA 605,
68,70220982326858,SAN ANTONIO,22,CHACO,98,MAYOR LUIS J. FONTANA,22098030000,VILLA ANGELA,3540,BELGRANO Y BALCARCE,
93,70221402326731,CATEDRAL II,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,JUAN DOMINGO PERON 09,
96,70221402326783,NUEVA RIOJA,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,REMEDIOS DE ESCALADA 575,
100,70221402326789,FARMACIA WAL-MART,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,RUTA 11 Y AVENIDA MARCONI,
165,70221402326735,CATEDRAL V,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,ARTURO ILLIA 502,
166,70221402326737,CENTRO II,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA 9 DE JULIO 297,
167,70221402326750,FARMAR II,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA 9 DE JULIO 1050 LOCAL 15,
168,70221402326757,FARMACITY 125,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA PARAGUAY 98,
199,70221402326793,25 DE MAYO,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA 25 DE MAYO 1401,
219,70221402326762,FARMACITY 174,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA SARMIENTO 744,
244,70221402326776,LA NUEVA CENTENARIO,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA 25 DE MAYO 301,
394,70221402326755,FARMACIA ESPAÑA,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,MZ 81 PARC 13 BARRIO ESPAÑA,
455,70221402326777,VEDIA V,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA PARAGUAY 8,
515,70221402326760,FARMACITY 155,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,GUEMES 101,
536,70221402126722,ALVEAR,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA ALVEAR 1140,
538,70221402326723,AMERICANA,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA SARMIENTO 1102,
584,70221402326740,CRISTAL S,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA 9 DE JULIO 2455,
585,70221402326786,NECOCHEA,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,NECOCHEA 120 UF 8 Y 9,
599,70221402326754,FARMACIA DEL PARANA SCS,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,JUAN B JUSTO 325,
609,70221402326802,9 DE JULIO,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA 9 DE JULIO 600,
648,70221402326733,CATEDRAL IV,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,ARTURO ILLIA 300,
655,70221402326764,FARMAVIDA,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AMEGHINO 187,
656,70221402326770,ISAIAS,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA HERNADARIAS 2060,
706,70221402326751,FARMAR III,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,JOSE MARIA PAZ 25,
736,70221402326761,FARMACITY 163,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA LAS HERAS 736,
760,70221402326759,FARMACITY 148,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA 9 DE JULIO 1050 LOCAL 1 Y 2,
787,70221402326743,DEL MILAGRO II,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,FRENCH 699,
788,70221402326756,FARMACITY 104,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,JOSE MARIA PAZ 151,
792,70221402326782,NUEVA RESISTENCIA,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,JULIO A ROCA 946,
815,70221402326732,CATEDRAL III,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,MITRE 101,
825,70221402326797,VITAL,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA 9 DE JULIO 1565,
826,70221402326798,ZAKS,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA 25 DE MAYO 888,
842,70221402326730,CATEDRAL I,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,JULIO A ROCA 101,
843,70221402326739,CRAVERO,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA URQUIZA 1444,
855,70221402326738,CENTRO III,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,CARLOS PELLEGRINI 710,
873,70221402326744,DEL NIÑO,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AMEGHINO 695,
874,70221402326745,DEL SAGRADO CORAZON SRL,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA HERNANDARIAS 786,
875,70221402326767,GENERAL PAZ RESISTENCIA,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,SANTA FE 124,
876,70221402326769,HERNANDARIAS,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA HERNANDARIAS 1799,
888,70221402326720,ALBERDI,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA ALBERDI 1244,
891,70221402326734,ALQUIMIA,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,JOSE M TOLEDO 1699,
892,70221402326763,EL INDIO S A,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,ARTURO ILLIA 2,
942,70221402326747,FARIAS I,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA 9 DE JULIO 1446,
968,70221402326742,DEL MILAGRO,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,ARTURO ILLIA 676,
969,70221402326765,GUASTI,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,DON BOSCO 296,
970,70221402326775,LINOE,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA SAN MARTIN 1115,
1148,70221402326749,FARMAR I,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,SANTA MARIA DE ORO 366,
1197,70221402326796,VEDIA III,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,GUEMES 98,
1220,70221402326725,ARGENTINA S C S,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,JUAN B JUSTO 1075,
1222,70221402326785,NUEVA VIDA,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA CASTELLI 3080,
1249,70221402326728,CAPITAL,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA SAN MARTIN 701,
1255,70221402326794,VEDIA SCS,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,JUAN DOMINGO PERON 202,
1355,70221402326741,DANIEL VIGLIONE,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA CASTELLI 1595,
1379,70221402326726,AVENIDA,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA ALBERDI 803,
1409,70221402726771,ISSUNNE,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,LOPEZ Y PLANES 620,
1422,70221402326727,BELEN,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA 9 DE JULIO 1925,
1423,70221402326746,ALEXIS,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA ALBERDI 1602,
1427,70221402326774,LA MERCED,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA CASTELLI 2310 LOCAL 38,
1428,70221402326795,VEDIA II,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,FRENCH 195,
1496,70221402326729,CASTELLI,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA CASTELLI 545,
1499,70221402326758,FARMACITY 126,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,JUAN DOMINGO PERON 100,
1502,70221402326778,MARCONI,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA MARCONI 1460,
1503,70221402326779,MARIA CALA,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,CENTRO COMERCIAL LOCAL 2 BARRIO SAN CAYETANO,
1504,70221402326780,MICROFARMA,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA ITALIA 1345,
1568,70221402326752,FARMAR IV,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,NECOCHEA 101,
1572,70221402326768,GUEMES,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA CHACO 1801,
1573,70221402326773,LA LEONOR,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA ALVEAR 2159,
1649,70221402326719,ALFRED,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA CHACO 1090,
1655,70221402726790,SOCIAL DEL INSSSEP,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,AVENIDA 25 DE MAYO 701,
1656,70221402326791,TERMAL,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,SANTA FE 864,
1657,70221402326792,SINDICAL CENTRO EMPLEADOS DE COMERCIO,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,MITRE 266,
1672,70221402826724,AMUDOCH,22,CHACO,140,SAN FERNANDO,22140060000,RESISTENCIA,3500,OBLIGADO 250,
1703,70220212526847,ISSUNCAUS,22,CHACO,21,COMANDANTE FERNÁNDEZ,22021010000,PRESIDENCIA ROQUE SAENZ PENA,3700,COMANDANTE FERNANDEZ 755,
1704,70220212326848,TRANCHET SRL,22,CHACO,21,COMANDANTE FERNÁNDEZ,22021010000,PRESIDENCIA ROQUE SAENZ PENA,3700,SAN MARTIN 202,
1713,70220982326855,DEL SOL,22,CHACO,98,MAYOR LUIS J. FONTANA,22098030000,VILLA ANGELA,3540,MAIPU 1161,
1728,70220212326846,ITATI,22,CHACO,21,COMANDANTE FERNÁNDEZ,22021010000,PRESIDENCIA ROQUE SAENZ PENA,3700,SAN MARTIN 502,
1735,70220982326888,ALBRECHT,22,CHACO,98,MAYOR LUIS J. FONTANA,22098010000,CORONEL DU GRATY,3541,ALBERDI 402,
1736,70220982326889,SCHVENING,22,CHACO,98,MAYOR LUIS J. FONTANA,22098010000,CORONEL DU GRATY,3541,AVELLANEDA 138,
1737,70220982326890,POLINI,22,CHACO,98,MAYOR LUIS J. FONTANA,22098010000,CORONEL DU GRATY,3541,ALBERDI 31,
1738,70220632326896,DEL PUEBLO,22,CHACO,63,GENERAL GÜEMES,22063060000,JUAN JOSE CASTELLI,3705,SARMIENTO 985,
1740,70220632326805,FARMAVIDA,22,CHACO,63,GENERAL GÜEMES,22063060000,JUAN JOSE CASTELLI,3705,SALTA 546,
1752,70221052326875,GUTIERREZ,22,CHACO,105,9 DE JULIO,22105010000,LAS BREÑAS,3722,SAN MARTIN 972,
1757,70221052826886,AMMACH-FARMACIA DE LA ASOCIACION MUTUAL MERCANTIL ARGENTINA DE LOS EMPLEADOS DE COMERCIO DEL CHACO,22,CHACO,105,9 DE JULIO,22105010000,LAS BREÑAS,3722,SARMIENTO 602,
1960,70220212326839,POLINI,22,CHACO,21,COMANDANTE FERNÁNDEZ,22021010000,PRESIDENCIA ROQUE SAENZ PENA,3700,MARIANO MORENO 197,
1967,70220212326841,VEDIA IV,22,CHACO,21,COMANDANTE FERNÁNDEZ,22021010000,PRESIDENCIA ROQUE SAENZ PENA,3700,SAN MARTIN 901,
2001,70220982326853,SAN JOSE,22,CHACO,98,MAYOR LUIS J. FONTANA,22098030000,VILLA ANGELA,3540,AVENIDA ALEM 517,
2002,70221052326871,CORIA,22,CHACO,105,9 DE JULIO,22105010000,LAS BREÑAS,3722,FUERTE ESPERANZA Y MAC LEAN,
2003,70221052326872,AVENIDA,22,CHACO,105,9 DE JULIO,22105010000,LAS BREÑAS,3722,FUERTE AZOPARDO Y AZOPARDO,
2004,70221052326873,JONES,22,CHACO,105,9 DE JULIO,22105010000,LAS BREÑAS,3722,GENERAL JONES Y SAN LORENZO,
2006,70221052326877,DRAGO,22,CHACO,105,9 DE JULIO,22105010000,LAS BREÑAS,3722,RIVADAVIA 955,
2036,70220982326891,FARMA SALUD SRL,22,CHACO,98,MAYOR LUIS J. FONTANA,22098010000,CORONEL DU GRATY,3541,SARGENTO CABRAL 319,
2037,70220982326892,GENESIS,22,CHACO,98,MAYOR LUIS J. FONTANA,22098010000,CORONEL DU GRATY,3541,SARMIENTO 302,
2077,70221402326887,KESQUE,22,CHACO,140,SAN FERNANDO,22140020000,BASAIL,3516,MADRE TERESA DE CALCUTA 231,
2116,70220632326898,CASTELLI,22,CHACO,63,GENERAL GÜEMES,22063060000,JUAN JOSE CASTELLI,3705,AVENIDA SAN MARTIN 2,
2170,70220213026844,SINDICAL MERCANTIL,22,CHACO,21,COMANDANTE FERNÁNDEZ,22021010000,PRESIDENCIA ROQUE SAENZ PENA,3700,BELGRANO 444,
2206,70220982326867,POLINI 9 DE JULIO,22,CHACO,98,MAYOR LUIS J. FONTANA,22098030000,VILLA ANGELA,3540,9 DE JULIO 99,
2350,70220842326815,SAN RAFAEL,22,CHACO,84,LIBERTADOR GENERAL SAN MARTÍN,22084020000,GENERAL JOSE DE SAN MARTIN,3509,ALBERDI  802 Y URUGUAY,
2351,70220212326838,SAENZ PEÑA,22,CHACO,21,COMANDANTE FERNÁNDEZ,22021010000,PRESIDENCIA ROQUE SAENZ PENA,3700,CALLE 207 ENTRE 212 Y 214 BARRIO LA MADRID,
2423,70220212326842,VEDIA SCS,22,CHACO,21,COMANDANTE FERNÁNDEZ,22021010000,PRESIDENCIA ROQUE SAENZ PENA,3700,SAN MARTIN ESQUINA 9 DE JULIO,
2426,70220982326866,VICTORIA,22,CHACO,98,MAYOR LUIS J. FONTANA,22098030000,VILLA ANGELA,3540,MARCELO T DE ALVEAR 40,
2465,70220842326813,SAN RAMON,22,CHACO,84,LIBERTADOR GENERAL SAN MARTÍN,22084020000,GENERAL JOSE DE SAN MARTIN,3509,URUGUAY 1250,
2466,70220212326819,EBEN EZER,22,CHACO,21,COMANDANTE FERNÁNDEZ,22021010000,PRESIDENCIA ROQUE SAENZ PENA,3700,AVENIDA JOHN KENNEDY 729,
2467,70220212326825,FARMA VIDA,22,CHACO,21,COMANDANTE FERNÁNDEZ,22021010000,PRESIDENCIA ROQUE SAENZ PENA,3700,AVENIDA MALVINAS ENTRE 31 Y 31 BIS,
2500,70220842326816,SANTA LUCIA,22,CHACO,84,LIBERTADOR GENERAL SAN MARTÍN,22084020000,GENERAL JOSE DE SAN MARTIN,3509,12 DE OCTUBRE 425,
2538,70220212326826,LUJAN,22,CHACO,21,COMANDANTE FERNÁNDEZ,22021010000,PRESIDENCIA ROQUE SAENZ PENA,3700,AVENIDA SARMIENTO 23,
2540,70220212326829,SAN MIGUEL,22,CHACO,21,COMANDANTE FERNÁNDEZ,22021010000,PRESIDENCIA ROQUE SAENZ PENA,3700,1º DE MARZO 2146,
2576,70220212326827,SAN CAYETANO,22,CHACO,21,COMANDANTE FERNÁNDEZ,22021010000,PRESIDENCIA ROQUE SAENZ PENA,3700,CALLE 128 ESQUINA 113 BARRIO NUEVO,
2619,70220982326862,POLINI,22,CHACO,98,MAYOR LUIS J. FONTANA,22098030000,VILLA ANGELA,3540,25 DE MAYO 627,
2620,70220982326859,FARMA PLUS,22,CHACO,98,MAYOR LUIS J. FONTANA,22098030000,VILLA ANGELA,3540,JOSE MARTIN Y SUIZA,
2689,70220842326807,SANTA ANA,22,CHACO,84,LIBERTADOR GENERAL SAN MARTÍN,22084020000,GENERAL JOSE DE SAN MARTIN,3509,SARMIENTO ESQUINA CHILE,
