,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
0,70260072329721,PUJOL,26,CHUBUT,7,BIEDMA,26007020000,PUERTO MADRYN,9120,LOS MAITENES  1538,
26,70260212329663,MAGISTRAL RODRIGUEZ,26,CHUBUT,21,ESCALANTE,26021030018,COMODORO RIVADAVIA,9000,Colonos Galeses 2183,
202,70260772329402,DEL CENTRO,26,CHUBUT,77,RAWSON,26077030000,RAWSON,9103,Mariano Moreno 574,
203,70260772329403,AUTOFARMA RW,26,CHUBUT,77,RAWSON,26077030000,RAWSON,9103,Avenida 25 de Mayo 219,
204,70260772329406,DE LA BAHIA,26,CHUBUT,77,RAWSON,26077020,PLAYA UNIÓN  (PUERTO RAWSON),9103,JUAN MANUEL DE ROSAS N ° 215,
294,70260772329401,CRISOL,26,CHUBUT,77,RAWSON,26077030000,RAWSON,9103,CONESA N° 236,
354,70260772329405,FARMACIAS PATAGONICAS RAWSON,26,CHUBUT,77,RAWSON,26077030000,RAWSON,9103,SARMIENTO N° 445,
1335,70260772729408,FARMACIA SEROS,26,CHUBUT,77,RAWSON,26077030000,RAWSON,9103,RIVADAVIA Y 9 DE JULIO,
1637,70260772329400,BIOFARMA,26,CHUBUT,77,RAWSON,26077030000,RAWSON,9103,VACCHINA N ° 203,
1700,70260352329505,DEL BARRIO,26,CHUBUT,35,FUTALEUFÚ,26035030000,ESQUEL,9200,Holdrich 3,
1709,70260352729503,DASU ESQUEL,26,CHUBUT,35,FUTALEUFÚ,26035030000,ESQUEL,9200,25 de Mayo 517,
1727,70260212329553,PROSPERO PALAZZO,26,CHUBUT,21,ESCALANTE,26021030011,BARRIO PROSPERO PALAZZO,9000,Escribano Rocío Ortiz 68,
1774,70260772329441,DR. AHORRO,26,CHUBUT,77,RAWSON,26077040000,TRELEW,9100,AP Bell  346,
1775,70260772329446,ITALIA,26,CHUBUT,77,RAWSON,26077040000,TRELEW,9100,Italia 156,
1776,70260352329511,SOCIAL V,26,CHUBUT,35,FUTALEUFÚ,26035030000,ESQUEL,9200,Alvear 978,
1777,70260212329517,ARGENTINA DEL SUD,26,CHUBUT,21,ESCALANTE,26021030018,COMODORO RIVADAVIA,9000,Avenida Hipólito Yrigoyen 925,
1849,70260772329444,FARMACIAS PATAGONICAS SUCURSAL AVENIDA,26,CHUBUT,77,RAWSON,26077040000,TRELEW,9100,Avenida Hipólito Yrigoyen 1502,
1850,70260772329447,LA BOTICA,26,CHUBUT,77,RAWSON,26077040000,TRELEW,9100,Maipú 683,
1851,70260772329448,FARMACIAS PATAGONICAS SUCURSAL MITRE,26,CHUBUT,77,RAWSON,26077040000,TRELEW,9100,Mitre 598,
1852,70260212329531,FAVALORO,26,CHUBUT,21,ESCALANTE,26021030018,COMODORO RIVADAVIA,9000,Avenida Polonia 2011,
1853,70260212329532,JOSE FUCHS,26,CHUBUT,21,ESCALANTE,26021030018,COMODORO RIVADAVIA,9000,Figueroa Alcorta 561,
1854,70260212329563,SANTA BARBARA,26,CHUBUT,21,ESCALANTE,26021030018,COMODORO RIVADAVIA,9000,Capital Garcia 192 Prospero Palazzo,
1891,70260072329467,CENTRAL PMADRYN,26,CHUBUT,7,BIEDMA,26007020000,PUERTO MADRYN,9120,25 de Mayo 272,
1892,70260352329506,FARMACIAS PATAGONICAS ESQUEL,26,CHUBUT,35,FUTALEUFÚ,26035030000,ESQUEL,9200,25 de Mayo 543,
