,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
8293,70180212339925,SAN CAYETANO SCS,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,3400,AV. ARMENIA 3798,
8294,70180212339926,DEL LITORAL SCS,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,3400,AV. CAZADORES CORRENTINOS 3862,
8295,70180212339927,PIRAYUI,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,3400,BºPIRAYUI 200V.MZ.27 E CASA 39,
8296,70181052339928,SAN JORGE,18,CORRIENTES,105,MERCEDES,18105030000,MERCEDES,3470,SARMIENTO 392,
8297,70180212339929,CYAP S.C.S.,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,3400,AV. CENTENARIO 3960,
8298,70180632339930,VIRGEN DEL ROSARIO,18,CORRIENTES,63,GENERAL PAZ,18063030000,NUESTRA SEÑORA DEL ROSARIO DE CAA CATI,3407,ALBERDI 397,
8299,70180212339931,CAZADORES SCS,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,3400,AV. CAZADORES CORRENTINOS 3705,
8300,70181682339932,DEL INDIO S.C.S.,18,CORRIENTES,168,SANTO TOMÉ,18168040000,SANTO TOME,1,HIPÓLITO YRIGOYEN 502,
8301,70180702339933,PAREDES CARINA LILIANA - ROCA,18,CORRIENTES,70,GOYA,18070020000,GOYA,3450,25 de mayo 740,
8302,70181682339934,MARTIN,18,CORRIENTES,168,SANTO TOMÉ,18168040000,SANTO TOME,3340,PATRICIO BERTRAN 442,
8303,70181682339935,SAN MATIAS,18,CORRIENTES,168,SANTO TOMÉ,18168040000,SANTO TOME,3340,PATRICIO BERTRAN 460,
8304,70180212339936,JORDAN SCS,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,3400,Av.Independencia 4696,
8305,70180212339937,LA MERCED SCS,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,3400,25 DE MAYO 707,
8306,70180702339938,LUIS PASTEUR,18,CORRIENTES,70,GOYA,18070020000,GOYA,3450,MARIANO I .LOSA 410,
8307,70180212339939,NUEVA SAN JOSE,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,3400,AV. ARMENIA 4102,
8308,70180492339940,SANTA RITA,18,CORRIENTES,49,ESQUINA,18049010000,ESQUINA,3196,25 DE MAYO 590,
8309,70180212339941,Chanampa Albero Mario Daniel,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,3400,av. 3 de abril  602,
8310,70180212339942,SAN LUIS,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,3400,JUNÍN 602,
8311,70180212339945,EL TREBOL SCS,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,3400,CÓRDOBA 598,
8312,70180702339946,Farmacia Cruz Verde SCS,18,CORRIENTES,70,GOYA,18070020000,GOYA,3450,25 de mayo 598,
8313,70180352339947,BERON DE ASTRADA,18,CORRIENTES,35,CURUZÚ CUATIÁ,18035020000,CURUZU CUATIA,3460,B. DE ASTRADA  528,
8314,70180702339948,ESTRELLA SCS,18,CORRIENTES,70,GOYA,18070020000,GOYA,3450,COLON 518,
8315,70181752339949,SAN MARCOS II,18,CORRIENTES,175,SAUCE,18175010000,SAUCE,3463,GRAL. PAZ 522,
8316,70181612339950,CARDOZO,18,CORRIENTES,161,SAN ROQUE,18161050000,SAN ROQUE,3448,DESIDERIO SOSA 524,
8317,70181682339951,VUELTA OMBU,18,CORRIENTES,168,SANTO TOMÉ,18168030000,GOBERNADOR IGR.VALENTIN VIRASORO,3342,SAN MARTIN 1258,
8319,70181122340032,Haag Guillermo gustavo,18,CORRIENTES,112,MONTE CASEROS,18112030000,JUAN PUJOL,3222,Eloy Arizaga  S/N,
8320,70181682340033,Navajas Maria Candela,18,CORRIENTES,168,SANTO TOMÉ,18168030000,GOBERNADOR IGR.VALENTIN VIRASORO,3342,Avda. Lavalle   2632,
8321,70180702340034,Insaurralde Esteban Vicente,18,CORRIENTES,70,GOYA,18070020000,GOYA,3450,J.E.Gomez   598,
8322,70181682340035,Costa Angela Valeria,18,CORRIENTES,168,SANTO TOMÉ,18168030000,GOBERNADOR IGR.VALENTIN VIRASORO,3342,Av.Lavalle   856,
8323,70181542340036,Ayala Ana maria,18,CORRIENTES,154,SAN MIGUEL,18154010000,LORETO,3483,Tomas Ubeda   480,
8324,70180492340037,Esquenon Cendra Ana Ma.,18,CORRIENTES,49,ESQUINA,18049010000,ESQUINA,3196,LAMELA 585,
8325,70181472340038,Andisco Sabrina Vanesa,18,CORRIENTES,147,SAN MARTÍN,18147030000,LA CRUZ,3346,ALTAMIRANO  759,
8326,70180912340039,Ponce Ruben Oscar,18,CORRIENTES,91,LAVALLE,18091040000,SANTA LUCIA,3440,CORRIENTES 300,
8327,70181332340040,Correa Alba,18,CORRIENTES,133,SAN COSME,18133020000,PASO DE LA PATRIA,3409,La Rioja   530,
8328,70180702340041,Fernandez Edgardo Antonio,18,CORRIENTES,70,GOYA,18070020000,GOYA,3450,J.E.Gomez   902,
8329,70181682340042,Kaczorowski Genoveva Ester,18,CORRIENTES,168,SANTO TOMÉ,18168040000,SANTO TOME,3340,Avda. San Martín   646,
8330,70180842340043,Olazarri Carina,18,CORRIENTES,84,ITUZAINGÓ,18084020000,ITUZAINGO,3302,Buenos Aires 1396,
8331,70181682340044,Yasnikowski Lidia Angelica,18,CORRIENTES,168,SANTO TOMÉ,18168030000,GOBERNADOR IGR.VALENTIN VIRASORO,3342,Ñaembe   1030,
8332,70181682340045,Lucero Ana Maria,18,CORRIENTES,168,SANTO TOMÉ,18168030000,GOBERNADOR IGR.VALENTIN VIRASORO,3342,Avda.San Martin   147,
8333,70181192340046,Besverge Marcela,18,CORRIENTES,119,PASO DE LOS LIBRES,18119030000,PASO DE LOS LIBRES,3230,Mitre  y Mercedes Franco 1417,
8334,70181332340047,CAPARA NELSON HUMBERTO,18,CORRIENTES,133,SAN COSME,18133020000,PASO DE LA PATRIA,3409,9 de Julio   154,
8335,70180352340048,FARMACIA PASTEUR SOCIEDAD EN COMNADITA SIMPLE,18,CORRIENTES,35,CURUZÚ CUATIÁ,18035020000,CURUZU CUATIA,3460,Beron de Astrada   1231,
8336,70180212340105,MEZA RAMIREZ GUSTAVO NERIS,18,CORRIENTES,21,CAPITAL,18021040000,RIACHUELO,0,PAGO LARGO 100,
8337,70180212340106,FARMACIA IBERA SOCIEDAD EN COMANDITA SIMPLE,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,0,Belgrano 1204,
8338,70180492340107,IZAGUIRRE JUANA LUJAN,18,CORRIENTES,49,ESQUINA,18049010000,ESQUINA,3196,25 de mayo 901,
8339,70181192340108,FARMACIA 2 DE ABRIL SCS,18,CORRIENTES,119,PASO DE LOS LIBRES,18119030000,PASO DE LOS LIBRES,3230,Av. 2 de Abril 2046,
8340,70180212340109,FARMACIA SAN MARTIN DE PORRES S.C.S.,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,3400,AV. FERRE s/n,
8341,70181052340111,DE ALARCON CAROLINA,18,CORRIENTES,105,MERCEDES,18105030000,MERCEDES,3470,Juan Pujol 1199,
8342,70180212340112,FARMACIA CAMPUS VITAL S.C.S.,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,0,Avenida Libertad 5231,
8343,70180702340113,SAN JUAN I DE FACOR S.R.L.,18,CORRIENTES,70,GOYA,18070020000,GOYA,3450,Agustin P Justo 1991,
8344,70180212340114,ACEVEDO FARMA S.C.S.,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,0,Santa Fe 1497,
8345,70180212340115,FARMACIA DEL DIVINO NIÑO S.C.S.,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,0,Belgrano 1745,
8346,70180212340116,FARMACIA DEL MERCOSUR IV S.C.S.,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,0,Jujuy 1131,
8383,70180212339952,STA. ANA DE LOS GUACARA,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,3400,SAN MARTIN 529,
8410,70180352340049,FARMACIA ORDENAVIA S.C.,18,CORRIENTES,35,CURUZÚ CUATIÁ,18035020000,CURUZU CUATIA,3460,Gobernador  Gomez 502,
9065,70180702339820,FARMACIA DEL PUEBLO SCS,18,CORRIENTES,70,GOYA,18070020000,GOYA,3450,J. GOMEZ 923,
9066,70180212339821,FARMACIA GUTNISKY S.R.L.,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,3400,CARLOS PELLEGRINI 1310,
9067,70181122339822,BORGO LEONARDO DANIEL,18,CORRIENTES,112,MONTE CASEROS,18112050000,MONTE CASEROS,3220,COLON 925,
9068,70181192339823,ARPINO SERGIO ALFREDO,18,CORRIENTES,119,PASO DE LOS LIBRES,18119030000,PASO DE LOS LIBRES,3230,COLON 638,
9069,70181122339825,SOLIDARIA,18,CORRIENTES,112,MONTE CASEROS,18112050000,MONTE CASEROS,3220,ALVEAR 1309,
9070,70180212339827,FARMACIA SANTA LUCIA SCS,18,CORRIENTES,21,CAPITAL,18021020000,CORRIENTES,3400,JUNIN 1298,
