,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
4,70140142334991,VALENTINO,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Catamarca 1047,
129,70140142333750,HP FARMA V,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Elías Yofre 1050,
135,70140422333755,FARMAVIDA IX,14,CÓRDOBA,42,GENERAL SAN MARTÍN,14042170000,VILLA MARIA,5900,Sarmiento 1966,
177,70140212333758,GRAMIGNA,14,CÓRDOBA,21,COLÓN,14021200000,MENDIOLAZA,5107,Avenida Martín Tissera 2997,
178,70140142333759,GENERAL PAZ NUEVOCENTRO,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Avenida Duarte Quirós 1400,
179,70140142333764,GALEANO II,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,27 de Abril 757,
180,70140212333765,GAITAN,14,CÓRDOBA,21,COLÓN,14021250,SALSIPUEDES (SALSIPUEDES),5113,San Martín 528,
181,70140142333768,FEOLI,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,OCTAVIO PINTO 2637,
182,70140422333769,FARMAVIDA VIII,14,CÓRDOBA,42,GENERAL SAN MARTÍN,14042170000,VILLA MARIA,5900,San Juan 1270,
183,70140142333771,AL-MA,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Alexander Fleming 2108,
184,70141472333772,ARRIETA BAZAN,14,CÓRDOBA,147,SANTA MARÍA,14147210000,MALAGUEÑO,5101,Brown 310,
185,70140212333773,B.F. MARTINEZ,14,CÓRDOBA,21,COLÓN,14021280000,UNQUILLO,5109,3 de Febrero 361,
186,70141402333774,BOERIS,14,CÓRDOBA,140,SAN JUSTO,14140270000,LAS VARILLAS,5940,Italia 198,
187,70141402833775,MUTUAL ATILRA FREYRE,14,CÓRDOBA,140,SAN JUSTO,14140220000,FREYRE,2413,Gral. Paz 37,
188,70140632333777,AVENIDA,14,CÓRDOBA,63,MARCOS JUÁREZ,14063100000,CRUZ ALTA,2189,Rivadavia,
189,70140142333778,BIOFARMA,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Paraná 570,
190,70141402333779,BRINKMANN,14,CÓRDOBA,140,SAN JUSTO,14140050000,BRINCKMANN,2419,Avenida San Martín 1047,
191,70141822333780,BEYRNE,14,CÓRDOBA,182,UNIÓN,14182250000,SAN MARCOS,2566,Pasaje San José 1004,
192,70141052333781,25 DE MAYO,14,CÓRDOBA,105,RÍO PRIMERO,14105190000,MONTECRISTO,5125,25 de Mayo 263,
233,70141192333788,BIOSALUD,14,CÓRDOBA,119,RÍO SEGUNDO,14119160000,PILAR,5972,Avenida Rafael Núñez,
234,70141402333789,B SALUD FRONTERA,14,CÓRDOBA,140,SAN JUSTO,14140360000,SAN FRANCISCO,2400,Avenida Brigadier Bustos 465,
235,70140142333791,FARMATEO III,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Avenida Eduardo Bulnes,
236,70140142333792,ALVAREZ,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Corro 2541,
237,70140142333793,FARMATEO II,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Avenida Las Malvinas 2331,
238,70140422333800,FARMACITY 175,14,CÓRDOBA,42,GENERAL SAN MARTÍN,14042170000,VILLA MARIA,5900,25 de Mayo 156,
239,70140142333805,DEL CENTRO DE CORDOBA,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Buenos Aires 865,
266,70140982333858,FARMACERCA,14,CÓRDOBA,98,RÍO CUARTO,14098230000,RIO CUARTO,5800,Fray Quirico Porreca 514,
267,70140142333869,CESAR BASSOLI,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Padre Luis Monti 3746,
268,70140982333870,CORSETTI,14,CÓRDOBA,98,RÍO CUARTO,14098240000,SAMPACHO,5829,Güemes 325,
269,70140422333871,CHANGOMAS,14,CÓRDOBA,42,GENERAL SAN MARTÍN,14042180000,VILLA NUEVA,5903,Avenida Carranza,
270,70140632333880,CUPELLINO,14,CÓRDOBA,63,MARCOS JUÁREZ,14063090000,CORRAL DE BUSTOS,2645,Avenida González,
271,70140982333883,VIRGEN DE ITATI,14,CÓRDOBA,98,RÍO CUARTO,14098010000,ACHIRAS,5833,Avenida 24 de Septiembre,
272,70140142333911,HP FARMA XIII,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Avenida Pablo Richieri 2200,
273,70141822333923,MARIONI,14,CÓRDOBA,182,UNIÓN,14182150000,LABORDE,2657,Sarmiento 516,
274,70140982333924,SINARLE,14,CÓRDOBA,98,RÍO CUARTO,14098170000,LAS HIGUERAS,5805,San Martín 15,
275,70141402333927,STAMPANONE,14,CÓRDOBA,140,SAN JUSTO,14140030000,ARROYITO,2434,Rivadavia 1,
276,70140912333929,MAYU,14,CÓRDOBA,91,PUNILLA,14091160000,MAYU SUMAJ,5831,Las Moras,
302,70141402333848,EL BOTICARIO,14,CÓRDOBA,140,SAN JUSTO,14140400000,TRANSITO,2436,Bv. Juan Domingo Perón 186,
303,70140982333855,FARMA RED SABATTINI,14,CÓRDOBA,98,RÍO CUARTO,14098230000,RIO CUARTO,5800,Italia 1894,
304,70140142333857,FARMACITY 168,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,La Cordillera 3941,
305,70140142333874,DEL PUEBLO II,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,San Jerónimo 2981,
306,70140142333875,CRISTO REY,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Cura Brochero 700,
307,70140072333876,COSTANERA,14,CÓRDOBA,7,CALAMUCHITA,14007210,SANTA ROSA DE CALAMUCHITA (SANTA ROSA DE CALAMUCHITA),5196,GIAGGETTO 1388,
308,70140282333877,DAPARTE,14,CÓRDOBA,28,CRUZ DEL EJE,14028050000,CRUZ DEL EJE,5280,Rivadavia 490,
309,70141192333896,SAN MARTIN,14,CÓRDOBA,119,RÍO SEGUNDO,14119150000,ONCATIVO,5986,San Martín 877,
310,70141542333912,LAS PALMERAS,14,CÓRDOBA,154,SOBREMONTE,14154010000,CAMINIAGA,5244,San Martín 1,
311,70140212333913,HP FARMA VI,14,CÓRDOBA,21,COLÓN,14021290000,VILLA ALLENDE,5105,Río de Janeiro,
312,70140912333914,LA MERCED,14,CÓRDOBA,91,PUNILLA,14091120000,LA FALDA,5172,Buenos Aires 887,
363,70140142333812,DEL PARQUE,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Avenida Concepción Arenal 1120,
364,70140142333814,DEL PUEBLO,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,San Jerónimo 2981,
365,70140072333826,DEL PUEBLO,14,CÓRDOBA,7,CALAMUCHITA,14007130000,LOS REARTES,5194,Avenida San Martín,
366,70140142333827,DEL ROSARIO,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Avenida Leandro N. Alem 1401,
367,70140212333829,DEQUINO,14,CÓRDOBA,21,COLÓN,14021290000,VILLA ALLENDE,5105,Río de Janeiro,
368,70140142333830,DEL SUR,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Defensa,
369,70140142333842,DOCFARMA,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Bajada Pucará,
371,70140142333843,DONATO,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Avenida Donato Alvarez 8427,
372,70141402333849,ESLAVA,14,CÓRDOBA,140,SAN JUSTO,14140010000,ALICIA,5949,Bv. Buenos Aires 1002,
373,70140142333852,FARMA100  NUEVA CORDOBA,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Bv. Chacabuco 502,
374,70140142333853,F Y G,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Avenida Santa Ana 2426,
375,70140142333887,FARMACITY 157,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Bv. San Juan 24,
376,70140142333889,TU FARMACIA,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Bv. Arturo Illia 417,
377,70141402333890,SAN PANTALEON,14,CÓRDOBA,140,SAN JUSTO,14140380000,SEEBER,2419,25 de Mayo 110,
419,70140142333884,VIÑA DEL MAR,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Viña de Mar 4438,
499,70140562333499,FARMACIA PENA,14,CÓRDOBA,56,JUÁREZ CELMAN,14056100000,LA CARLOTA,2670,Rivadavia,
527,70140142333776,ALTEA,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Ing. Juan M. López 250,
528,70141402333841,DIPIAZZA,14,CÓRDOBA,140,SAN JUSTO,14140360000,SAN FRANCISCO,2400,México 1921,
529,70140982333840,DEL VIEJO MERCADO,14,CÓRDOBA,98,RÍO CUARTO,14098230000,RIO CUARTO,5800,Sobremonte 1200,
530,70141192333867,CENTENARIO,14,CÓRDOBA,119,RÍO SEGUNDO,14119050000,COLAZO,5965,Rivadavia 393,
531,70140982333892,NUEVA FARMACIA SAN LUCAS S.R.L. SUC. 1,14,CÓRDOBA,98,RÍO CUARTO,14098230000,RIO CUARTO,5800,Colón 460,
532,70140212333917,LA NUEVA,14,CÓRDOBA,21,COLÓN,14021060000,COLONIA TIROLESA,5101,Bv. Arturo Illia,
1056,70141402333763,GARCIA,14,CÓRDOBA,140,SAN JUSTO,14140050000,BRINCKMANN,2419,Belgrano 799,
1057,70140912333767,FORBES VI,14,CÓRDOBA,91,PUNILLA,14091250000,VILLA CARLOS PAZ,5152,San Martín 2345,
1058,70141192333790,BONUS,14,CÓRDOBA,119,RÍO SEGUNDO,14119160000,PILAR,5972,Mitre 850,
1059,70140142333886,ZAMO II,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Avenida Leandro N. Alem 1798,
1060,70141332333897,URQUIZA,14,CÓRDOBA,133,SAN JAVIER,14133200000,VILLA DOLORES,5870,Urquiza 657,
1061,70140142333898,TADICOR,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Avenida Monseñor Pablo Cabrera,
1062,70141402333900,SANCOR MEDICINA PRIVADA,14,CÓRDOBA,140,SAN JUSTO,14140360000,SAN FRANCISCO,2400,Bv. 9 de Julio 1368,
1063,70141472333902,SAN NICOLAS,14,CÓRDOBA,147,SANTA MARÍA,14147210000,MALAGUEÑO,5101,Segundo Rodríguez,
1064,70140142333904,WAL MART VI,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Avenida Fuerza Aérea Argentina 4372,
1065,70140142333905,SAN ROQUE II,14,CÓRDOBA,14,CAPITAL,14014010000,CORDOBA,5000,Aviador Bradley 4608,
1066,70140212333907,VITA NUOVA,14,CÓRDOBA,21,COLÓN,14021240000,SALDAN,5149,Eva Perón,
