,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
7192,70300842342856,SARMIENTO II,30,ENTRE RÍOS,84,PARANÁ,30084070000,CRESPO,3116,25 DE MAYO 1017,
7193,70300842342857,SELECTA,30,ENTRE RÍOS,84,PARANÁ,30084160000,PARANA,3100,AV. ZANNI 1301,
7194,70300982342858,FCIA. ALBA,30,ENTRE RÍOS,98,URUGUAY,30098040000,CONCEPCION DEL URUGUAY,3260,9 de Julio 1302,
7195,70300772342859,JORDAN,30,ENTRE RÍOS,77,NOGOYÁ,30077050000,HERNANDEZ,3156,SABA Z. HERNANDEZ 131,
7196,70300152342860,SAN LORENZO,30,ENTRE RÍOS,15,CONCORDIA,30015060002,CONCORDIA,3200,Avenida Monseñor Tavella 1310,
7197,70300912342861,SAN ROQUE,30,ENTRE RÍOS,91,TALA,30091100000,ROSARIO DEL TALA,1,DR. L PANIZZA 132,
7198,70300842342862,FARMACIA SOCIAL DE EMPLEADOS DE COMERCIO,30,ENTRE RÍOS,84,PARANÁ,30084070000,CRESPO,3116,SARMIENTO 1322,
7199,70300982342863,FCIA. DEL BOTICARIO,30,ENTRE RÍOS,98,URUGUAY,30098060000,HERRERA,3272,Avenida de los Inmigrantes,
7200,70300842342864,FREDDY,30,ENTRE RÍOS,84,PARANÁ,30084070000,CRESPO,1,BELGRANO 1348,
7201,70300772342865,COLONIAL,30,ENTRE RÍOS,77,NOGOYÁ,30077070000,NOGOYA,3150,L.N. ALEM  1415,
7202,70301132342866,DR. N. YARCHO,30,ENTRE RÍOS,113,VILLAGUAY,30113070000,VILLA DOMINGUEZ,3246,URQUIZA 142,
7203,70300842342867,CORTES,30,ENTRE RÍOS,84,PARANÁ,30084160000,PARANA,3100,AV. GALAN 1442,
7204,70300842342868,LAMPERTTI HORACIO ORLANDO,30,ENTRE RÍOS,84,PARANÁ,30084270000,VIALE,3109,SAN MARTÍN 1091,
7205,70300842342869,VITAL,30,ENTRE RÍOS,84,PARANÁ,30084070000,CRESPO,1,SAN MARTIN 1213,
7206,70300632342870,VILLA PARANACITO,30,ENTRE RÍOS,63,ISLAS DEL IBICUY,30063060000,VILLA PARANACITO,2823,AV. ENTRE RIOS 126,
7207,70300772342871,SAN MIGUEL,30,ENTRE RÍOS,77,NOGOYÁ,30077070000,NOGOYA,3150,San Martín,
7208,70300282342872,BARBIERI I,30,ENTRE RÍOS,28,FEDERACIÓN,30028070000,FEDERACION,3206,Avenida San Martín 211,
7209,70300842342873,FOLMER,30,ENTRE RÍOS,84,PARANÁ,30084050001,CERRITO,3122,DIAGONAL INDUSTRIA 213,
7210,70300282342874,ITALIANA,30,ENTRE RÍOS,28,FEDERACIÓN,30028010000,CHAJARI,3228,Urquiza 1270,
7211,70300562342875,DIORIO,30,ENTRE RÍOS,56,GUALEGUAYCHÚ,30056010000,ALDEA SAN ANTONIO,2826,Del Inmigrante 129,
7212,70300082342876,FERRARI,30,ENTRE RÍOS,8,COLÓN,30008090003,SAN JOSE,3283,SAN MARTÍN Y LAVALLE,
7213,70300082342877,VILLA ELISA S.R.L.,30,ENTRE RÍOS,8,COLÓN,30008110000,VILLA ELISA,3265,Avenida San Martín 1298,
7214,70300082342878,BOUVET,30,ENTRE RÍOS,8,COLÓN,30008110000,VILLA ELISA,3265,Estrada 1099,
7215,70300212342879,VALLE MARIA,30,ENTRE RÍOS,21,DIAMANTE,30021060000,ALDEA VALLE MARIA,3101,JUAN MANUEL DE ROSAS 110,
7216,70300702342880,TEDESCO,30,ENTRE RÍOS,70,LA PAZ,30070040000,LA PAZ,3190,San Martín 1101,
7217,70300842342881,ROLIRIA DEL TIRO FEDERAL,30,ENTRE RÍOS,84,PARANÁ,30084160000,PARANA,3100,1º de mayo  2001,
7266,70300772342882,LOURDES,30,ENTRE RÍOS,77,NOGOYÁ,30077070000,NOGOYA,3150,BV. ESPAÑA 1114,
7267,70300352342883,URQUIZA,30,ENTRE RÍOS,35,FEDERAL,30035030000,FEDERAL,3180,Urquiza,
7268,70300842342884,MINISTERIO,30,ENTRE RÍOS,84,PARANÁ,30084160000,PARANA,3100,Avenida Laurencena,
7269,70300842342885,MINISTERIO SRL,30,ENTRE RÍOS,84,PARANÁ,30084160000,PARANA,1,LAURENCENA 116,
7270,70300562342886,GESTION SALUD,30,ENTRE RÍOS,56,GUALEGUAYCHÚ,30056010000,ALDEA SAN ANTONIO,2826,25 DE MAYO Nº  118,
7271,70300702342887,FARMATON,30,ENTRE RÍOS,70,LA PAZ,30070040000,LA PAZ,3190,Moreno 1181,
7272,70300562342888,SABIN,30,ENTRE RÍOS,56,GUALEGUAYCHÚ,30056070000,GUALEGUAYCHU,2820,URQUIZA 1201,
7273,70300702342889,MUTUAL DEL SOL,30,ENTRE RÍOS,70,LA PAZ,30070040000,LA PAZ,3190,Almirante Brown 1037,
7274,70300702342890,METRAILLER,30,ENTRE RÍOS,70,LA PAZ,30070080000,SANTA ELENA,3192,AV. PERÓN 1046,
7275,70300282342891,DE LA UNION,30,ENTRE RÍOS,28,FEDERACIÓN,30028010000,CHAJARI,3226,AV. SIBURU 1050,
7276,70300082342892,FRANCIA I,30,ENTRE RÍOS,8,COLÓN,30008020000,COLON,3280,Avenida San Martín 1050,
7277,70300562342893,SAN PANTALEON,30,ENTRE RÍOS,56,GUALEGUAYCHÚ,30056070000,GUALEGUAYCHU,2820,Urquiza 1053,
7278,70300842342894,LA BOTICA,30,ENTRE RÍOS,84,PARANÁ,30084200000,SAN BENITO,3107,AVENIDA FRIULI 1056,
7279,70300842342895,LA ESTRELLA,30,ENTRE RÍOS,84,PARANÁ,30084160000,PARANA,3100,Italia 106,
7280,70300082342896,NUEVA ELISA,30,ENTRE RÍOS,8,COLÓN,30008110000,VILLA ELISA,3265,PUEYRREDON 1601,
7281,70300212342897,DUBNER,30,ENTRE RÍOS,21,DIAMANTE,30021120000,GENERAL RAMIREZ,3164,Libertad,
7282,70300082342898,SATTO,30,ENTRE RÍOS,8,COLÓN,30008110000,VILLA ELISA,3265,AV.URQUIZA 1614,
7283,70300842342899,FARMAEXPRESS,30,ENTRE RÍOS,84,PARANÁ,30084160000,PARANA,3100,General Galan 1616,
7284,70300702342900,DEL PUEBLO,30,ENTRE RÍOS,70,LA PAZ,30070010000,BOVRIL,3142,SAN MARTIN 163,
7285,70300082342901,CENTENARIO III,30,ENTRE RÍOS,8,COLÓN,30008110000,VILLA ELISA,3265,Estrada 1644,
7286,70300842342902,ZALAZAR,30,ENTRE RÍOS,84,PARANÁ,30084250000,TABOSSI,3111,1 DE OCTUBRE 172,
7287,70300152342903,ACEVEDO,30,ENTRE RÍOS,15,CONCORDIA,30015060002,CONCORDIA,3200,Avenida Monseñor Tavella 1752,
7288,70300982342904,FCIA. COLON,30,ENTRE RÍOS,98,URUGUAY,30098040000,CONCEPCION DEL URUGUAY,3260,BVARD.IRIGOYEN 1650,
7289,70300982342905,FCIA. GARGANO,30,ENTRE RÍOS,98,URUGUAY,30098040000,CONCEPCION DEL URUGUAY,3260,General Galarza 1652,
7290,70300842342906,TROSSERO,30,ENTRE RÍOS,84,PARANÁ,30084160000,PARANA,3100,Andrés Pazos 264,
7291,70300082342907,PEREZ,30,ENTRE RÍOS,8,COLÓN,30008090003,SAN JOSE,3283,9 DE JULIO 1660,
7342,70300842342908,AMERICA,30,ENTRE RÍOS,84,PARANÁ,30084160000,PARANA,3100,AV.DE LAS AMERICAS 1693,
7343,70300282342909,FARMACIA NUÑEZ,30,ENTRE RÍOS,28,FEDERACIÓN,30028010000,CHAJARI,3228,9 DE JULIO 2191,
7344,70300562342910,MEDRANO,30,ENTRE RÍOS,56,GUALEGUAYCHÚ,30056070000,GUALEGUAYCHU,2820,Avenida Rocamora 148,
7345,70300562342911,DEL VALLE,30,ENTRE RÍOS,56,GUALEGUAYCHÚ,30056070000,GUALEGUAYCHU,2820,AV. DEL VALLE 1489,
7346,70300562342912,SIBOLDI,30,ENTRE RÍOS,56,GUALEGUAYCHÚ,30056090000,LARROQUE,2854,PTE. PERON Nº 15,
7347,70300082342913,CENTENARIO I,30,ENTRE RÍOS,8,COLÓN,30008020000,COLON,3280,12 DE ABRIL 150,
7348,70300152342915,LOS CHARRUAS,30,ENTRE RÍOS,15,CONCORDIA,30015100000,LOS CHARRUAS,3204,AV. FCO. RAMIREZ 1502,
7349,70300982342916,FCIA. AVENIDA,30,ENTRE RÍOS,98,URUGUAY,30098040000,CONCEPCION DEL URUGUAY,3260,BV. ARAOZ 152,
7350,70300082342917,MARZORATTI,30,ENTRE RÍOS,8,COLÓN,30008090003,SAN JOSE,3283,Chacabuco 1564,
7351,70300282342918,LOURDES,30,ENTRE RÍOS,28,FEDERACIÓN,30028120000,VILLA DEL ROSARIO,3229,TRATADO DEL PILAR 160,
7352,70300082342919,JAEN,30,ENTRE RÍOS,8,COLÓN,30008090003,SAN JOSE,3283,9 DE JULIO 1801,
7353,70300842342920,ZURUTUZA,30,ENTRE RÍOS,84,PARANÁ,30084050001,CERRITO,3122,SAN MARTIN 185,
7354,70300982342921,FCIA. PILDORA,30,ENTRE RÍOS,98,URUGUAY,30098040000,CONCEPCION DEL URUGUAY,3260,General Galarza 802,
7355,70300982342922,FCIA. DEL OESTE,30,ENTRE RÍOS,98,URUGUAY,30098040000,CONCEPCION DEL URUGUAY,3260,Boulevard Ricardo Balbín 1955,
7356,70300842342923,PATRIA SUCURSAL CENTRO,30,ENTRE RÍOS,84,PARANÁ,30084160000,PARANA,3100,Buenos Aires 202,
7357,70300492342924,EL INDIO,30,ENTRE RÍOS,49,GUALEGUAY,30049040000,GUALEGUAY,2840,General Manuel Belgrano 205,
7358,70300982342925,FCIA. CIENTIFICA,30,ENTRE RÍOS,98,URUGUAY,30098040000,CONCEPCION DEL URUGUAY,3260,25 DE MAYO 205,
7359,70300842342926,BURONE,30,ENTRE RÍOS,84,PARANÁ,30084160000,PARANA,3100,Leandro N. Alem 320,
7360,70300982342927,FCIA. SERVICIOS SUAREZ,30,ENTRE RÍOS,98,URUGUAY,30098040000,CONCEPCION DEL URUGUAY,3260,Juan Domingo Perón 151,
7361,70300282342928,CIENTIFICA,30,ENTRE RÍOS,28,FEDERACIÓN,30028010000,CHAJARI,3228,Avenida 9 de Julio 2096,
7362,70300282342929,ZORDAN III,30,ENTRE RÍOS,28,FEDERACIÓN,30028010000,CHAJARI,3228,Avenida 1 de Mayo 2098,
7363,70300212342930,CENTRO EMPLEADOS DE COMERCIO DE DIAMANTE,30,ENTRE RÍOS,21,DIAMANTE,30021080001,DIAMANTE,3105,BELGRANO 318,
7364,70300982342931,FCIA. LEON,30,ENTRE RÍOS,98,URUGUAY,30098010000,BASAVILBASO,3170,Neyra 288,
7365,70300282342932,DON PEDRO,30,ENTRE RÍOS,28,FEDERACIÓN,30028070000,FEDERACION,3206,Avenida Entre Ríos 189,
7373,70300982343087,FARMACIA POPULAR,30,ENTRE RÍOS,98,URUGUAY,30098040000,CONCEPCION DEL URUGUAY,3260,General Galarza 802,
7415,70300422342993,MARMOL,30,ENTRE RÍOS,42,FELICIANO,30042010000,SAN JOSE DE FELICIANO,3187,BELGRANO 395,
7416,70300912342994,FCIA. DEL PUEBLO,30,ENTRE RÍOS,91,TALA,30091100000,ROSARIO DEL TALA,3174,Roque Sáenz Peña 398,
7417,70300152342995,SAN ANTONIO II,30,ENTRE RÍOS,15,CONCORDIA,30015060002,CONCORDIA,3200,Urquiza 334,
7418,70300842342996,NUESTRA,30,ENTRE RÍOS,84,PARANÁ,30084160000,PARANA,1,AV. RAMIREZ 3384,
7419,70300212342997,PUIGGARI,30,ENTRE RÍOS,21,DIAMANTE,30021150002,VILLA LIBERTADOR SAN MARTIN,3103,25 de Mayo 339,
7420,70300912342998,FCIA. ALASINO,30,ENTRE RÍOS,91,TALA,30091100000,ROSARIO DEL TALA,3174,Roque Sáenz Peña 347,
7421,70300842342999,MARIA LUISA,30,ENTRE RÍOS,84,PARANÁ,30084010000,ALDEA MARIA LUISA,3114,AV. RAMIREZ 357,
7422,70300082343000,FARMACIA CENTENARIO S.R.L.,30,ENTRE RÍOS,8,COLÓN,30008020000,COLON,3280,12 de Abril 377,
7423,70300352343001,FEDERAL,30,ENTRE RÍOS,35,FEDERAL,30035030000,FEDERAL,3180,Santa Rosa de Lima,
7424,70301132343002,FCIA. VILLAGUAY,30,ENTRE RÍOS,113,VILLAGUAY,30113080000,VILLAGUAY,3240,San Martín 425,
7425,70300772343004,NOGOYA,30,ENTRE RÍOS,77,NOGOYÁ,30077070000,NOGOYA,3150,9 de Julio 734,
7426,70301052343005,DEL LITORAL,30,ENTRE RÍOS,105,VICTORIA,30105060000,VICTORIA,1,SARMIENTO 501,
7427,70300842343006,CEN SALUD,30,ENTRE RÍOS,84,PARANÁ,30084160000,PARANA,3100,AV. RAMIREZ 5109,
7428,70300152343007,DEL NORTE,30,ENTRE RÍOS,15,CONCORDIA,30015060002,CONCORDIA,3200,Vélez Sársfield 502,
7429,70300772343008,AMUTEC DE NOGOYA,30,ENTRE RÍOS,77,NOGOYÁ,30077070000,NOGOYA,3150,25 de Mayo 738,
7430,70300562343009,PREISZ,30,ENTRE RÍOS,56,GUALEGUAYCHÚ,30056110000,URDINARRAIN,2826,Libertad 741,
7431,70300982343010,PATAGONIA,30,ENTRE RÍOS,98,URUGUAY,30098010000,BASAVILBASO,3170,LAGOCEN 5,
7432,70300982343011,FCIA. RAMIREZ,30,ENTRE RÍOS,98,URUGUAY,30098040000,CONCEPCION DEL URUGUAY,3260,Eva Perón 50,
7433,70300702343012,FCIA. SOCIAL DE EMPLEADOS DE COMERCIO DE LA PAZ,30,ENTRE RÍOS,70,LA PAZ,30070040000,LA PAZ,3190,SAN MARTÍN 438,
7434,70301052343013,BICENTENARIO,30,ENTRE RÍOS,105,VICTORIA,30105060000,VICTORIA,3153,España 461,
7435,70300912343014,FCIA. REBORA I,30,ENTRE RÍOS,91,TALA,30091090000,MACIA,3177,Gualeguaychú,
7436,70300152343015,AVENIDA,30,ENTRE RÍOS,15,CONCORDIA,30015060002,CONCORDIA,3200,Avenida Las Heras 450,
7437,70300982343016,FCIA. DEL PUEBLO,30,ENTRE RÍOS,98,URUGUAY,30098040000,CONCEPCION DEL URUGUAY,3260,Rocamora 452,
7444,70300842343088,RIO PARANA,30,ENTRE RÍOS,84,PARANÁ,30084110000,HERNANDARIAS,3127,H.IRIGOYEN 802,
7445,70300982343129,FCIA. ENTRE RIOS,30,ENTRE RÍOS,98,URUGUAY,30098040000,CONCEPCION DEL URUGUAY,3260,Urquiza 330,
7446,70300082343147,PAYSANDU,30,ENTRE RÍOS,8,COLÓN,30008020000,COLON,3280,Sourigues 442,
7493,70301132343017,FCIA. CASA LUIS TRES,30,ENTRE RÍOS,113,VILLAGUAY,30113080000,VILLAGUAY,3240,Calle 25 de Mayo 454,
7494,70300912343018,FCIA. KEMIA,30,ENTRE RÍOS,91,TALA,30091100000,ROSARIO DEL TALA,3174,CENTENARIO 47,
7495,70300842343019,ITALIA,30,ENTRE RÍOS,84,PARANÁ,30084160000,PARANA,3100,AV. RAMIREZ 4745,
7496,70300842343020,ESTEBENET DARIELA GUADALUPE,30,ENTRE RÍOS,84,PARANÁ,30084100000,HASENKAMP,3134,3 DE FEBRERO 409,
7497,70300842343021,DEL SUR,30,ENTRE RÍOS,84,PARANÁ,30084160000,PARANA,1,AV. DE LAS AMERICAS 4109,
