,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
3,70340492347884,PERALTA HNOS,34,FORMOSA,49,PILCOMAYO,34049010000,CLORINDA,3610,Avenida San Martin 470,
11,70340282347858,JUAREZ,34,FORMOSA,28,MATACOS,34028010000,INGENIERO GUILLERMO N. JUAREZ,3636,calle Saavedra y Tucumán,
9571,70340492347860,INSFRAN,34,FORMOSA,49,PILCOMAYO,34049020000,LAGUNA BLANCA,3613,calle Aldo Bollini y Sorrento Critelli,
9593,70340492347840,LUCY-MAR,34,FORMOSA,49,PILCOMAYO,34049010000,CLORINDA,3610,Avenida San Martín 1221,
9594,70340492347856,SAN CARLOS ANEXO I,34,FORMOSA,49,PILCOMAYO,34049010000,CLORINDA,3610,Avenida San Martín 449,
9625,70340142347849,EL ANGEL,34,FORMOSA,14,FORMOSA,34014020000,FORMOSA,3600,Avenida Nicolás Avellaneda 1236,
9651,70340142347859,LA NUEVA ESTRELLA,34,FORMOSA,14,FORMOSA,34014020000,FORMOSA,3600,Av. Juan Domingo Peron 1297 esquina Puchini,
9682,70340142347748,FARMACIA MORENO SOCIEDAD EN COMANDITA SIMPLE,34,FORMOSA,14,FORMOSA,34014020000,FORMOSA,3600,Moreno 998,
9683,70340562347853,SALUD-FARMA,34,FORMOSA,56,PIRANÉ,34056010000,COLONIA CAMPO VILLAFAÑE,3601,Avenida Independencia S/N,
9695,70340562347857,AMANCAY II,34,FORMOSA,56,PIRANÉ,34056020000,EL COLORADO,3603,Santa Fe 56 entre av. 25 de mayo y san juan,
9707,70340142347850,CRUZ VERDE,34,FORMOSA,14,FORMOSA,34014020000,FORMOSA,3600,Paseo de Las Américas 3033,
9722,70340422347854,LUJAN,34,FORMOSA,42,PILAGÁS,34042020000,EL ESPINILLO,3615,calle 9 de Julio S/Nº entre N. Kirchner y Fontana,
9737,70340492347855,FARMAX-NIELSEN,34,FORMOSA,49,PILCOMAYO,34049010000,CLORINDA,3610,Avenida San Martín 602,
9741,70340562347863,EBEN-EZER III,34,FORMOSA,56,PIRANÉ,34056020000,EL COLORADO,3603,calle Santa Fe y San Juan,
9783,70340142347842,SANTISIMA TRINIDAD,34,FORMOSA,14,FORMOSA,34014020000,FORMOSA,3600,Barrio Republica Argentina - casa 27 Mz. 122,
9785,70340352347868,LAS LOMITAS II,34,FORMOSA,35,PATIÑO,34035100000,LAS LOMITAS,3630,calle Libertad S/N entre Matienzo y 9 de Julio,
9849,70340492347841,SAN LUCAS,34,FORMOSA,49,PILCOMAYO,34049010000,CLORINDA,3610,Avenida San Martín 1235,
9850,70340422347846,EL ESPINILLO,34,FORMOSA,42,PILAGÁS,34042020000,EL ESPINILLO,3615,calle Islas Malvinas S/N,
9851,70340562347848,BERNACHEA,34,FORMOSA,56,PIRANÉ,34056050000,VILLA KILOMETRO 213,3603,Avenida Nestor Kirchner S/N,
9852,70340142347852,VILA,34,FORMOSA,14,FORMOSA,34014020000,FORMOSA,3600,Los Pioneros 2543,
10037,70340492347729,FARMA CRIS ANEXO,34,FORMOSA,49,PILCOMAYO,34049010000,CLORINDA,3610,Avenida San Martín 556,
10038,70340492347730,FARMAVIDA,34,FORMOSA,49,PILCOMAYO,34049010000,CLORINDA,3610,Avenida San Martín 591,
10039,70340492347731,MI FARMACIA,34,FORMOSA,49,PILCOMAYO,34049010000,CLORINDA,3610,Avenida San Martín 1291,
10040,70340492347732,SAN CARLOS,34,FORMOSA,49,PILCOMAYO,34049010000,CLORINDA,3610,12 DE OCTUBRE 1282,
10041,70340492347733,FARMA UNION,34,FORMOSA,49,PILCOMAYO,34049010000,CLORINDA,3610,Buenos Aires 1117,
10042,70340562347734,AMANCAY S.C.S.,34,FORMOSA,56,PIRANÉ,34056020000,EL COLORADO,1,SARMIENTO 57,
10043,70340562347735,EBEN-EZER,34,FORMOSA,56,PIRANÉ,34056020000,EL COLORADO,3603,AVENIDA SAN MARTIN 634,
10044,70340562347736,VITALIDAD,34,FORMOSA,56,PIRANÉ,34056020000,EL COLORADO,1,SARMIENTO 487,
10045,70340352347737,FARMACIA Y PERFUMERIA SAN PANTALEON SOCIEDAD DE HECHO,34,FORMOSA,35,PATIÑO,34035050000,ESTANISLAO DEL CAMPO,3626,Avda. 2 de Abril S/N,
10046,70340352347738,VIRGEN DE ITATI,34,FORMOSA,35,PATIÑO,34035050000,ESTANISLAO DEL CAMPO,3626,MARTIN MARIA LLANO 53,
10047,70340142347739,KOCHS,34,FORMOSA,14,FORMOSA,34014020000,FORMOSA,3600,Avenida Doctor Luis Gutniski 2240,
10048,70340142347740,YACOMI,34,FORMOSA,14,FORMOSA,34014020000,FORMOSA,3600,Francisco Emilio Yacomy 5145,
