,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
4624,70380632350602,NUEVA ALBERDI,38,JUJUY,63,SAN PEDRO,38063180000,SAN PEDRO,4500,Juan Bautista Alberdi 174,
4625,70380632350603,ANCONA,38,JUJUY,63,SAN PEDRO,38063180000,SAN PEDRO,4500,Juan Bautista Alberdi 243,
4626,70380632350604,ANGHELY,38,JUJUY,63,SAN PEDRO,38063180000,SAN PEDRO,4500,AVDA. JUJUY 373,
4627,70380632350605,CENTRAL,38,JUJUY,63,SAN PEDRO,38063180000,SAN PEDRO,4500,VELEZ SARFIELD 196,
4628,70380632350606,COSENTINI,38,JUJUY,63,SAN PEDRO,38063180000,SAN PEDRO,4500,ROGELIO LEACH 101,
4629,70380632350607,DEL MILAGRO,38,JUJUY,63,SAN PEDRO,38063180000,SAN PEDRO,4500,Gdor. Tello 185,
4630,70380632350608,EL RAMAL S.C.S.,38,JUJUY,63,SAN PEDRO,38063180000,SAN PEDRO,4500,AV. SIRIA 79,
4631,70380632350609,EXODO S.C.S.,38,JUJUY,63,SAN PEDRO,38063180000,SAN PEDRO,4500,VELEZ SARSFIELD 1,
4632,70380632350610,INSTITUTO DEL NORTE SCS,38,JUJUY,63,SAN PEDRO,38063180000,SAN PEDRO,4500,Vélez Sarsfield 112,
4633,70380632350611,INTEGRAL S.C.S.,38,JUJUY,63,SAN PEDRO,38063180000,SAN PEDRO,4500,Gdor. Tello 596,
4634,70380632350613,LA PAZ,38,JUJUY,63,SAN PEDRO,38063180000,SAN PEDRO,4500,ALBERDI 98,
4636,70380632350614,MISERICORDIA,38,JUJUY,63,SAN PEDRO,38063180000,SAN PEDRO,4500,Juan Bautista Alberdi 372,
4637,70380632350615,RODRIGUEZ,38,JUJUY,63,SAN PEDRO,38063180000,SAN PEDRO,4500,9 de Julio,
4638,70380632350616,ROTGER,38,JUJUY,63,SAN PEDRO,38063180000,SAN PEDRO,4500,Martín Miguel de Güemes 195,
4639,70380632350618,SAN PEDRO,38,JUJUY,63,SAN PEDRO,38063180000,SAN PEDRO,4500,MIGUEL ARAOZ 481,
4640,70380632350620,SAN RAFAEL,38,JUJUY,63,SAN PEDRO,38063180000,SAN PEDRO,4500,PERU 75,
4724,70380632350621,SANTA TERESITA,38,JUJUY,63,SAN PEDRO,38063180000,SAN PEDRO,4500,ALSINA 395,
4725,70380352350622,FARMACIA Y PERFUMERIA ESPERANZA,38,JUJUY,35,LEDESMA,38035060000,FRAILE PINTADO,4506,RUTA NACIONAL 34,
4726,70380352350623,SAN ISIDRO II,38,JUJUY,35,LEDESMA,38035060000,FRAILE PINTADO,4506,Avenida Guillermo Paterson,
4727,70380352350624,SAN JOSE,38,JUJUY,35,LEDESMA,38035060000,FRAILE PINTADO,4506,Avenida Hipólito Yrigoyen,
4728,70380352350625,23 DE AGOSTO,38,JUJUY,35,LEDESMA,38035080000,LIBERTADOR GENERAL SAN MARTIN,4512,RUTA 34 ESQ.AV.UZQUEDA,
