,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
9,70460142355640,FARMACIA CLINICA AVIAT S.R.L,46,LA RIOJA,14,CAPITAL,46014010000,LA RIOJA,5300,Benjamín de la Vega 21,
10,70460142355641,FARMACIA COLEGIO MEDICO,46,LA RIOJA,14,CAPITAL,46014010000,LA RIOJA,5300,Avenida Facundo Quiroga 430,
15,70460142355625,FARMASUAR- SUCURSAL 1,46,LA RIOJA,14,CAPITAL,46014010000,LA RIOJA,5300,Av. San Nicolas de Bari N° 1255,
16,70460142355626,FARMANOR S.R.L,46,LA RIOJA,14,CAPITAL,46014010000,LA RIOJA,5300,Avenida San Francisco N° 600- Barrio Cochangasta- La Rioja,
21,70460142355629,NOVOFARMA,46,LA RIOJA,14,CAPITAL,46014010000,LA RIOJA,5300,Virgen de Itati esqina Santo Domingo,
22,70460142355288,LAS SIERRAS,46,LA RIOJA,14,CAPITAL,46014010000,LA RIOJA,5300,San Nicolas de Bari (O) N° 841,
24,70460142355291,SUAYTER,46,LA RIOJA,14,CAPITAL,46014010000,LA RIOJA,5300,Peatonal Buenos Aires N°33,
25,70460142355289,CASTORE II,46,LA RIOJA,14,CAPITAL,46014010000,LA RIOJA,5300,Dalmacio Belez Sarfield 902,
29,70460422355290,PARIS,46,LA RIOJA,42,CHILECITO,46042010002,CHILECITO,5360,Julian Amatte Esquina Alberto Ocampo,
598,70460142355285,EL PORTAL,46,LA RIOJA,14,CAPITAL,46014010000,LA RIOJA,5300,AVENIDA SAN NICOLAS DE BARI N° 364 (E),
606,70460142455293,DEL VELAZCO,46,LA RIOJA,14,CAPITAL,46014010000,LA RIOJA,5300,Avenida Ramirez de Velazco y Oruro,
681,70460422955295,CRISTAL,46,LA RIOJA,42,CHILECITO,46042010002,CHILECITO,5360,Joaquín González,
723,70460072355298,LOURDES II,46,LA RIOJA,7,ARAUCO,46007010001,AIMOGASTA,5310,AVENIDA SANTA ROSA ESQUINA 20 DE MAYO,
724,70460142355299,AMERICANA,46,LA RIOJA,14,CAPITAL,46014010000,LA RIOJA,5300,SAN MARTIN 334,
1020,70460072355292,LOURDES I,46,LA RIOJA,7,ARAUCO,46007010001,AIMOGASTA,5310,9 de Julio 470,
1039,70460142355287,CASTORE,46,LA RIOJA,14,CAPITAL,46014010000,LA RIOJA,5300,San Nicolas de Bari (O) 534,
1182,70460142355300,SAN CAYETANO,46,LA RIOJA,14,CAPITAL,46014010000,LA RIOJA,5300,JOAQUIN VICTOR GONZALES 294,
9921,70460212355304,BOTIQUIN FARMACIA (LOCALIDAD ANJULLON),46,LA RIOJA,21,CASTRO BARROS,46021030000,ANJULLON,5310,La plata s/n entre Av.Pedro Ignacio de Castro Barros  y San Martin,
10021,70460072355309,SAGRADO CORAZON,46,LA RIOJA,7,ARAUCO,46007010001,AIMOGASTA,5310,9 DE JULIO Nº 31- Aimogasta,
10022,70460072355312,SAN ANTONIO,46,LA RIOJA,7,ARAUCO,46007010001,AIMOGASTA,5311,Pje. Dardo de la Vega Díaz 331,
10023,70460072355313,SANTA ELENA,46,LA RIOJA,7,ARAUCO,46007010001,AIMOGASTA,5471,25 DE MAYO 388,
10024,70460492355314,OSPeCon (Obra Social del Personal de la Construcción),46,LA RIOJA,49,FAMATINA,46049050000,CAMPANAS,1,DELLEPIANI 769,
10025,70460352355315,SANTA MARIA,46,LA RIOJA,35,CHAMICAL,46035010000,CHAMICAL,5380,Constantino Carbel,
10026,70460352355316,SANTA MARIA II,46,LA RIOJA,35,CHAMICAL,46035010000,CHAMICAL,5380,Nicolás Majul Ayan 163,
10027,70460352355317,CHAMICAL,46,LA RIOJA,35,CHAMICAL,46035010000,CHAMICAL,5380,Gabriel Longueville esq El Chacho,
10028,70460352355318,DEL CENTRO,46,LA RIOJA,35,CHAMICAL,46035010000,CHAMICAL,5380,Felix Abdala e Hipolito Irigoyen,
