,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
13031,70500072161016,SISTEMA DE SEGURIDAD SOCIAL DE LA SALUD FARMACIA.-,50,MENDOZA,7,CAPITAL,50007010002,2A. SECCION,5500,SAN JUAN 255,www.salud.mendoza.gov.ar/dependencias/incluir/
13038,70500072361012,DEL PLATA 3 FARMACIA.-,50,MENDOZA,7,CAPITAL,50007010005,5A. SECCION,5500,PASO DE LOS ANDES 95,www.farmaciasdelplata.com
13039,70500772361009,MALARGUE 1 FARMACIA.-,50,MENDOZA,77,MALARGÜE,50077040000,MALARGUE,5613,GENERAL VILLEGAS OESTE 7,
13056,70500072861022,A.M.P.E.S. FARMACIA.-,50,MENDOZA,7,CAPITAL,50007010003,3A. SECCION,5500,SAN JUAN 871,www.asistir.net
13064,70500072761023,A.M.E.CO.M. 2 FARMACIA.-,50,MENDOZA,7,CAPITAL,50007010002,2A. SECCION,5500,AVENIDA SAN MARTÍN 53,
13065,70500072761027,O.S.P.E.L.S.YM. FARMACIA.-,50,MENDOZA,7,CAPITAL,50007010002,2A. SECCION,5500,MONTEVIDEO 270,www.ospelsym.com.ar
13080,70500072361011,FARMATOTAL FARMACIA.-,50,MENDOZA,7,CAPITAL,50007010002,2A. SECCION,5500,AVENIDA JOSÉ VICENTE ZAPATA 303,www.farmatotalmza.com.ar
13084,70500072361006,DEL PUENTE CITY FARMACIA.-,50,MENDOZA,7,CAPITAL,50007010001,1A. SECCION,5500,AVENIDA SAN MARTÍN 1516,www.farmaciadelpuente.com.ar
13085,70500212361007,DEL PUENTE GODOY CRUZ FARMACIA.-,50,MENDOZA,21,GODOY CRUZ,50021010001,GODOY CRUZ,5501,AVENIDA SAN MARTÍN 900,www.farmaciadelpuente.com.ar
13086,70501052361017,MAYO FARMACIA.-,50,MENDOZA,105,SAN RAFAEL,50105210002,SAN RAFAEL,5600,AVENIDA HIPÓLITO YRIGOYEN 458,www.farmaciamayo.com
13091,70500072361010,ARGENTINA FARMACIA.-,50,MENDOZA,7,CAPITAL,50007010003,3A. SECCION,5500,BUENOS AIRES 182,www.farmaciaargentina.com
13092,70500072361005,MORI CIUDAD FARMACIA.-,50,MENDOZA,7,CAPITAL,50007010001,1A. SECCION,5500,AVENIDA LAS HERAS 323,www.farmaciamori.com
13096,70500072361014,DEL CENTRO MEGA STORE FARMACIA.-,50,MENDOZA,7,CAPITAL,50007010003,3A. SECCION,5500,AVENIDA SAN MARTÍN 1001,www.farmaciasdelcentro.com
13097,70500842361020,SAN MARTIN FARMACIA.-,50,MENDOZA,84,RIVADAVIA,50084140000,RIVADAVIA,5577,SAN ISIDRO 659,
13133,70501052361018,MUÑOZ FARMACIA.-,50,MENDOZA,105,SAN RAFAEL,50105210002,SAN RAFAEL,5600,AVENIDA HIPÓLITO YRIGOYEN 522,
13137,70500982361019,PLAZA FARMACIA.-,50,MENDOZA,98,SAN MARTÍN,50098100002,CIUDAD DE SAN MARTIN,5570,9 DE JULIO 327,
13147,70500072361004,SAN RAMON FARMACIA.-,50,MENDOZA,7,CAPITAL,50007010002,2A. SECCION,5500,AVENIDA COLÓN 160,
13156,70500702361008,MITRE 7 FARMACIA.-,50,MENDOZA,70,MAIPÚ,50070060004,MAIPU,5517,OZAMIS 401,
13157,70500072361013,LA PIRAMIDE FARMACIA.-,50,MENDOZA,7,CAPITAL,50007010003,3A. SECCION,5500,CÓRDOBA 45,
13158,70500982361015,DE LOURDES FARMACIA.-,50,MENDOZA,98,SAN MARTÍN,50098100002,CIUDAD DE SAN MARTIN,5570,PIROVANO 98,
13159,70500072761021,D.A.M.S.U. FARMACIA.-,50,MENDOZA,7,CAPITAL,50007010008,8A. SECCION,5502,CIUDAD UNIVERSITARIA,www.damsu.uncuyo.edu.ar
13160,70500072761024,XELTAHUINA - O.S.E.P. FARMACIA.-,50,MENDOZA,7,CAPITAL,50007010003,3A. SECCION,5500,SALTA 877,www.osepmendoza.com.ar
13212,70500702361057,DEL SOL FARMACIA.-,50,MENDOZA,70,MAIPÚ,50070070000,RODEO DEL MEDIO,5529,ROMA 4610,
13214,70500982361074,MITRE 22 FARMACIA.-,50,MENDOZA,98,SAN MARTÍN,50098100002,CIUDAD DE SAN MARTIN,5570,9 DE JULIO 100,
13422,70500142361064,GILI FARMACIA.-,50,MENDOZA,14,GENERAL ALVEAR,50014030000,GENERAL ALVEAR,5620,DIAGONAL CARLOS PELLEGRINI 402,www.farmacia-gili.negocio.site
13480,70500072361135,BIO SUR DIAGNOSTICOS.-,50,MENDOZA,7,CAPITAL,50007010003,3A. SECCION,5500,PEDRO B. PALACIOS 540,www.bsmovilidad.com.ar
13660,70500632361435,DEL PIEDEMONTE FARMACIA.-,50,MENDOZA,63,LUJÁN DE CUYO,50063090006,VISTALBA,5549,VERTIENTES DEL PEDEMONTE BARRIO ECO CHACRAS M - C / C - 1 LA UNIÓN 4900,
13661,70500282361439,RUSSELL FARMACIA.-,50,MENDOZA,28,GUAYMALLÉN,50028020006,GENERAL BELGRANO,5533,AVELLANEDA 2091,
13664,70500282361436,SAN JAVIER FARMACIA.-,50,MENDOZA,28,GUAYMALLÉN,50028020003,CAPILLA DEL ROSARIO,5523,GODOY CRUZ 7123,
13670,70500072361438,DEL PLATA 7 FARMACIA.-,50,MENDOZA,7,CAPITAL,50007010003,3A. SECCION,5500,LAVALLE 101,www.farmaciasdelplata.com
13671,70500702361437,RUTINI FARMACIA.-,50,MENDOZA,70,MAIPÚ,50070060001,COQUIMBITO,5513,CREMASCHI de RUTINI 34 PASEO RUTINI LOCAL 1,www.farmaciarutini.com
