,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
108,70540702365577,ITATI,54,MISIONES,70,LEANDRO N. ALEM,54070070000,LEANDRO N. ALEM,3315,GUARANI  150,
109,70540912365578,MODERNA SRL,54,MISIONES,91,OBERÁ,54091080000,OBERA,3360,Calle Córdoba 40,
110,70540772365579,NOLAN,54,MISIONES,77,LIBERTADOR GRL. SAN MARTÍN,54077010000,CAPIOVI,3332,AV. LOS PROCERES Y PALO ROSA,
111,70540772365581,SANTA RITA,54,MISIONES,77,LIBERTADOR GRL. SAN MARTÍN,54077010000,CAPIOVI,3332,Ruta Nacional 12,
150,70540982365612,JARDIN,54,MISIONES,98,SAN IGNACIO,54098080000,JARDIN AMERICA,3328,LIBERTAD 385,
152,70540982365616,CENTRO,54,MISIONES,98,SAN IGNACIO,54098080000,JARDIN AMERICA,3328,SAN MARTIN Y CHILE,
153,70540982365629,VITAL,54,MISIONES,98,SAN IGNACIO,54098080000,JARDIN AMERICA,3328,PUERTO PERON S-N  LOCAL 10 MZ 138 SECTOR 5,
257,70540072365214,ROMAVIKAR RUTA,54,MISIONES,7,APÓSTOLES,54007010000,APOSTOLES,3350,RIVADAVIA  Y  TUCUMAN,
258,70540282365256,NUESTRA SEÑORA DE FATIMA,54,MISIONES,28,CAPITAL,54028010000,GARUPA,3304,RUTA NACIONAL  N 12 KM 90.5,
259,70540282365295,ARTEMIO,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,BELGARANO N 391-393,
260,70540282365342,EL SOL,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,URUGUAY  N 3942,
261,70540282365361,GUAZUPI,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,QUARANTA 5394,
262,70540282365385,MARIA DEL ROSARIO,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,LAVALLE 4184,
263,70540282365387,FARMACIA MERCANTIL,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,JUNIN 1305,
264,70540282365389,MILAGROS,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,JUNIN 1385,
285,70540072365208,ANDRESITO,54,MISIONES,7,APÓSTOLES,54007010000,APOSTOLES,3350,Calle Los Pinos  Nº 375,
286,70540072365212,PAULA,54,MISIONES,7,APÓSTOLES,54007010000,APOSTOLES,3350,BELAGRANO N 966,
287,70540072365213,ROMAVIKAR CENTRO,54,MISIONES,7,APÓSTOLES,54007010000,APOSTOLES,3350,MAIPU 233,
295,70540282365425,RED  ML  IV,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,MITRE 2302,
296,70540282365463,FARMACIA Y HERBORISTERIA FARMACITY  113,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,ALFONSO DE ARRECHEA 867,
297,70540422365490,SEBASTIAN,54,MISIONES,42,ELDORADO,54042020000,ELDORADO,3380,SAN MARTIN  O  N 986,
298,70540422365491,SOLIDARIA,54,MISIONES,42,ELDORADO,54042020000,ELDORADO,3380,TARRAGO ROS 2495,
299,70540422365492,TIEMANN,54,MISIONES,42,ELDORADO,54042020000,ELDORADO,3380,SAN MARTIN 866,
300,70540422365493,TIEMANN  II,54,MISIONES,42,ELDORADO,54042020000,ELDORADO,3380,CUYO  199 ESQ SAN JUAN,
301,70540492365495,ZAPAIA,54,MISIONES,49,GENERAL MANUEL BELGRANO,54049020000,BERNARDO DE IRIGOYEN,3366,Avenida Brasil 74,
327,70540072365216,SANTA MARIA  II,54,MISIONES,7,APÓSTOLES,54007010000,APOSTOLES,3350,ALVEAR N 532,
328,70540072365217,SANTA MARIA I,54,MISIONES,7,APÓSTOLES,54007010000,APOSTOLES,3350,ALVEAR  N 1011,
329,70540072365218,VICTORIA,54,MISIONES,7,APÓSTOLES,54007010000,APOSTOLES,3350,BELGRANO N  1296,
330,70540072365219,BOTIQUIN DE FARMACIA SANTO PIPO,54,MISIONES,7,APÓSTOLES,54007020000,AZARA,3351,FRACCION   C  MZA  130,
331,70540072365222,SAN JOSE,54,MISIONES,7,APÓSTOLES,54007060000,SAN JOSE,3306,CENTENARIO  N 599,
332,70540282365251,DON SANTIAGO,54,MISIONES,28,CAPITAL,54028010000,GARUPA,3304,IRIGOYEN  S-N,
333,70540282365252,FARMASALUD,54,MISIONES,28,CAPITAL,54028010000,GARUPA,3304,DE LAS AMERICAS S-N,
334,70540282365254,GARUPA,54,MISIONES,28,CAPITAL,54028010000,GARUPA,3304,9 DE JULIO S-N,
335,70540772365263,ITATI,54,MISIONES,77,LIBERTADOR GRL. SAN MARTÍN,54077060000,PUERTO RICO,3334,Av. 9 de Julio y Chubut,
336,70540842365320,LUJAN,54,MISIONES,84,MONTECARLO,54084030000,MONTECARLO,3384,Av. Libertador y Rivadavia,
337,70540282365339,EL CONDOR V,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,SAN LORENZO  NN 1899,
338,70540282365340,EL DIVINO NIÑO,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,AV. URUGUAY 5908,
339,70540282365341,EL REMEDIO,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,TAMBOR DE TACUARI  N 3299,
340,70540282365356,GENERAL PAZ POSADAS,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,QUARANTA 3598 LOCAL 16,
341,70540282365392,NATIVIDAD,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,ALICIA MOREAU DE JUSTO 7798,
342,70540842365393,FARMACIA MENDOZA,54,MISIONES,84,MONTECARLO,54084050000,PUERTO PIRAY,3381,San Lorenzo S/N,
343,70540912365408,NUEVA FARMACIA VERA,54,MISIONES,91,OBERÁ,54091030000,CAMPO VIERA,3362,Av del Té N° 250,
344,70540282365409,PHARMACO,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,CORDOBA 1492,
345,70540282365438,SAN MARTIN,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,SAN MARTIN 2354,
346,70540282365439,SAN NICOLAS,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,MOREAU DE JUSTO 6440,
347,70540282365441,SANTA FE,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,SANTA FE 505,
355,70540912365521,ITALIA,54,MISIONES,91,OBERÁ,54091080000,OBERA,3360,Av. Italia N° 1280,
356,70540912365574,LUNA,54,MISIONES,91,OBERÁ,54091080000,OBERA,3360,Ralf Singer N° 142 L2,
357,70540912365575,MISIONES,54,MISIONES,91,OBERÁ,54091080000,OBERA,3360,Calle La Rioja N° 645,
379,70540282365443,SANTO TOME,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,URQUIZA 2902,
380,70540282365448,TAURO I,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,CORDOBA 1699,
381,70540282365449,TAURO II,54,MISIONES,28,CAPITAL,54028030,POSADAS (MUNICIPIO DE POSADAS),3300,CORDOBA 1417,
382,70540352365464,CONCEPCION,54,MISIONES,35,CONCEPCIÓN,54035020000,CONCEPCION DE LA SIERRA,3355,Av.MITRE Y SAENZ PEÑA,
383,70540422365476,EL BOTICARIO,54,MISIONES,42,ELDORADO,54042020000,ELDORADO,3380,CLAUDIO RODRIGO 130,
384,70540912365519,INTEGRAL,54,MISIONES,91,OBERÁ,54091080000,OBERA,3360,Av. José Ingenieros N° 397,
385,70540632365530,AMAMBAY,54,MISIONES,63,IGUAZÚ,54063010000,ESPERANZA,3378,BULEVARD 20 DE JUNIO  595 BARRIO LOS CEDROS,
386,70540632365531,ESPERANZA,54,MISIONES,63,IGUAZÚ,54063010000,ESPERANZA,3378,BOULEVARD 25 DE MAYO Y BUENOS AIRES,
387,70540912365607,BOTIQUIN DE FARMACIA NUEVO BOTIQUIN  VILLA BONITA,54,MISIONES,91,OBERÁ,54091120000,VILLA BONITA,3361,LOTE 4 MZ 6,
389,70541122365641,BOTIQUIN DE FARMACIA SANERJ,54,MISIONES,112,SAN PEDRO,54112040000,SAN PEDRO,3364,CHEPOYA Y CORDERO,
399,70540982365618,JARDIN AMERICA,54,MISIONES,98,SAN IGNACIO,54098080000,JARDIN AMERICA,3328,ACONCAGUA 451,
400,70540982365619,LIBERTAD,54,MISIONES,98,SAN IGNACIO,54098080000,JARDIN AMERICA,3328,LIBERTAD 395,
401,70540982365624,RELLA II,54,MISIONES,98,SAN IGNACIO,54098080000,JARDIN AMERICA,3328,SAN MARTIN Y E.E.U.U,
402,70540982365625,RODRIGUEZ,54,MISIONES,98,SAN IGNACIO,54098080000,JARDIN AMERICA,3328,CALLE ARGENTINA 615,
403,70540982365634,VIRGEN DE ITATI,54,MISIONES,98,SAN IGNACIO,54098110000,SAN IGNACIO,3322,RIVADAVIA Y LANUSSE,
404,70540982365635,SAN JORGE,54,MISIONES,98,SAN IGNACIO,54098120000,SANTO PIPO,3326,BARRIO EL MIRADOR RUTA NACIONAL N 12  S-N,
406,70541122365642,CIELO,54,MISIONES,112,SAN PEDRO,54112040000,SAN PEDRO,3364,CHUBUT S-N,
407,70541122365644,FARMAVIDA,54,MISIONES,112,SAN PEDRO,54112040000,SAN PEDRO,3364,GUEMES 364,
413,70540632365535,BRAVO II,54,MISIONES,63,IGUAZÚ,54063030000,PUERTO IGUAZU,3370,EL ZORZAL  S-N,
414,70540632365536,CATARATAS DEL IGUAZU,54,MISIONES,63,IGUAZÚ,54063030000,PUERTO IGUAZU,3370,VICTORIA AGUIRRE  558,
