,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
76,70580562367339,FARMACIA JACHAL,58,NEUQUÉN,56,LÁCAR,58056010000,SAN MARTIN DE LOS ANDES,8316,AVENIDA  KOESSLER 2116,
95,70580353067340,FARMACIA COOPERATIVA COPELCO LIMITADA,58,NEUQUÉN,35,CONFLUENCIA,58035040000,CUTRAL CO,3363,AVENIDA GENERAL PAZ  250,
102,70580352367394,FARMACIA SAN JORGE,58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,LAINEZ 774,
103,70580912367395,FARMACIA SAN JOSE,58,NEUQUÉN,91,PEHUENCHES,58091040000,RINCON DE LOS SAUCES,8353,MISIONES 204,
104,70580352367396,FARMACIA SAN JUDAS,58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,CHOCON 436,
119,70580352367304,FARMACIA DEL PUEBLO (ALBERDI),58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,JUAN B. ALBERDI 290,
121,70580702367342,FARMACIA LA BOTICA,58,NEUQUÉN,70,LOS LAGOS,58070010000,VILLA LA ANGOSTURA,8407,1º POBLADORES 490,
124,70580352367390,FARMACIA SALTA,58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,ALCORTA 301 Y MISIONES,
125,70580352367391,FARMACIA SAN CAYETANO,58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,BELGRANO 2725,
139,70580702367355,FARMACIA MAITEN,58,NEUQUÉN,70,LOS LAGOS,58070010000,VILLA LA ANGOSTURA,8407,AVENIDA ARRAYANES Nº 66,
140,70580352367374,FARMACIA NUEVA JUJUY,58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,"JUJUY 710, NEUQUEN",
148,70580352367416,FARMACIA SURY,58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,MINISTRO GONZALEZ 98,
196,70580352367302,FARMACIA DEL PUEBLO (PERITO MORENO),58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,PERITO MORENO 246,
197,70580352367305,FARMACIA DEL PUEBLO (PLOTTIER),58,NEUQUÉN,35,CONFLUENCIA,58035100000,PLOTTIER,8316,SAN MARTIN  39,
198,70580352367331,FARMACIA GREGORIO ALVAREZ,58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,CALLE 5 Nº 125- BARRIO GREGORIO ALVAREZ,
200,70580912867366,FARMACIA MUTUTAL DE EMPLEADOS Y OBREROS PETROLEROS PRIVADOS,58,NEUQUÉN,91,PEHUENCHES,58091040000,RINCON DE LOS SAUCES,8353,SALTA 145,
201,70580912867367,FARMACIA MUTUTAL DE EMPLEADOS Y OBREROS PETROLEROS PRIVADOS(BUTA RANQUIL),58,NEUQUÉN,91,PEHUENCHES,58091020000,BUTA RANQUIL,3363,PEHUENCHE ESQUINA ISLAS MALVINAS,
220,70580772367316,FARMACIA ELIXIR,58,NEUQUÉN,77,MINAS,58077010000,ANDACOLLO,8353,BELLA VISTA S/Nº,
224,70580352367353,FARMACIA LINCOLN,58,NEUQUÉN,35,CONFLUENCIA,58035040000,CUTRAL CO,3363,AV. OLASCOAGA 915,
225,70580352367375,FARMACIA NUEVA SAN PABLO II,58,NEUQUÉN,35,CONFLUENCIA,58035040000,CUTRAL CO,3363,ROCA Y TUCUMAN,
240,70580352367266,FARMACIA ALTA BARDA,58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,LOS PENSAMIENTOS Y MADRESELVA,
242,70580352367265,FARMACIA ALPINA,58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,SAN MARTIN 4305,
243,70580352867321,FARMACIA MUTUAL DEL PERSONAL DE LA SUBSECRETARIA DE ACCION SOCIAL(AMPSAS-GODOY),58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,GODOY 963,
254,70581122367419,FARMACIA VALLEJOS,58,NEUQUÉN,112,ZAPALA,58112040000,ZAPALA,8340,MITRE 425,
265,70580352367405,FARMACIA SAN PABLO III,58,NEUQUÉN,35,CONFLUENCIA,58035090000,PLAZA HUINCUL,8318,AV. SAN MARTIN Y LACAR,
323,70580352367393,FARMACIA SAN GABRIEL ECONOMED,58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,SAN MARTÍN 2141,
433,70580352367287,FARMACIA CONFLUENCIA (NQN),58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,RICHIERI Y LINARES,
434,70580702367291,FARMACIA DE LA MONTAÑA,58,NEUQUÉN,70,LOS LAGOS,58070010000,VILLA LA ANGOSTURA,8407,AV. ARRAYANES 207,
435,70580352767337,FARMACIA INSTITUTO DE SEGURIDAD SOCIAL DE NEUQUEN (NQN),58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,ELORDI 178,
436,70580352867365,FARMACIA MUTUTAL DE EMPLEADOS Y OBREROS PETROLEROS PRIVADOS,58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,SANTA CRUZ N° 275,
454,70580352367301,FARMACIA DEL PUEBLO (JUAN B. JUSTO),58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,JUAN B. JUSTO 301,
474,70580072367267,FARMACIA ALUMINE,58,NEUQUÉN,7,ALUMINÉ,58007010000,ALUMINE,8345,VILLEGAS 376,
475,70580352367268,FARMACIA AMANECER,58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,PAMPA 625,
476,70580352367271,FARMACIA ANDINA,58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,RIVADAVIA 280,
477,70580352367272,FARMACIA ANDINA II,58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,RIOJA Y DIAG. ALVEAR,
478,70580352367273,FARMACIA ANDINA III,58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,LUIS BELTRAN 1497,
479,70580352367274,FARMACIA ARAUCARIA,58,NEUQUÉN,35,CONFLUENCIA,58035070000,NEUQUEN,8300,CHANETON 340,
