,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
1712,70620212370601,DEL PUEBLO,62,RÍO NEGRO,21,BARILOCHE,62021030000,EL BOLSON,7106,AVENIDA BELGRANO  S/Nº,
1815,70620212370564,BARBERIS,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Onelli 377,
1816,70620212370566,LOS ANDES,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Avenida Exequiel Bustillo,
1847,70620212370590,FARMACIA GALLARDO SCS,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Avenida Angel Gallardo 218,
1848,70620212370591,DR.LUNA LANZ,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Onelli 1509,
1889,70620212370578,DR. ELUSTONDO,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Mitre 379,
1927,70620212370584,DE MIGUEL,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Mitre 130,
1995,70620212370592,AVENIDA MAX  WEDER,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Avenida Angel Gallardo 395,
2201,70620212370569,ARAUCANA I,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Moreno 514,
2421,70620212370594,9 D EJULIO II,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Avenida Angel Gallardo 1031,
2541,70620212370579,FARMACENTER II,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,San Martín 620,
2542,70620212370580,DE LA CRUZ,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Avenida de Los Pioneros 4177,
2656,70620212370552,VISCONTI,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,12 de Octubre 1708,
2658,70620212370554,CUMBRE 1,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Diagonal Gutiérrez 10,
2725,70620212370570,ACUARIO,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Juan Manuel de Rosas 498,
2727,70620212370595,ZONA VITAL MITRE,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Mitre 609,
2758,70620212370567,GILMORE,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Mitre 802,
2761,70620212370577,LAS VICTORIAS,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Las Victorias Nº 26,
2892,70620212370557,FARMACIA 9 DE JULIO,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,9 de Julio 631,
2918,70620212370602,DETINA S.C.S.,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Avenida Exequiel Bustillo 12500,
2919,70620212370603,ALTA CATEDRAL,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,PLAZA AMANCAY,
2933,70620212370555,LOS PIONEROS,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Avenida de Los Pioneros 97,
2982,70620212370562,PATAGONICA,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Diagonal Capraro,
3057,70620212370604,DEL MALLIN,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Rolando 1002,
3088,70620212370561,DIAGONAL,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Diagonal Capraro,
3090,70620212370581,PASTEUR,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Elordi E. 1180,
3091,70620212370587,CRUZ DEL SUR,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Beschtedt 1793,
3397,70620212370568,FARMACIA PIREN HUAPI,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Avenida Exequiel Bustillo 8500,
3398,70620212370585,QUILMES,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Pasaje Gutiérrez 2598,
3399,70620212370586,DINA HUAPI,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Estados Unidos Nº 430,
3445,70620212370589,NUEVA LUELMO,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Moreno 712,
3476,70620422370545,FARMACIA SANTA ISABEL,62,RÍO NEGRO,42,GENERAL ROCA,62042460000,INGENIERO LUIS A. HUERGO,8334,Colón 302,
3663,70620212370559,TOTAL SCS,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Avenida Angel Gallardo 71,
3733,70620212370553,BOTANICA QUEBEC,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Moreno 59,
3808,70620212370560,FARMACIA ONELLI,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Onelli 631,
3809,70620212370563,SANTA LUCIA,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Avenida de Los Pioneros 3860,
3959,70620212370575,IBERIA S.C.S.,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,20 de Febrero 410,
3960,70620212370576,ZONA VITAL NAHUEL,62,RÍO NEGRO,21,BARILOCHE,62021060000,SAN CARLOS DE BARILOCHE,8400,Moreno 301,zonavital.com/nuevo/locales/zona-vital-nahuel
