,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
8347,70660842373694,DEL ANGEL (EL TALA),66,SALTA,84,LA CANDELARIA,66084020000,EL TALA,1,GRAL.GUEMES 247,
8348,70660282373695,REARTE ANDRES RAMON,66,SALTA,28,CAPITAL,66028050000,SALTA,1,9 DE JULIO 555,
8349,70660282373696,SCHUEVERMANN SERGIO ENRIQUE,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,LA RIOJA 383,
8350,70660282373697,FERNANDEZ JOSE FLORENCIO,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,INDEPENDENCIA 69,
8351,70660282373698,CANIZARES MARCELO,66,SALTA,28,CAPITAL,66028050000,SALTA,1,SAN MARTIN 699,
8352,70660282373699,DOMINGUEZ DENTONE ANDRES EDUARDO,66,SALTA,28,CAPITAL,66028050000,SALTA,1,CORONEL VICENTE TORINO 301,
8353,70660352373700,MORALES ALBERTO LIBERATO,66,SALTA,35,CERRILLOS,66035010000,CERRILLOS,4403,GÜEMES 301,
8354,70660282373701,ALVAREZ MAXIMO TOMAS,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,ALVARADO 1485,
8355,70660282373702,GAFFET RICARDO MARCELO,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,FLORIDA 602,
8356,70660282373703,DIEGUEZ MARCELO GUSTAVO,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,CERRO SOYANO 3314,
8357,70660282373704,ARAMAYO NESTOR SANDRO,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,HIPOLITO IRIGOYEN 48,
8358,70660562373705,VERA DEMETRIO RAMON,66,SALTA,56,GRL. JOSÉ DE SAN MARTÍN,66056090000,EMBARCACION,4550,BUENOS AIRES 355,
8359,70660282373706,VALDEZ DANIEL GUSTAVO,66,SALTA,28,CAPITAL,66028050000,SALTA,1,BATALLA DE SALTA 963,
8360,70660562373707,ZAMAR OMAR ANTONIO,66,SALTA,56,GRL. JOSÉ DE SAN MARTÍN,66056220,TARTAGAL (TARTAGAL),1,GUEMES 431,
8364,70660072373813,WASHINGTON GABRIELA ELIZABETH,66,SALTA,7,ANTA,66007010000,APOLINARIO SARAVIA,1,GRAL GUEMES 369,
8365,70660282373814,CASTRO SAHONERO  RUTH E,66,SALTA,28,CAPITAL,66028050000,SALTA,1,ZABALA 492,
8366,70660282373815,HANNE MARCELA VIVIANA,66,SALTA,28,CAPITAL,66028050000,SALTA,1,GRAL GUEMES 899,
8367,70660282373816,NADER CECILIA FABIANA,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,20 DE FEBRERO 185,
8368,70660282373817,HIGUERAS LILIANA BEATRIZ,66,SALTA,28,CAPITAL,66028050000,SALTA,1,MITRE 1001,
8369,70660282373818,SALAZAR RAQUEL MARIA,66,SALTA,28,CAPITAL,66028050000,SALTA,1,AVENIDA ENTRE RIOS 1903,
8370,70660282373819,OLA MARIA CECILIA,66,SALTA,28,CAPITAL,66028050000,SALTA,1,JOSE ARTIGAS 965,
8371,70660562373820,ZUNINO VALERIA CECILIA,66,SALTA,56,GRL. JOSÉ DE SAN MARTÍN,66056220,TARTAGAL (TARTAGAL),4560,AVENIDA PACKHAM 541,
8372,70660562373821,MARTINICH GABRIELA EVANGELINA,66,SALTA,56,GRL. JOSÉ DE SAN MARTÍN,66056220,TARTAGAL (TARTAGAL),4560,ALBERDI 798,
8373,70660492373822,RAMOS ALICIA MARIA,66,SALTA,49,GENERAL GÜEMES,66049040000,GENERAL GUEMES,0,JUJUY 382,
8374,70661122373823,HATTI MARIA AMINA,66,SALTA,112,METÁN,66112050000,METAN VIEJO,1,SAN MARTIN 360,
8375,70660282373824,ROBLES DANIELA MARIA VIRGINIA,66,SALTA,28,CAPITAL,66028050000,SALTA,1,MZA.5 CASA 115 BARRIO SAN NICOLAS I,
8376,70660282373825,ARTINIAN MARIA ELENA,66,SALTA,28,CAPITAL,66028050000,SALTA,1,AVENIDA DI PASCUO 2965,
8377,70660492373826,ASTORGA ROBERTO JAVIER,66,SALTA,49,GENERAL GÜEMES,66049040000,GENERAL GUEMES,4562,AVENIDA SAN MARTIN 397,
8378,70660562373827,MIELÑIK EUGENIA CARINA,66,SALTA,56,GRL. JOSÉ DE SAN MARTÍN,66056220,TARTAGAL (TARTAGAL),1,9 DE JULIO 406,
8379,70660282373828,MIOZZO KARINA,66,SALTA,28,CAPITAL,66028050000,SALTA,1,MANZ.41 CASA 21 B§ SAN CARLOS,
8380,70661472373829,VILCA ELBA ELISA,66,SALTA,147,ROSARIO DE LERMA,66147030000,ROSARIO DE LERMA,4405,CECILIO RODRIGUEZ 149,
8381,70660562373830,AMELLA MARCELA MARIA,66,SALTA,56,GRL. JOSÉ DE SAN MARTÍN,66056090000,EMBARCACION,4550,24 DE SEPTIEMBRE 549,
8382,70660492373831,CENTRAL (MOSCONI),66,SALTA,49,GENERAL GÜEMES,66049040000,GENERAL GUEMES,4562,ALEN Y ECHESORTU 006,
8384,70660282373833,SORIA OLGA VALERIA,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,luis guemes 659,
8385,70661122373834,PERELLÓ MARIA ALEJANDRA,66,SALTA,112,METÁN,66112050000,METAN VIEJO,1,9 DE JULIO 240,
8386,70660282373835,ALVAREZ ALEJANDRA SOLEDAD,66,SALTA,28,CAPITAL,66028050000,SALTA,1,SANTA FE 784,
8387,70660282373836,DOCTORA LARA,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,MARCELO T. DE ALVEAR 299,
8388,70660282373837,COLLADO MIRALLES AMELIA GABRIELA,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,OLAVARRIA 784,
8389,70660282373839,SANGARI CARMEN ROSA,66,SALTA,28,CAPITAL,66028050000,SALTA,1,ZABALA 439,
8390,70660212373840,CEREZO MARIA RAQUEL,66,SALTA,21,CAFAYATE,66021010000,CAFAYATE,4427,AV.Güemes Norte 203,
8391,70660282373841,GOMEZ LUZ,66,SALTA,28,CAPITAL,66028050000,SALTA,1,TOBIAS 20,
8392,70660282373842,CABILDO,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,BELGRANO 905,
8393,70660282373843,HATTI JOSE ROBERTO,66,SALTA,28,CAPITAL,66028050000,SALTA,1,AVENIDA 9 DE JULIO 2,
8394,70660282373844,SUDAMERICANA SRL,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,ALBERDI 102,
8395,70660282373845,OBRA SOCIAL DE LA UNIVERSIDAD NACIONAL DE SALTA,66,SALTA,28,CAPITAL,66028050000,SALTA,1,RIVADAVIA 220,
8396,70660282373847,SINDICATO LUZ Y FUERZA SALTA,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,PELLEGRINI 525,
8397,70660282373848,FARMACIA UNION S.C.S.,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,SANTA FE 198,
8398,70660282373849,FARMACIA 12 DE OCTUBRE S.C.S.,66,SALTA,28,CAPITAL,66028050000,SALTA,1,MITRE 1202,
8399,70660282373850,LA DOCTA S.C.S,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,AVENIDA LIBANO 872,
8400,70660072373851,RAMIREZ MU¥OZ JUAN MARCELINO,66,SALTA,7,ANTA,66007010000,APOLINARIO SARAVIA,1,PASAJE LERMA 120,
8401,70660282373852,FACOR S.R.L,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,CASEROS 745,
8402,70660282373853,FACOR.S.R.L.,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,ALVARADO 730,
8403,70660282373854,FACOR S.R.L.,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,URQUIZA 902,
8404,70660282373855,FARMACIA DEL VIRREY S.C.S.,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,AV. TOLEDO 572,
8405,70660282373856,COGRANE SOCIEDAD ANONIMA,66,SALTA,28,CAPITAL,66028050000,SALTA,1,SARMIENTO 532,
8406,70661262373859,JALIT JULIO Y CASTILLO SERGIO S.H.,66,SALTA,126,ORÁN,66126060000,PICHANAL,1,RIVADAVIA 450,
8407,70660492373860,VEGA ADRIANA VERONICA,66,SALTA,49,GENERAL GÜEMES,66049040000,GENERAL GUEMES,4430,SARAVIA 20,
8411,70660282373862,ELEVEA SA,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,AVENIDA HIPOLITO YRIGOYEN 339,
8412,70660282373863,EXENI MARIA DEL PILAR,66,SALTA,28,CAPITAL,66028050000,SALTA,1,ITUZAINGO 340,
8413,70660282373864,FARMCITY S.A.,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,ALBERDI 84,
8414,70660282373867,FARMACIA PIEVE S.A.,66,SALTA,28,CAPITAL,66028050000,SALTA,1,SAN JUAN 687,
8415,70660282373868,PIEDRAS PINTADAS S.R.L.,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,BATALLA DE SALTA 475,
8416,70660282373869,FARMACIA Y PERFUMERIA TERMINAL SRL,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,VICTORINO DE LA PLAZA 75,
8417,70660492373870,ROTTARIS CABANILLAS (GUEMES),66,SALTA,49,GENERAL GÜEMES,66049040000,GENERAL GUEMES,1,ALEM 572,
8418,70660072373871,EMPRENDIMIENTOS FARMACEUTICOS S.R.L.,66,SALTA,7,ANTA,66007090000,JOAQUIN V. GONZALEZ,4448,GUEMES. 35,
8419,70660282373872,SERVICIOS PARA LA SALUD S.R.L.,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,20 DE FEBRERO 28,
8420,70660282373873,EL BOTICARIO S.R.L,66,SALTA,28,CAPITAL,66028050000,SALTA,1,CORONEL EGUES 184,
8421,70660282373708,INDEPENDENCIA,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,AVENIDA INDEPENDENCIA 1073,
8422,70660282373875,LA MERCANTIL,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,ESPAÑA 1090,
8423,70660772373878,ALICE SI STASI E IVANA FRAYLE S.H.,66,SALTA,77,LA CALDERA,66077020000,VAQUEROS,4401,AVENIDA SAN MARTIN 200,
8424,70660282373879,PELLEGRINI S.R.L.,66,SALTA,28,CAPITAL,66028050000,SALTA,4400,PELLEGRINI 601,
