,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
7224,70700982377596,DIFUNTA CORREA,70,SAN JUAN,98,SANTA LUCÍA,70098010003,SANTA LUCIA,5411,AVENIDA LIBERTADOR ESTE 1893,
7225,70700772377597,NUEVA BAHIA BLANCA,70,SAN JUAN,77,RAWSON,70077010002,RAWSON,5425,Liniers  2510 (Oeste),
7226,70700982377598,COLON,70,SAN JUAN,98,SANTA LUCÍA,70098010003,SANTA LUCIA,5411,COLON ESQUINA RIVADAVIA,
7227,70700772377600,MERCEDARIO,70,SAN JUAN,77,RAWSON,70077010002,RAWSON,5425,MENDOZA SUR 1393,
7228,70700772377601,SAN ARCANGEL,70,SAN JUAN,77,RAWSON,70077010002,RAWSON,5425,REPUBLICA DEL LIBANO OESTE 1388,
7229,70700282377602,SANTE,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,PAULA ALBARRACIN DE SARMIENTO SUR 1944,
7230,70700562377604,SAN JOSE DE JACHAL,70,SAN JUAN,56,JÁCHAL,70056080000,SAN JOSE DE JACHAL,5460,SAN JUAN  591-DEPARTAMENTO JACHAL,
7231,70700772377605,NUEVA JOSE DOLORES,70,SAN JUAN,77,RAWSON,70077010002,RAWSON,5425,José Dolores Este,
7232,70700842377606,VALENTINA,70,SAN JUAN,84,RIVADAVIA,70084010000,RIVADAVIA,5400,HIPOLITO IRIGOYEN SUR 687,
7233,70700282377607,FALUCHO,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,FALUCHO 1409-Oeste-Capital,
7234,70700282377608,NUEVA CABILDO,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5413,MENDOZA  NORTE 1569,
7235,70700422377609,NUEVA UNIVERSAL,70,SAN JUAN,42,CHIMBAS,70042010001,CHIMBAS,5413,AV. NAZARIO BENAVIDEZ 7001 (OESTE)- esquina Maradona-CHIMBAS,
7236,70700842377610,SAN NICOLAS,70,SAN JUAN,84,RIVADAVIA,70084010000,RIVADAVIA,5400,AVENIDA LIBERTADOR SAN MARTIN 4900 (Oeste),
7237,70700352377611,COBAS,70,SAN JUAN,35,CAUCETE,70035020000,CAUCETE,5442,DIAGONAL SARMIENTO 312,
7238,70700282377612,SAN ANDRES,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,GENERAL  ACHA SUR 2,
7239,70700282377613,SANTA CECILIA,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,AMEGHINO SUR 395,
7240,70700212377614,ARIAS,70,SAN JUAN,21,CALINGASTA,70021010,BARREAL  - VILLA PITUIL,5405,PRESIDENTE ROCA S/N,
7241,70700352377615,CARVAJAL,70,SAN JUAN,35,CAUCETE,70035020000,CAUCETE,5442,DIAGONAL SARMIENTO  721 y FERMIN RODRIGUEZ,
7242,70700282377616,9 DE JULIO,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,chubut 5810-oeste-CHIMBAS,
7243,70700282377617,MADRE TERESA,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,12 DE OCTUBRE ESTE 755,
7244,70700282377618,NUEVA FARMACIA ALEXANDER,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,PAULA ALBARRACIN DE SARMIENTO SUR 1265,
7245,70700282377619,BUENAVENTURA,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,bolivia este 808 esquina rawson,
7300,70701052377621,NUEVA FARMACIA MEDIA AGUA,70,SAN JUAN,105,SARMIENTO,70105100000,VILLA MEDIA AGUA,5435,Rivadavia  y Joaquín Torrent-Villa Media Agua,
7301,70700282377622,NECOCHEA,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,necochea norte 1690,
7302,70700842377623,FARMACIA UNO,70,SAN JUAN,84,RIVADAVIA,70084010000,RIVADAVIA,5400,QUINQUELA MARTIN OESTE 5426-OESTE-RIVADAVIA,
7303,70700282377624,LA MEDALLA,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,ESTEBAN ECHEVERRIA SUR 1296,
7304,70700772377625,LIDER,70,SAN JUAN,77,RAWSON,70077010002,RAWSON,5425,República del Líbano Oeste 2456,
7305,70700912377626,SAN VICENTE DE PAUL,70,SAN JUAN,91,SAN MARTÍN,70091020,DOS ACEQUIAS (EST. LOS ANGACOS),5415,AGUILERA Y NACIONAL-ANGACO,
7306,70700352377627,PELAYTAY,70,SAN JUAN,35,CAUCETE,70035020000,CAUCETE,5442,FERMIN RODRIGUEZ N°895,
7307,70700772377628,ABADIA,70,SAN JUAN,77,RAWSON,70077010002,RAWSON,5425,Gral Mosconi y El Cano 2318,
7308,70700282377629,BETANCUR,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,25 DE MAYO OESTE 403,
7309,70700282377631,ECHEGARAY I,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,Avenida Rioja Sur 402,
7310,70700282377632,SARMIENTO,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,CATAMARCA SUR 402,
7311,70700282377633,DON BOSCO UNO SA,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,AV. GUILLERMO RAWSON SUR 599,
7312,70700282377634,UDAP,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,SAN LUIS 633- OESTE,
7313,70700282377635,M.U.D.A.P.,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,TUCUMAN NORTE 21,
7314,70700982377636,SANTA LUCIA,70,SAN JUAN,98,SANTA LUCÍA,70098010003,SANTA LUCIA,5411,General Paz Este 2149 (ESQUINA RAMON FRANCO),
7315,70700282377637,DESAMPARADOS,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,LIBERTADOR SAN MARTIN 2338,
7316,70700282377638,NUEVO SAGRADO CORAZON,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,MARIANO MORENO ESTE 293,
7317,70700282377639,MAGISTRAL,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,SANTIAGO DEL ESTERO 390-SUR-,
7318,70700772377640,ECHEGARAY III,70,SAN JUAN,77,RAWSON,70077010002,RAWSON,5425,ESPAÑA SUR 498,
7319,70701052377641,SAN ANTONIO,70,SAN JUAN,105,SARMIENTO,70105100000,VILLA MEDIA AGUA,5435,25 DE MAYO Nº 247,
7320,70700282377642,CUYO SRL,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,AV. SAN MARTIN oeste 2918,
7321,70700282377644,MUTUAL SANIDAD P.G.S.R.,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,Bartolomé Mitre Oeste 410,
7374,70700282377645,DON BOSCO DOS SA,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,SANTA FE ESTE 848,
7375,70700282377647,LAS FLORES SRL,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,ABERASTAIN SUR 492-SUR-CAPITAL-SAN JUAN,
7376,70700282377650,PARQUE,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,AVENIDA IGNACIO DE LA ROSA 850 (Oeste),
7377,70700282377652,GENERICA,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,MENDOZA SUR 515,
7378,70700282377653,LOS ANGELES,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,CORDOBA 83 (Este),
7379,70700282377654,NUEVA FARMACIA SAN PANTALEON SRL,70,SAN JUAN,28,CAPITAL,70028010000,SAN JUAN,5400,B. Rivadavia Oeste 1,
7380,70701052377656,PADUA,70,SAN JUAN,105,SARMIENTO,70105100000,VILLA MEDIA AGUA,5401,URUGUAY Y JOSE ARES S/N-MEDIA AGUA-SARMIENTO,
7381,70700772377657,NUEVA MENDOZA,70,SAN JUAN,77,RAWSON,70077010002,RAWSON,5425,MENDOZA  SUR 1153,
