,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
149,70740562380302,ARGENTINA,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,PRINGLES Nº 831,
151,70740072380304,MARYMEN,74,SAN LUIS,7,AYACUCHO,74007070000,SAN FRANCISCO DEL MONTE DE ORO,5705,AVENIDA SARMIENTO Nº 626,
154,70740562380311,CORTEZ,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,"BARRIO 151 VIVIENDAS, MANZANA 467, CASA 8",
155,70740072380313,ALCIBAR-ZAKIEL,74,SAN LUIS,7,AYACUCHO,74007050000,QUINES,5711,PRINGLES Nº 509,
156,70740562380316,DEL OESTE,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,BOLIVAR Y FALUCHO,
157,70740282380363,PARODI,74,SAN LUIS,28,CHACABUCO,74028010000,CONCARAN,5770,GOBERNADOR ELIAS ADRE N° 1086,
158,70740562380373,QUINTANA III,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Italia 2095,
159,70740562380376,DEL PILAR I,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,"Zoilo Concha  Manzana J, Casa 154, Plan Lote Eva Perón",
209,70740562380397,IRIBARREN,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,B° 148 VIV. M 359 C 19,
210,70740072380405,SAN FRANCISCO,74,SAN LUIS,7,AYACUCHO,74007070000,SAN FRANCISCO DEL MONTE DE ORO,5705,AV. CENTENARIO Y 25 DE MAYO,
211,70740562380406,COLON,74,SAN LUIS,49,JUNÍN,74049060000,MERLO,5881,POETA AGÜERO 467 SUR  (Las Lajas y Ruta Nº 1),
359,70740562380300,FATIMA,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,COLON Nº 1064,
390,70740562380308,BALCARCE,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,25 DE MAYO Nº 625,
391,70740492380309,AIKEN,74,SAN LUIS,49,JUNÍN,74049060000,MERLO,5881,AVENIDA NORTE N° 1625,
392,70740282380365,NORTE,74,SAN LUIS,28,CHACABUCO,74028070000,TILISARAO,5773,SAN MARTIN N° 701,
398,70740562380303,SAN CAYETANO,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Bº 142 VIV. -  M. 462- C. 9,
408,70740562380310,FLEMING,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,RIOBAMBA Nº 2184,
409,70740562380318,LAS CHACRAS,74,SAN LUIS,56,LA CAPITAL,74056100004,LAS CHACRAS,5701,Avenida Tte. Juan Domingo Perón,
410,70740492380323,HUARPES,74,SAN LUIS,49,JUNÍN,74049060000,MERLO,5881,LOS ALMENDROS 74,
411,70740492380324,GIVANA,74,SAN LUIS,49,JUNÍN,74049060000,MERLO,5881,POETA CONTI N° 380,
416,70740282380367,ROTTE,74,SAN LUIS,28,CHACABUCO,74028030000,NASCHEL,5759,PRINGLES N° 466,
459,70740562380351,LOS CERROS,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Bº 116 Viviendas - Manzana 278 - Casa 11,
460,70740562380389,SANTA ANA,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Junín 598,
467,70740562380307,CABILDO,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,Avenida Arturo Illia,
468,70740562380315,JUNIN,74,SAN LUIS,56,LA CAPITAL,74056150000,SAN LUIS,5700,JUNIN 708 ESQUINA GENERAL PAZ,
503,70740492380326,SAGRADO CORAZON DE JESUS,74,SAN LUIS,49,JUNÍN,74049060000,MERLO,5881,AVENIDA  DEL DEPORTE N° 301,
593,70740072380374,LOURDES,74,SAN LUIS,7,AYACUCHO,74007050000,QUINES,5711,Edison 460,
647,70740282380362,SAN JOSE,74,SAN LUIS,28,CHACABUCO,74028010000,CONCARAN,5770,PRINGLES 1225,
682,70740492380341,FARMATEL,74,SAN LUIS,49,JUNÍN,74049010000,CARPINTERIA,5883,BELGRANO S/N,
722,70740562380301,SANTA MARIA,74,SAN LUIS,56,LA CAPITAL,74056100004,LAS CHACRAS,5701,JUAN DOMINGO PERON  1200,
750,70740282380292,CORDERO,74,SAN LUIS,28,CHACABUCO,74028070000,TILISARAO,5773,AV CORDOBA 110,
751,70740282380293,SEÑOR DE RENCA,74,SAN LUIS,28,CHACABUCO,74028070000,TILISARAO,5773,9 DE JULIO 762,
782,70740492380322,RIVADAVIA,74,SAN LUIS,49,JUNÍN,74049070000,SANTA ROSA DEL CONLARA,5777,9 DE JULIO N° 657,
