,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
97,70780142383280,FARMACIA DEL PUEBLO,78,SANTA CRUZ,14,DESEADO,78014060000,LAS HERAS,9017,28 DE NOVIEMBRE ESQUINA JUAN LARREA,
98,70780142383281,FARMACIA DON BOSCO,78,SANTA CRUZ,14,DESEADO,78014060000,LAS HERAS,9017,GOBERNADOR GREGORES Nº 540,
99,70780282383291,FARMACIA AUTOFARMA LIBERTADOR,78,SANTA CRUZ,28,LAGO ARGENTINO,78028010000,EL CALAFATE,9050,AVENIDA LIBERTADOR Y ESPORA,
169,70780142383283,FARMACIA DEL BARRIO,78,SANTA CRUZ,14,DESEADO,78014060000,LAS HERAS,9017,GUEMES Y PASAJE GIUSEPPE MANZANA,
221,70780212383242,FARMACIA NUEVA REAL,78,SANTA CRUZ,21,GÜER AIKE,78021040000,RIO GALLEGOS,9400,AVENIDA JUAN DOMINGO PERON Nº 675,
222,70780212383243,FARMACIA PATERNO,78,SANTA CRUZ,21,GÜER AIKE,78021040000,RIO GALLEGOS,9400,MARCELINO ALVAREZ Nº 213,
223,70780072883301,FARMACIA MUTUAL C.S.S.,78,SANTA CRUZ,7,CORPEN AIKE,78007010000,COMANDANTE LUIS PIEDRABUENA,9303,SAENZ PEÑA Nº 775,
245,70780142383257,FARMACIA DEL BARRIO,78,SANTA CRUZ,14,DESEADO,78014010000,CALETA OLIVIA,9011,AVENIDA TIERRA DEL FUEGO Nº 2700,
246,70780142383258,FARMACIA DEL CERRO,78,SANTA CRUZ,14,DESEADO,78014010000,CALETA OLIVIA,9011,AVENIDA INDEPENDENCIA Nº 1087,
396,70780212383238,LA FRANCO,78,SANTA CRUZ,21,GÜER AIKE,78021040000,RIO GALLEGOS,9400,Avenida Presidente Néstor C. Kirchner 1116,www.farmaciaslafranco.com.ar
397,70780212883246,FARMACIA MUTUAL C.S.S.,78,SANTA CRUZ,21,GÜER AIKE,78021040000,RIO GALLEGOS,9400,9 de Julio 283,
456,70780212383232,FARMACIA MODERNA,78,SANTA CRUZ,21,GÜER AIKE,78021040000,RIO GALLEGOS,9400,Avenida Pres. Presidente Néstor C. Kirchner 1057,
485,70780212383247,FARMACIA SOCIAL,78,SANTA CRUZ,21,GÜER AIKE,78021040000,RIO GALLEGOS,9400,Chacabuco 42,
486,70780212383248,FARMACIA PATAGONIA,78,SANTA CRUZ,21,GÜER AIKE,78021040000,RIO GALLEGOS,9400,Eva Perón 1265,
487,70780212383249,FARMACIA TU ANGEL,78,SANTA CRUZ,21,GÜER AIKE,78021040000,RIO GALLEGOS,9400,Richieri 598,
488,70780212383250,FARMACIA SALUD,78,SANTA CRUZ,21,GÜER AIKE,78021040000,RIO GALLEGOS,9400,ZAPIOLA Nº 368,
489,70780212383251,FARMACIA SAN LORENZO,78,SANTA CRUZ,21,GÜER AIKE,78021040000,RIO GALLEGOS,9400,FELIX RIQUEZ Nº 688,
490,70780142383252,FARMACIA NUEVA SUR,78,SANTA CRUZ,14,DESEADO,78014010000,CALETA OLIVIA,9011,AVENIDA EVA PERON Y SALVADOR GAVIOTA,
491,70780142383253,FARMACIA NUEVA ACONCAGUA,78,SANTA CRUZ,14,DESEADO,78014010000,CALETA OLIVIA,9011,AVENIDA INDEPENDENCIA Nº 1371,
492,70780142383254,FARMACIA NUEVA LAVALLE,78,SANTA CRUZ,14,DESEADO,78014010000,CALETA OLIVIA,9011,AVENIDA SAN MARTIN Nº 50,
547,70780142383299,FARMACIA DE LA GENTE,78,SANTA CRUZ,14,DESEADO,78014010000,CALETA OLIVIA,9011,Avda. Maximo Berezoski Nº 1702,
586,70780212383233,FARMACIA SANTA CRUZ,78,SANTA CRUZ,21,GÜER AIKE,78021040000,RIO GALLEGOS,9400,25 de Mayo 536,
629,70780212383235,FARMACIA AUTOFARMA,78,SANTA CRUZ,21,GÜER AIKE,78021040000,RIO GALLEGOS,9400,Avenida Presidente Néstor C. Kirchner 1029,www.autofarma.net
