,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
35,70820842386306,FERRAN,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,DOMINGO FAUSTINO SARMIENTO 3098,
36,70820842386310,PETRUZZI,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,Av PELLEGRINI 3770,
37,70820842386315,RODRIGO,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,JUAN JOSE PASO 5880,
38,70820842386316,AZAR,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,Av Pte PERON,
39,70820842386318,ARCO IRIS,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,27 DE FEBRERO 5302,
40,70820842386303,LUCARELLI,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,Juan Jose Paso 7800,
41,70820842386304,COLLOMB,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,Cordoba 4313,
42,70820842386305,DEL PARQUE,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,CORRIENTES 1801,
43,70820842386308,HERNANDEZ - CASSINI,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,MENDOZA 4298,
44,70820842386309,R. HERNANDEZ,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,Avda PELLEGRINI 3456,
45,70820842386311,ORELLANO,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,COLOMBIA 954,
46,70820842386312,DESMEDT,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,Nicaragua (B) 671,
47,70820842386313,ZUCCO,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,J.J. PASO 2364,
48,70820842386314,FRONTONS,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,JUAN JOSE PASO 6045,
49,70820842386317,CIUCCI,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,Av. PROVINCIAS UNIDAS 3181,
50,70820072186323,PONZIO,82,SANTA FE,7,BELGRANO,82007040000,LAS ROSAS,2520,TUCUMAN 101,
51,70821192386324,SAN MARTIN,82,SANTA FE,119,SAN LORENZO,82119030000,CARCARAÑA,2138,1º DE MAYO 443,
52,70821192386327,GIACUMELLI,82,SANTA FE,119,SAN LORENZO,82119110000,ROLDAN,2134,RIOJA 1101,
54,70820842386319,BIRCHER,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,Av GENOVA 2363,
55,70820842386320,CALACE,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,Av GENOVA 3229,
56,70820072386321,TERRANEO,82,SANTA FE,7,BELGRANO,82007010000,ARMSTRONG,2508,Bv SAN MARTIN 1453,
57,70821192886325,MUTUAL,82,SANTA FE,119,SAN LORENZO,82119030000,CARCARAÑA,2138,SARMIENTO 1405,
58,70820842386307,HERBAS,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,MENDOZA 4588,
59,70820072386322,PAGURA,82,SANTA FE,7,BELGRANO,82007010000,ARMSTRONG,2508,Bv ROLDAN 1677,
60,70821192386326,TUMINI,82,SANTA FE,119,SAN LORENZO,82119110000,ROLDAN,2134,PELLEGRINI 738,
61,70820422386328,PROCACCINI,82,SANTA FE,42,GENERAL LÓPEZ,82042060000,CARRERAS,2729,OLMOS 453,
62,70820842386331,SPLENDIANI,82,SANTA FE,84,ROSARIO,82084140000,FUNES,2132,GENERAL PAZ 1441,
63,70820842386333,BERTOLOTTI,82,SANTA FE,84,ROSARIO,82084140000,FUNES,2132,INDEPENDENCIA 1911,
64,70820842386334,LASCURAIN,82,SANTA FE,84,ROSARIO,82084140000,FUNES,2132,SAN JOSE 1519,
65,70820422386329,PATALANO,82,SANTA FE,42,GENERAL LÓPEZ,82042060000,CARRERAS,2729,SARMIENTO 498,
66,70820422386330,LABORET,82,SANTA FE,42,GENERAL LÓPEZ,82042060000,CARRERAS,2729,GARIBALDI 801,
67,70820842386332,RENZ,82,SANTA FE,84,ROSARIO,82084140000,FUNES,2132,CORDOBA 1392,
69,70820842386390,BARCHI,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,SANTA FE 1483,
70,70820842386392,MOROSINI,82,SANTA FE,84,ROSARIO,82084270000,ROSARIO,2000,JUNIN 1996,
