,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
72,70940072395121,FARMACIA ONIKEN,94,TIERRA DEL FUEGO,7,RÍO GRANDE,94007010000,RIO GRANDE,9420,Rosales 416,
81,70940142395152,FARMACIA JAINEN,94,TIERRA DEL FUEGO,14,USHUAIA,94014020000,USHUAIA,9410,JAINEN Nº 152,
82,70940142395153,FARMACIA AUTOFARMA,94,TIERRA DEL FUEGO,14,USHUAIA,94014020000,USHUAIA,9410,SAN MARTIN  Nº 1336,
92,70940072395116,FARMACIA DEL SUR,94,TIERRA DEL FUEGO,7,RÍO GRANDE,94007010000,RIO GRANDE,9420,20 de Junio 793,
107,70940142495150,FARMACIA I.O.S.F.A. USHUAIA,94,TIERRA DEL FUEGO,14,USHUAIA,94014020000,USHUAIA,9410,YAGANES Nº 251,
115,70940072395128,FARMACIA VIA FRANCA,94,TIERRA DEL FUEGO,7,RÍO GRANDE,94007010000,RIO GRANDE,9420,Islas Malvinas 1607,
116,70940072395129,FARMACIA DEL PUEBLO EXPRESS,94,TIERRA DEL FUEGO,7,RÍO GRANDE,94007010000,RIO GRANDE,9420,Avenida San Martín 721,
136,70940072395117,FARMACIA FARMASALUD,94,TIERRA DEL FUEGO,7,RÍO GRANDE,94007010000,RIO GRANDE,9420,LIBERTAD 1145,
137,70940072395124,FARMACIA SINDICAL AZUL Y BLANCA,94,TIERRA DEL FUEGO,7,RÍO GRANDE,94007010000,RIO GRANDE,9420,Ameghino 867,www.petroleoygas.com.ar
176,70940142395149,FARMACIA AUSTRAL,94,TIERRA DEL FUEGO,14,USHUAIA,94014020000,USHUAIA,9410,PPIONEROS FUEGUINOS Nº 4631,
218,70940142395130,FARMACIA DEL SOLIER,94,TIERRA DEL FUEGO,14,USHUAIA,94014020000,USHUAIA,9410,TRANSPORTE VILLARINO N° 474,
281,70940142395151,FARMACIA ALEM,94,TIERRA DEL FUEGO,14,USHUAIA,94014020000,USHUAIA,9410,LEANDRO N. ALEM Nº 2654,
288,70940142395161,FARMACIA FUEGUINA,94,TIERRA DEL FUEGO,14,USHUAIA,94014020000,USHUAIA,9410,AVENIDA LEANDRO ALEM N° 838,
289,70940142395162,FARMACIA RAPIFARMA,94,TIERRA DEL FUEGO,14,USHUAIA,94014020000,USHUAIA,9410,SOLDADO AGUILA Nº 2429,
604,70940142395142,FARMACIA SINDICAL UOM,94,TIERRA DEL FUEGO,14,USHUAIA,94014020000,USHUAIA,9410,SAN MARTIN Nº 1108,
605,70940142395143,FARMACIA LA BANCARIA SUR,94,TIERRA DEL FUEGO,14,USHUAIA,94014020000,USHUAIA,9410,KUANIP Nº 702,
686,70940072395108,FARMACIA AUSTRAL,94,TIERRA DEL FUEGO,7,RÍO GRANDE,94007010000,RIO GRANDE,9420,Avenida  Belgrano 397,
711,70940142395154,FARMACIA SAN MARTIN SUCURSAL KUANIP,94,TIERRA DEL FUEGO,14,USHUAIA,94014020000,USHUAIA,9410,KUANIP Nº 1372,
757,70940072395122,FARMACIA ONIKEN I,94,TIERRA DEL FUEGO,7,RÍO GRANDE,94007010000,RIO GRANDE,9420,Pellegrini 104,
816,70940072195119,FARMACIA HOSPITAL REGIONAL RIO GRANDE,94,TIERRA DEL FUEGO,7,RÍO GRANDE,94007010000,RIO GRANDE,9420,Belgrano 1130,
818,70940072195120,FARMACIA O.S.P.T.F (OBRA SOCIAL DE LA PROVINCIA DE TIERRA DEL FUEGO),94,TIERRA DEL FUEGO,7,RÍO GRANDE,94007010000,RIO GRANDE,9420,LIBERTAD 897,
849,70940142395132,FARMACIA DEL LAGO - SUCURSAL USHUAIA,94,TIERRA DEL FUEGO,14,USHUAIA,94014020000,USHUAIA,9410,MAGALLANES Nº 1515,
853,70940142395135,FARMACIA SALK,94,TIERRA DEL FUEGO,14,USHUAIA,94014020000,USHUAIA,9410,SAN MARTIN Nº 931,
