,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
1570,70900842196977,FARMACIA INTERNA CENTRO DE SALUD ZENON SANTILLAN,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,Av. Avellaneda 750,
7171,70900142397635,FARMACIA DEL ESTE,90,TUCUMÁN,14,CRUZ ALTA,90014010001,ALDERETES,4178,AV.RIVADAVIA 1300,
7172,70900142397636,FARMACIA MODERNA,90,TUCUMÁN,14,CRUZ ALTA,90014020001,BANDA DEL RIO SALI,4109,AV.INDEPENDENCIA 210,
7173,70900842397637,FARMACIA ARMONIA,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,24 DE SETIEMBRE 210,
7174,70900842397638,FARMACIA ADRI,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,LAVALLE 2101,
7175,70900842397639,FARMACIA DEL PUENTE,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,AV.MATE DE LUNA 2101,
7176,70900842397641,FARMACIA VENEZUELA,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,Venezuela 1267,
7177,70900842397642,FARMACIA MARICEL,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,JUNIN 1280,
7178,70900842397643,FARMACIA ANITA,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,PASO DE LOS ANDES 1296,
7179,70900212397644,FARMACIA SANTO DOMINGO,90,TUCUMÁN,21,CHICLIGASTA,90021050000,CONCEPCION,4146,ESPAÑA 1298,
7180,70900842397645,FARMACIA RIO SALI,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,AV.B.ARAOZ 1298,
7181,70900842397646,FARMACIA SUR,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,AVDA. ROCA 1099,
7182,70900842397647,FARMACIA ITALIANA,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,24 SETIEMBRE 1102,
7183,70900842397648,FARMACIA EL CRUCE,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,BOLIVAR 1102,
7184,70900702397649,FARMACIA BROAL,90,TUCUMÁN,70,MONTEROS,90070060000,SANTA LUCIA,4135,AV. LIBERTADOR 111,
7185,70900842397650,FARMACIA MICAELA,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,BRIGIDO TERÁN 111,
7186,70900842397651,FARMACIA NTRA.SRA.DE LA CONSOLACION,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,SAN JUAN 1114,
7187,70900842397652,FARMACIA RENACIMIENTO,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,AV.REPUBLICA DEL LIBANO 1154,
7188,70900842397653,FARMACIA SAN ANDRES,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,AV. COLON 1162,
7189,70900842397654,FARMACIA CUYO,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,AV.CORONEL SUAREZ 1174,
7190,70900842397655,FARMACIA SAN CRISTOBAL,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,AV.BENJAMIN ARAOZ 12,
7191,70900142397656,FARMACIA SAN FRANCISCO DE ASIS,90,TUCUMÁN,14,CRUZ ALTA,90014040000,COLOMBRES,4184,AV. SAN MARTÍN 120,
7248,70900912397657,FARMACIA 25 DE MAYO,90,TUCUMÁN,91,SIMOCA,90091050000,SIMOCA,4172,25 DE MAYO 120,
7249,70900842397659,FARMACIA SERRAVALLE,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,LAS PIEDRAS 1639,
7250,70901052397660,FARMACIA CRISTO OBRERO,90,TUCUMÁN,105,TAFÍ VIEJO,90105080000,TAFI VIEJO,4103,AV.PERU SUR 1048,
7251,70900702397661,FARMACIA SIERRA,90,TUCUMÁN,70,MONTEROS,90070030000,MONTEROS,4000,RIVADAVIA 106,
7252,70900842397662,FARMACIA SANTA CRUZ,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,AV.INDEPENDENCIA 1602,
7253,70900842397663,FARMACIA LUMAHE,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,SANTA FE 1602,
7254,70900842397664,FARMACIA CAROLA,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,SGO. DEL ESTERO 1602,
7255,70900842397665,FARMACIA SISA,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,CHILE 1616 1616,
7256,70900282397666,FARMACIA UNION,90,TUCUMÁN,28,FAMAILLÁ,90028030002,FAMAILLA,4132,SARMIENTO 162,
7257,70900842397668,FARMACIA SAN PABLO,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,SAN MARTIN 174,
7258,70900842397669,FARMACIA VILLA AMALIA,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,MARIANO MORENO 1744,
7259,70901192397670,FARMACIA DEL VALLE,90,TUCUMÁN,119,YERBA BUENA,90119030002,YERBA BUENA - MARCOS PAZ,4000,SOLANO VERA 175,
7260,70900632397671,FARMACIA LIBERTAD,90,TUCUMÁN,63,LULES,90063050000,LULES,4128,LIBERTAD 165,
7261,70900842397672,FARMACIA DAMIR,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,JUJUY 2133,
7262,70900842397673,FARMACIA LOS ANGELES,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,PSJE. ZUVIRIA 214,
7263,70900842397674,FARMACIA LOS PINOS,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,MUNECAS 2153,
7264,70900422397675,FARMACIA SOL,90,TUCUMÁN,42,JUAN BAUTISTA ALBERDI,90042010000,JUAN BAUTISTA ALBERDI,4000,AV. M. CAMPERO 216,
7265,70900842397678,FARMACIA CALCAGNO,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,FRANCISCO DE AGUIRRE 1498,
7333,70900842397679,FARMACIA RIVADAVIA,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,RIVADAVIA 1498,
7334,70900842397680,FARMACIA JUAN XXIII S.H.,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,AV. NESTOR KIRCHNER 1502,
7335,70900842397681,FARMACIA MABEL,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,MATHEU 152,
7336,70900842397683,FARMACIA AMERICANA,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,AV. LAS AMERICAS 1555,
7337,70901052397684,FARMACIA DEL ROSARIO,90,TUCUMÁN,105,TAFÍ VIEJO,90105080000,TAFI VIEJO,4103,25 DE MAYO 157,
7338,70900842397685,FARMACIA MORENO,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,MORENO 1571,
7339,70900842397686,FARMACIA ESPAÑA,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,9 DE JULIO 1579,
7340,70900842397687,FARMACIA IDEAL,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,PJE A.CHAZARRETA 1595,
7341,70900842397689,FARMACIA AUTOPISTA,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,AUTOP.J.D.PERON-MZ B-Casa 14-BºAGEF 1700,
7397,70900842397690,FARMACIA DEL BOSQUE,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,ITALIA 1802,
7398,70900142397691,FARMACIA DE LA ROSA SUR,90,TUCUMÁN,14,CRUZ ALTA,90014020001,BANDA DEL RIO SALI,4109,SARGENTO CABRAL 181,
7399,70900142397692,FARMACIA SANTA RITA,90,TUCUMÁN,14,CRUZ ALTA,90014020003,LASTENIA,4000,AV.EVA PERON 181,
7400,70900842397693,FARMACIA DOMINGO,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,AV. SIRIA 1824,
7401,70900842397694,FARMACIA NASER,90,TUCUMÁN,84,CAPITAL,90084010000,SAN MIGUEL DE TUCUMAN,4000,SANTIAGO 1826,
