id_department,department
0,COMUNA 1
7,ADOLFO ALSINA
14,ADOLFO GONZALES CHAVES
21,ALBERTI
28,ALMIRANTE BROWN
35,AVELLANEDA
42,AYACUCHO
49,AZUL
56,BAHÍA BLANCA
58,QUILMES
63,BALCARCE
70,BARADERO
77,ARRECIFES
84,BENITO JUÁREZ
91,BERAZATEGUI
98,BERISSO
105,BOLÍVAR
112,BRAGADO
119,BRANDSEN
126,CAMPANA
134,CAÑUELAS
140,CAPITÁN SARMIENTO
147,CARLOS CASARES
154,CARLOS TEJEDOR
161,CARMEN DE ARECO
168,CASTELLI
175,COLÓN
182,CORONEL DE MARINA L. ROSALES
189,CORONEL DORREGO
196,CORONEL PRINGLES
203,CORONEL SUÁREZ
210,CHACABUCO
217,CHASCOMÚS
224,CHIVILCOY
231,DAIREAUX
238,DOLORES
245,ENSENADA
252,ESCOBAR
260,ESTEBAN ECHEVERRÍA
266,EXALTACIÓN DE LA CRUZ
270,EZEIZA
274,FLORENCIO VARELA
277,FLORENTINO AMEGHINO
280,GENERAL ALVARADO
287,GENERAL ALVEAR
294,GENERAL ARENALES
301,GENERAL BELGRANO
308,GENERAL GUIDO
315,GENERAL JUAN MADARIAGA
322,GENERAL LA MADRID
329,GENERAL LAS HERAS
336,GENERAL LAVALLE
343,GENERAL PAZ
351,GENERAL PINTO
357,GENERAL PUEYRREDÓN
364,GENERAL RODRÍGUEZ
371,GENERAL SAN MARTÍN
385,GENERAL VIAMONTE
392,GENERAL VILLEGAS
399,GUAMINÍ
406,HIPÓLITO YRIGOYEN
408,HURLINGHAM
410,ITUZAINGÓ
412,JOSÉ C. PAZ
413,JUNÍN
420,LA COSTA
427,LA MATANZA
434,LANÚS
441,LA PLATA
448,LAPRIDA
455,LAS FLORES
462,LEANDRO N. ALEM
466,LEZAMA
469,LINCOLN
476,LOBERÍA
483,LOBOS
490,LOMAS DE ZAMORA
497,LUJÁN
505,MAGDALENA
511,MAIPÚ
515,MALVINAS ARGENTINAS
518,MAR CHIQUITA
525,MARCOS PAZ
532,MERCEDES
539,MERLO
547,MONTE
553,MONTE HERMOSO
560,MORENO
568,MORÓN
574,NAVARRO
581,NECOCHEA
588,9 DE JULIO
595,OLAVARRÍA
602,PATAGONES
609,PEHUAJÓ
616,PELLEGRINI
623,PERGAMINO
630,PILA
638,PILAR
644,PINAMAR
648,PRESIDENTE PERÓN
651,PUÁN
655,PUNTA INDIO
658,QUILMES
665,RAMALLO
672,RAUCH
679,RIVADAVIA
686,ROJAS
693,ROQUE PÉREZ
700,SAAVEDRA
707,SALADILLO
714,SALTO
721,SALLIQUELÓ
728,SAN ANDRÉS DE GILES
735,SAN ANTONIO DE ARECO
742,SAN CAYETANO
749,SAN FERNANDO
756,SAN ISIDRO
760,SAN MIGUEL
763,SAN NICOLÁS
770,SAN PEDRO
778,SAN VICENTE
784,SUIPACHA
791,TANDIL
798,TAPALQUÉ
805,TIGRE
819,TORNQUIST
826,TRENQUE LAUQUEN
833,TRES ARROYOS
840,TRES DE FEBRERO
847,TRES LOMAS
854,25 DE MAYO
861,VICENTE LÓPEZ
868,VILLA GESELL
875,VILLARINO
882,ZÁRATE
