id,name,id_location,id_department,postal_code,adress,adress
70064412318286,MARSICO,6441030015,441,1900,Avenida 7 445,Avenida 7 445
70060352318295,MODERNA,6035010006,35,1870,Avenida Galicia 410,Avenida Galicia 410
70067072315037,BOTIQUIN FARMACIA,6707000003,707,6065,Buenos Aires S/n,Buenos Aires S/n
70060912318298,BIANCHI,6091010001,91,1884,Avenida 14 Presidente Juan Domingo Perón 4653,Avenida 14 Presidente Juan Domingo Perón 4653
70060912818296,MUTUAL DUCILO,6091010001,91,1884,Avenida Mitre 442,Avenida Mitre 442
70064272318471,MAGNANI,6427010008,427,1755,Ventura Yanzi 2155,Ventura Yanzi 2155
70067702318472,ALLEGRONE,6770050000,770,2930,Bartolomé Mitre 1790,Bartolomé Mitre 1790
70067602318367,LOS HORNEROS S.C.S,6760010003,760,1663,San José 914,San José 914
70064342318307,PFM SAN MARTIN 2101 SCS,6434010003,434,1824,San Martín 2201,San Martín 2201
70062522318230,SP HEALTH CENTER SCS,6252010005,252,1625,Colectora Oeste Ramal Pilar 770,Colectora Oeste Ramal Pilar 770
70066442318238,GALENOS,6644010003,644,7167,Simbad El Marino 74,Simbad El Marino 74
70067492318242,FARMACIA OTHARAN,6749010003,749,1646,Belgrano 1964,Belgrano 1964
70064102318420,NUEVO PUENTE S.C.S.,6410010001,410,1714,Gaona,Gaona
70060632318422,MARIOLI,6063010000,63,7620,Avenida del Valle 80,Avenida del Valle 80
70068612310541,IARA,6861010006,861,1636,GOBERNADOR UGARTE 3311,GOBERNADOR UGARTE 3311
70063572310545,FARMACIA 25 DE MAYO,6357110003,357,7600,25 DE MAYO 3611,25 DE MAYO 3611
70068052310542,Farmacia Magnin,6805010003,805,1,TRIUNVIRATO 1875,TRIUNVIRATO 1875
70067602310543,Farmacia Central San MIguel S. C. S.,6760010004,760,1663,Av. Balbin 1181,Av. Balbin 1181
70068612310544,TKL Munro SCS,6861010005,861,1605,AVENIDA  VELEZ SARFIELD 4653,AVENIDA  VELEZ SARFIELD 4653
70068262310918,FAILLA RAUL HORACIO,6826050000,826,6400,WILDE 55,WILDE 55
70062242310919,PALUMBO ELIO,6224010000,224,6620,AVENIDA  VILLARINO 399,AVENIDA  VILLARINO 399
70060842310920,DELLAVALLE,6084020000,84,7020,Avenida Alsina 148,Avenida Alsina 148
70064692310921,ALFARO GABRIEL JOSE,6469080000,469,6070,PUEYRREDON 701,PUEYRREDON 701
70068612310922,MONTEVERDE MAXIMILIANO JAVIER,6861010006,861,1636,CORRIENTES 671,CORRIENTES 671
70060582310923,FARMACIA LEAL,6658010001,658,0,MONTEVIDEO 1573,MONTEVIDEO 1573
70064132310924,ARISNABARRETA MARCELO OSCAR,6413050000,413,6000,villegas 218,villegas 218
70064902310925,CLEMENTE RUBEN SERGIO,6490010001,490,1828,ALEM 1448,ALEM 1448
70064972310926,LUCIANI NESTOR HERNANDO,6497100,497,6706,TROPERO MOREIRA 680,TROPERO MOREIRA 680
70061822310927,ZANDONADI LUIS ALBERO HUGO,6182020000,182,8109,BROWN 151,BROWN 151
70063572310928,GARCIA CARLOS JORGE,6357110003,357,1,CATAMARCA 3201,CATAMARCA 3201
70067912310929,FARMACIA SUBELZA,6791050000,791,7000,AVENIDA  FALUCHO 701,AVENIDA  FALUCHO 701
70064412310930,PASQUALI PABLO DANIEL,6441030023,441,1894,CALLE 422 154,CALLE 422 154
70067632310931,BONGIORNO OSVALDO ADRIAN,6763050002,763,2900,FRANCIA 250,FRANCIA 250
70067702310932,ANTELO SERGIO RUBEN,6770050000,770,2930,MITRE 3190,MITRE 3190
70064902310933,GONZALEZ PABLO ESTEBAN,6490010001,490,1828,BRITO 1402,BRITO 1402
70060562310934,GIUFFRE DANIEL ALBERTO,6056010001,56,1,O HIGGINS 102,O HIGGINS 102
70066792310935,FANESSI GUSTAVO ALFREDO,6679030000,679,6239,Av Bargero y 25 de Mayo 398,Av Bargero y 25 de Mayo 398
70065392310936,SAAVEDRA GUILLERMO RUBEN,6539010003,539,1,AVENIDA DEL CORTIJO 1559,AVENIDA DEL CORTIJO 1559
70065682310937,AUTHIER,6568010004,568,1708,PIERRESTEGUI 2698,PIERRESTEGUI 2698
