id,name,id_location,id_department,postal_code,adress,adress
70140142334991,VALENTINO,14014010000,14,5000,Catamarca 1047,Catamarca 1047
70140142333750,HP FARMA V,14014010000,14,5000,Elías Yofre 1050,Elías Yofre 1050
70140422333755,FARMAVIDA IX,14042170000,42,5900,Sarmiento 1966,Sarmiento 1966
70140212333758,GRAMIGNA,14021200000,21,5107,Avenida Martín Tissera 2997,Avenida Martín Tissera 2997
70140142333759,GENERAL PAZ NUEVOCENTRO,14014010000,14,5000,Avenida Duarte Quirós 1400,Avenida Duarte Quirós 1400
70140142333764,GALEANO II,14014010000,14,5000,27 de Abril 757,27 de Abril 757
70140212333765,GAITAN,14021250,21,5113,San Martín 528,San Martín 528
70140142333768,FEOLI,14014010000,14,5000,OCTAVIO PINTO 2637,OCTAVIO PINTO 2637
70140422333769,FARMAVIDA VIII,14042170000,42,5900,San Juan 1270,San Juan 1270
70140142333771,AL-MA,14014010000,14,5000,Alexander Fleming 2108,Alexander Fleming 2108
70141472333772,ARRIETA BAZAN,14147210000,147,5101,Brown 310,Brown 310
70140212333773,B.F. MARTINEZ,14021280000,21,5109,3 de Febrero 361,3 de Febrero 361
70141402333774,BOERIS,14140270000,140,5940,Italia 198,Italia 198
70141402833775,MUTUAL ATILRA FREYRE,14140220000,140,2413,Gral. Paz 37,Gral. Paz 37
70140632333777,AVENIDA,14063100000,63,2189,Rivadavia,Rivadavia
70140142333778,BIOFARMA,14014010000,14,5000,Paraná 570,Paraná 570
70141402333779,BRINKMANN,14140050000,140,2419,Avenida San Martín 1047,Avenida San Martín 1047
70141822333780,BEYRNE,14182250000,182,2566,Pasaje San José 1004,Pasaje San José 1004
70141052333781,25 DE MAYO,14105190000,105,5125,25 de Mayo 263,25 de Mayo 263
70141192333788,BIOSALUD,14119160000,119,5972,Avenida Rafael Núñez,Avenida Rafael Núñez
70141402333789,B SALUD FRONTERA,14140360000,140,2400,Avenida Brigadier Bustos 465,Avenida Brigadier Bustos 465
70140142333791,FARMATEO III,14014010000,14,5000,Avenida Eduardo Bulnes,Avenida Eduardo Bulnes
70140142333792,ALVAREZ,14014010000,14,5000,Corro 2541,Corro 2541
70140142333793,FARMATEO II,14014010000,14,5000,Avenida Las Malvinas 2331,Avenida Las Malvinas 2331
70140422333800,FARMACITY 175,14042170000,42,5900,25 de Mayo 156,25 de Mayo 156
70140142333805,DEL CENTRO DE CORDOBA,14014010000,14,5000,Buenos Aires 865,Buenos Aires 865
70140982333858,FARMACERCA,14098230000,98,5800,Fray Quirico Porreca 514,Fray Quirico Porreca 514
70140142333869,CESAR BASSOLI,14014010000,14,5000,Padre Luis Monti 3746,Padre Luis Monti 3746
70140982333870,CORSETTI,14098240000,98,5829,Güemes 325,Güemes 325
70140422333871,CHANGOMAS,14042180000,42,5903,Avenida Carranza,Avenida Carranza
70140632333880,CUPELLINO,14063090000,63,2645,Avenida González,Avenida González
70140982333883,VIRGEN DE ITATI,14098010000,98,5833,Avenida 24 de Septiembre,Avenida 24 de Septiembre
