id,name,id_location,id_department,postal_code,adress
70540702365577,ITATI,54070070000,70,3315,GUARANI  150
70540912365578,MODERNA SRL,54091080000,91,3360,Calle Córdoba 40
70540772365579,NOLAN,54077010000,77,3332,AV. LOS PROCERES Y PALO ROSA
70540772365581,SANTA RITA,54077010000,77,3332,Ruta Nacional 12
70540982365612,JARDIN,54098080000,98,3328,LIBERTAD 385
70540982365616,CENTRO,54098080000,98,3328,SAN MARTIN Y CHILE
70540982365629,VITAL,54098080000,98,3328,PUERTO PERON S-N  LOCAL 10 MZ 138 SECTOR 5
70540072365214,ROMAVIKAR RUTA,54007010000,7,3350,RIVADAVIA  Y  TUCUMAN
70540282365256,NUESTRA SEÑORA DE FATIMA,54028010000,28,3304,RUTA NACIONAL  N 12 KM 90.5
70540282365295,ARTEMIO,54028030,28,3300,BELGARANO N 391-393
70540282365342,EL SOL,54028030,28,3300,URUGUAY  N 3942
70540282365361,GUAZUPI,54028030,28,3300,QUARANTA 5394
70540282365385,MARIA DEL ROSARIO,54028030,28,3300,LAVALLE 4184
70540282365387,FARMACIA MERCANTIL,54028030,28,3300,JUNIN 1305
70540282365389,MILAGROS,54028030,28,3300,JUNIN 1385
70540072365208,ANDRESITO,54007010000,7,3350,Calle Los Pinos  Nº 375
70540072365212,PAULA,54007010000,7,3350,BELAGRANO N 966
70540072365213,ROMAVIKAR CENTRO,54007010000,7,3350,MAIPU 233
70540282365425,RED  ML  IV,54028030,28,3300,MITRE 2302
70540282365463,FARMACIA Y HERBORISTERIA FARMACITY  113,54028030,28,3300,ALFONSO DE ARRECHEA 867
70540422365490,SEBASTIAN,54042020000,42,3380,SAN MARTIN  O  N 986
70540422365491,SOLIDARIA,54042020000,42,3380,TARRAGO ROS 2495
70540422365492,TIEMANN,54042020000,42,3380,SAN MARTIN 866
70540422365493,TIEMANN  II,54042020000,42,3380,CUYO  199 ESQ SAN JUAN
70540492365495,ZAPAIA,54049020000,49,3366,Avenida Brasil 74
70540072365216,SANTA MARIA  II,54007010000,7,3350,ALVEAR N 532
70540072365217,SANTA MARIA I,54007010000,7,3350,ALVEAR  N 1011
70540072365218,VICTORIA,54007010000,7,3350,BELGRANO N  1296
70540072365219,BOTIQUIN DE FARMACIA SANTO PIPO,54007020000,7,3351,FRACCION   C  MZA  130
70540072365222,SAN JOSE,54007060000,7,3306,CENTENARIO  N 599
70540282365251,DON SANTIAGO,54028010000,28,3304,IRIGOYEN  S-N
70540282365252,FARMASALUD,54028010000,28,3304,DE LAS AMERICAS S-N
70540282365254,GARUPA,54028010000,28,3304,9 DE JULIO S-N
70540772365263,ITATI,54077060000,77,3334,Av. 9 de Julio y Chubut
70540842365320,LUJAN,54084030000,84,3384,Av. Libertador y Rivadavia
70540282365339,EL CONDOR V,54028030,28,3300,SAN LORENZO  NN 1899
70540282365340,EL DIVINO NIÑO,54028030,28,3300,AV. URUGUAY 5908
70540282365341,EL REMEDIO,54028030,28,3300,TAMBOR DE TACUARI  N 3299
70540282365356,GENERAL PAZ POSADAS,54028030,28,3300,QUARANTA 3598 LOCAL 16
70540282365392,NATIVIDAD,54028030,28,3300,ALICIA MOREAU DE JUSTO 7798
70540842365393,FARMACIA MENDOZA,54084050000,84,3381,San Lorenzo S/N
70540912365408,NUEVA FARMACIA VERA,54091030000,91,3362,Av del Té N° 250
70540282365409,PHARMACO,54028030,28,3300,CORDOBA 1492
70540282365438,SAN MARTIN,54028030,28,3300,SAN MARTIN 2354
70540282365439,SAN NICOLAS,54028030,28,3300,MOREAU DE JUSTO 6440
70540282365441,SANTA FE,54028030,28,3300,SANTA FE 505
70540912365521,ITALIA,54091080000,91,3360,Av. Italia N° 1280
70540912365574,LUNA,54091080000,91,3360,Ralf Singer N° 142 L2
70540912365575,MISIONES,54091080000,91,3360,Calle La Rioja N° 645
70540282365443,SANTO TOME,54028030,28,3300,URQUIZA 2902
70540282365448,TAURO I,54028030,28,3300,CORDOBA 1699
70540282365449,TAURO II,54028030,28,3300,CORDOBA 1417
70540352365464,CONCEPCION,54035020000,35,3355,Av.MITRE Y SAENZ PEÑA
70540422365476,EL BOTICARIO,54042020000,42,3380,CLAUDIO RODRIGO 130
70540912365519,INTEGRAL,54091080000,91,3360,Av. José Ingenieros N° 397
70540632365530,AMAMBAY,54063010000,63,3378,BULEVARD 20 DE JUNIO  595 BARRIO LOS CEDROS
70540632365531,ESPERANZA,54063010000,63,3378,BOULEVARD 25 DE MAYO Y BUENOS AIRES
70540912365607,BOTIQUIN DE FARMACIA NUEVO BOTIQUIN  VILLA BONITA,54091120000,91,3361,LOTE 4 MZ 6
70541122365641,BOTIQUIN DE FARMACIA SANERJ,54112040000,112,3364,CHEPOYA Y CORDERO
70540982365618,JARDIN AMERICA,54098080000,98,3328,ACONCAGUA 451
70540982365619,LIBERTAD,54098080000,98,3328,LIBERTAD 395
70540982365624,RELLA II,54098080000,98,3328,SAN MARTIN Y E.E.U.U
70540982365625,RODRIGUEZ,54098080000,98,3328,CALLE ARGENTINA 615
70540982365634,VIRGEN DE ITATI,54098110000,98,3322,RIVADAVIA Y LANUSSE
70540982365635,SAN JORGE,54098120000,98,3326,BARRIO EL MIRADOR RUTA NACIONAL N 12  S-N
70541122365642,CIELO,54112040000,112,3364,CHUBUT S-N
70541122365644,FARMAVIDA,54112040000,112,3364,GUEMES 364
70540632365535,BRAVO II,54063030000,63,3370,EL ZORZAL  S-N
70540632365536,CATARATAS DEL IGUAZU,54063030000,63,3370,VICTORIA AGUIRRE  558
70540632365537,CENTRO I,54063030000,63,3370,GUSTAVO EPPENS  270
70540632365532,LOS ANDES,54063010000,63,3378,CHACO Y 25 DE MAYO
70540632365544,PRINCIPAL,54063030000,63,3370,VICTORIA AGUIRRE  210
70540632365545,FARMACIA RYS,54063030000,63,3370,REPUBLICA ARGENTINA  135
70540702365554,SAN ANDRES,54070040000,70,3313,MAIPU 537
70540702365556,SAN MIGUEL,54070040000,70,3313,YAPEYU 460
70540772365313,REIS,54077060000,77,3334,AAVENIDA JOSE MANUEL Estrada N°78
70540282365355,FLOWER,54028030,28,3300,Avenida Tambor de Tacuarí 6184
70540842365395,FARMACIA VIRGEN DE ITATI,54084050000,84,3381,Av. Marcos Paz S/N
70540282365397,NATURAL,54028030,28,3300,SALTA 2487
70540492365586,AVENIDA,54049010000,49,3366,HOMERO JAUREGUI  S-N
70541052365640,SAGRADO CORAZON,54105040000,105,3357,LIBERTAD S-N
70541122365643,DE FREDDY,54112040000,112,3364,25 DE MAYO  386
70540282365346,FARMAEXPRESS,54028030,28,3300,BOLIVAR  N 2367
70540282365347,FARMAMAS,54028030,28,3300,BOLIVIA 2215
70540282365349,FARMASALUD,54028030,28,3300,CHACABUCO  5693 LOCAL 1
70540282365350,FARMASER,54028030,28,3300,TAMBOR DE TACUARI  4277
70540982365626,SANTA CLARA,54098080000,98,3328,AVENIDA SAN MARTIN  S-N
70540072365221,SAGRADO CORAZON,54007060000,7,3306,9 DE JULIO N 606
70540142365224,CENTRO,54014010000,14,3364,DE LAS AMERICAS  N424
70540282365427,RED ML VI,54028030,28,3300,CORDOBA  1389
70540282365428,ROCIO,54028030,28,3300,TAMBOR DE TACUARI 7335
70540562365508,DON SEGUNDO,54056030000,56,3364,LIBERTADOR 979
70540562365509,FARMALENZ,54056030000,56,3364,TEJEDA Y DEMOCRACIA
70540982365631,GABRIEL,54098110000,98,3322,LAVALLE 798
70540982365632,SAGRADO CORAZON,54098110000,98,3322,SAN MARTIN 788
70541192365651,BOTIQUIN DE FARMACIA 25 DE MAYO,54119060000,119,3363,SAN MARTIN  S-N
70540212365246,FARMACIA SANTA ANA,54021070000,21,3308,SAN MARTIN S-N
70540282365293,ARGENTINA,54028030,28,3300,BOLIVAR  N 251
70540282365294,ARIES,54028030,28,3300,RIOJA N 1812
70540282365296,ATENAS,54028030,28,3300,LAVALLE  N 2735
70540422365477,ELDORADO,54042020000,42,3380,RIOJA Y CUYO
70540282365454,UNO III,54028030,28,3300,LAVALLE 5495
70540282365457,VENUS,54028030,28,3300,COLON  1394
70540282365458,VICTORIA,54028030,28,3300,MITRE1594
70540562365528,SAN VICENTE,54056030000,56,3364,AVENIDA LIBERTADOR  707
70540982365623,NUEVA FARMACIA AVENIDA,54098080000,98,3328,CUBA 715
70540982365636,SUDAMERICANA,54098120000,98,3326,AVENIDA FEDERICO RAMON PUERTA  S-N
70540072365210,AVENIDA,54007010000,7,3350,AV. JULIAN ZUBREZCYKI  Y  LAS HERAS
70540282365291,ALTA GRACIA,54028030,28,3300,Av.SANTA CATALINA  N 5188
70540282365430,ROMANNA,54028030,28,3300,LOPEZ Y PLANES 7349
70540282365432,ROMERO,54028030,28,3300,SGTO CABRAL  Y RAMIREZ
70540282365433,SAGRADA FAMILIA,54028030,28,3300,AV. COCOMAROLA N° 738
70540282365434,SAMMA,54028030,28,3300,URUGUAY 738
70540282365435,SAN BLAS,54028030,28,3300,RADEMACHER 5115
70540282365440,SANTA CRUZ,54028030,28,3300,SANTA CRUZ 4366
70540912365580,MONTY,54091080000,91,3360,Av. Gobernador Barreyro N° 826
70540492365590,SOL DEL NORTE,54049010000,49,3366,CANADA Y MIGUEL PROKOPOW
70540772365316,SAN RAFAEL EXPRESS,54077060000,77,3334,Av San Martín N° 1640 LOCAL 6 y 7
70540842365318,AMERICANA,54084030000,84,3384,AvENIDA EL  Libertador N°2860
70540282365338,EL CONDOR IV,54028030,28,3300,BOLIVAR  N 1803
70540632365540,IGUAZU,54063030000,63,3370,BRASIL 44
70540702365562,FARMALEM,54070070000,70,3315,BELGRANO 895
70540912365564,LA BOTICARIA,54091080000,91,3360,Santa Fe N°100
70540702365565,MISIONES,54070070000,70,3315,RIVADAVIA  615
70540912365566,LA VINCA,54091080000,91,3360,Av. Sarmiento N° 99
70540772365583,BOTIQUIN DE FARMACIA WALKO,54077020000,77,3384,BELGRANO Y GUEMES
70540492365587,CENTRAL,54049010000,49,3366,LOS PIONEROS  S-N
70540492365588,LIBERTAD,54049010000,49,3366,EL LIBERTADOR Y GUAYCA
70540912365606,BOTIQUIN DE FARMACIA PANAMBI,54091090000,91,3361,AV FEDERICO PUERTA  S-N  KM 8
70540282365322,DE LA ESQUINA,54028030,28,3300,SALTA N 1602
70540282365398,NUEVA DEMARCHI,54028030,28,3300,TACUARI Y LAVALLE
70540912365399,BOTIQUIN DE FARMACIA JAVIER,54091020000,91,3361,Av. Marquez da Silva S/N
70540282365403,9 DE JULIO,54028030,28,3300,CORRIENTES 2305
70540282365405,OESTE,54028030,28,3300,TAMBOR DE TACUARI  5584
70540282365406,FARMACIA ORO,54028030,28,3300,AV 176 N 7608 LOCAL 3
70540282365446,SMAUNAN,54028030,28,3300,TUCUMAN 2458
70540282365447,SOLIDARIA,54028030,28,3300,TAMBOR DE TACUARI 7256
70540282365450,TAURO III,54028030,28,3300,COLON 1947
70540282365452,TIERRA DEL FUEGO,54028030,28,3300,TIERRA DEL FUEGO 2099
70540422365479,IMI FARMACIA,54042020000,42,3380,PIONERO KENEDY 201
70540422365483,LOS ALPES II,54042020000,42,3380,SAN MARTIN 1804 E
70540562365504,DANIEL II,54056030000,56,3364,LIBERTADOR 907
70540912365510,CRISTO REY,54091080000,91,3360,Tucumán y José Hernandez
70540912365512,DEL MONTE,54091080000,91,3360,Estrada N°99
70540282365390,MUTUAL ALTO PARANA,54028030,28,3300,BELGRANO Y AYACUCHO
70540282365391,MUTUAL 27 DE AGOSTO,54028030,28,3300,LAVALLE 2390
70540282365414,PRINCIPAL,54028030,28,3300,AYACUCHO 2451
70540282365415,FARMACIA CAMIONEROS,54028030,28,3300,CALLE 61  N  5047
