id_location,location
6058030,EZPELETA
6154050,TRES ALGARROBOS (EST. CUENCA)
6270010,EZEIZA
6364040,LAS MALVINAS
6371010,GENERAL SAN MARTÍN
6371020,JOSÉ LEÓN SUAREZ
6371030,SAN ANDRÉS
6371040,VILLA PIAGGIO
6371050,LOMA HERMOSA
6371080,VILLA BONICH
6371100,REMEDIOS DE ESCALADA
6385060,GENERAL VIAMONTE
6392050,GENERAL VILLEGAS (EST. VILLEGAS)
6420060,COSTA AZUL
6427020,VILLA CELINA
6427030,VILLA INSUPERABLE
6434010,LANÚS
6441090,LA GRANJA
6441130,MELCHOR ROMERO
6466010,LEZAMA
6483060,EMPALME LOBOS
6497080,OPEN DOOR (EST. DR. DOMINGO CABRED) (OPEN DOOR)
6497100,ESTACION JAUREGUI VILLA FLANDRIA
6547020,SAN MIGUEL DEL MONTE (EST. MONTE)
6581050,NICANOR OLIVERA (EST. LA DULCE)
6595140,LOMA NEGRA
6638050,MANUEL ALBERTI
6679090,RIVADAVIA
6728020,CUCULLÚ
6756030,MARTÍNEZ
6756040,BOULOGNE
6840020,PABLO PODESTÁ
2000010000,CIUDAD DE BUENOS AIRES
6007010000,CARHUE
6007020000,COLONIA SAN MIGUEL ARCANGEL
6007040000,ESPARTILLAR
6007070000,MAZA
6007080000,RIVERA
6014010000,ADOLFO GONZALES CHAVES
6014020000,DE LA GARMA
6021010000,ALBERTI
6021030000,MECHITA
6028010001,ADROGUE
6028010002,BURZACO
6028010003,CLAYPOLE
6028010005,GLEW
6028010006,JOSE MARMOL
6028010007,LONGCHAMPS
6028010008,MALVINAS ARGENTINAS
6028010010,RAFAEL CALZADA
6028010011,SAN FRANCISCO SOLANO
6028010012,SAN JOSE
6035010002,AVELLANEDA
6035010004,DOCK SUD
6035010005,GERLI
6035010006,PIÑEYRO
6035010007,SARANDI
6035010008,VILLA DOMINICO
6035010009,WILDE
6042010000,AYACUCHO
6049020000,AZUL
6049030000,CACHARI
6049040000,CHILLAR
6056010001,BAHIA BLANCA
6056010003,INGENIERO WHITE
6056020000,CABILDO
6056030000,GENERAL DANIEL CERRI
6063010000,BALCARCE
6070010000,BARADERO
6070040000,VILLA ALSINA
6077010000,ARRECIFES
6084010000,BARKER
6084020000,BENITO JUAREZ
6091010001,BERAZATEGUI
6091010002,BERAZATEGUI OESTE
6091010003,CARLOS TOMAS SOURIGUES
6091010004,EL PATO
