id_location,location
10007160,AMBATO
10021170,HUASCHASCHI
10049050,CAPITAL
10049080,CATAMARCA
10112080,VALLE VIEJO
10007040000,EL RODEO
10007060000,LA PUERTA
10007090000,LOS CASTILLOS
10007110000,LOS VARELA
10014020000,ANQUINCILA
10021020000,ANDALGALA
10021060001,ACONQUIJA
10035020000,BELEN
10035070000,HUALFIN
10035110000,LONDRES
10035130000,PUERTA DE CORRAL QUEMADO
10042040000,CHUMBICHA
10042100000,HUILLAPIMA
10042120000,MIRAFLORES
10049030000,SAN FERNANDO DEL VALLE DE CATAMARCA
10056010000,EL ALTO
10056020000,GUAYAMBA
10063040001,EL HUECO
10063040005,SAN ANTONIO
10070060000,ESQUIU
10070070000,ICAÑO
10070090000,LA GUARDIA
10070140000,RECREO
10070150000,SAN ANTONIO
10077050000,LA MERCED
10084060000,MUTQUIN
10084070000,POMAN
10084100000,SAUJIL
10084110000,SIJAN
10091140005,SAN JOSE VILLA
10091150000,SANTA MARIA
10098010000,ALIJILAN
10098020000,BAÑADO DE OVANTA
10098050000,LOS ALTOS
10098070000,SAN PEDRO
10105110001,FIAMBALA
10105130000,MEDANITOS
10105180000,TINOGASTA
10112010000,EL PORTEZUELO
10112040004,SAN ISIDRO
10112040005,SANTA ROSA
10112040006,SUMALAO
10112040007,VILLA DOLORES
